pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"");../runGen4Rest/hyper-03-08/Assorted-between_00_1.txt;0.01;0.06;0.0;0.45;0.14;0.54;0.0;0.28;0.08;0.02;0.02;0.03;0.26;0.75;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.300008
(((((00|\+)49[ \-/]{0,1})|0)[1-9][0-9]{1,4}[ \-/]{0,1}|(((00|\+)49\()|\(0)[1-9][0-9]{1,4}\))[0-9]{1,7}[ \-/]{0,1}[0-9]{1,5});../runGen4Rest/hyper-03-08/Assorted-between_01_1.txt;ERR;0.05;0.03;0.6;9.66;0.7;0.02;0.27;1.08;0.17;3.55;2.0;2.94;0.82;ERR;0;0;0;0;1;0;0;0;0;0;0;0;0;10.300011
((((0031)|(\+31))(\-)?6(\-)?[0-9]{8})|(06(\-)?[0-9]{8})|(((0031)|(\+31))(\-)?[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6})))|([0]{1}[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6}))));../runGen4Rest/hyper-03-08/Assorted-between_02_1.txt;0.04;0.24;0.04;0.58;11.73;1.21;0.07;0.24;1.81;0.28;4.89;3.19;2.51;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
((4(\d{12}|\d{15}))|(5\d{15})|(6011\d{12})|(3(4|7)\d{13}));../runGen4Rest/hyper-03-08/Assorted-between_03_1.txt;0.04;0.23;0.05;0.65;6.0;1.78;0.07;0.25;0.95;0.12;2.35;1.2;1.36;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(([0-9]{3})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))|([0-9]{9})|([\+]?([0-9]{3})[ \-\/]?([0-9]{2})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}));../runGen4Rest/hyper-03-08/Assorted-between_04_1.txt;0.04;0.03;0.06;0.55;7.15;1.06;0.0;0.29;1.27;0.14;3.26;1.88;1.33;0.84;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
((\+){1}[1-9]{1}[0-9]{0,1}[0-9]{0,1}(\s){1}[\(]{1}[1-9]{1}[0-9]{1,5}[\)]{1}[\s]{1})[1-9]{1}[0-9]{4,9};../runGen4Rest/hyper-03-08/Assorted-between_05_1.txt;0.03;0.03;0.05;0.58;1.6;0.72;0.04;0.25;0.26;0.03;0.52;1.01;3.16;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})));../runGen4Rest/hyper-03-08/Assorted-between_06_1.txt;0.0;0.06;0.03;0.97;25.59;10.6;0.02;0.28;3.49;0.5;5.22;3.36;4.4;1.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(02\d\s?\d{4}\s?\d{4})|((01|05)\d{2}\s?\d{3}\s?\d{4})|((01|05)\d{3}\s?\d{5,6})|((01|05)\d{4}\s?\d{4,5});../runGen4Rest/hyper-03-08/Assorted-between_07_1.txt;0.0;0.85;0.0;0.42;0.13;61.89;0.0;0.27;0.08;0.0;0.02;0.03;0.25;0.76;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300002
(0|(\+)?([1-9]{1}[0-9]{0,3})|([1-5]{1}[0-9]{1,4}|[6]{1}([0-4]{1}[0-9]{3}|[5]{1}([0-4]{1}[0-9]{2}|[5]{1}([0-2]{1}[0-9]{1}|[3]{1}[0-5]{1})))));../runGen4Rest/hyper-03-08/Assorted-between_08_1.txt;0.04;0.01;0.09;0.62;7.16;0.76;0.08;0.27;0.09;0.11;3.72;2.42;1.96;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300002
(0|[-]{1}([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-8]{1})))))|(\+)?([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-7]{1}))))));../runGen4Rest/hyper-03-08/Assorted-between_10_1.txt;0.06;0.02;0.11;0.62;10.12;0.87;0.08;0.28;1.27;0.17;6.43;3.16;2.76;1.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.733336
