pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
(((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1-5]{1}){1}([0-9]{1}){1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1]{1}){1}([0-9]{1}){1}){1}|([2]{1}){1}([0-3]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))|(jan|feb|mar|apr|may|jun|jul|aug|sep|okt|nov|dec)) ((([\*]{1}){1})|((\*\/){0,1}(([0-7]{1}){1}))|(sun|mon|tue|wed|thu|fri|sat)));../runGen4Rest/hyper-03-08/Assorted-nested-between_01_1.txt;0.0;0.08;0.01;0.44;0.16;0.55;0.0;0.26;0.07;0.01;0.02;0.04;0.24;0.72;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.300008
((([\+][\s]{0,1})|([0]{2}[\s-]{0,1}))([358]{3})([\s-]{0,1})|([0]{1}))(([1-9]{1}[0-9]{0,1})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1}))([0-9]{0,3}){1};../runGen4Rest/hyper-03-08/Assorted-nested-between_02_1.txt;0.02;0.04;0.07;0.59;8.4;1.02;0.04;0.26;0.84;0.16;3.72;1.75;3.36;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300004
(((\(\d{3}\)|\d{3})( |-|\.))|(\(\d{3}\)|\d{3}))?\d{3}( |-|\.)?\d{4}(( |-|\.)?([Ee]xt|[Xx])[.]?( |-|\.)?\d{4})?;../runGen4Rest/hyper-03-08/Assorted-nested-between_03_1.txt;0.02;0.02;0.03;0.96;17.37;1.98;0.02;0.32;2.72;0.26;5.44;3.84;2.6;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300004
(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1};../runGen4Rest/hyper-03-08/Assorted-nested-between_04_1.txt;0.0;0.02;0.03;0.95;10.38;0.97;0.02;0.26;0.07;0.17;0.02;1.42;1.57;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.464585
(([0]{0,1})([1-9]{1})([0-9]{2})){1}([\ ]{0,1})((([0-9]{3})([\ ]{0,1})([0-9]{3}))|(([0-9]{2})([\ ]{0,1})([0-9]{2})([\ ]{0,1})([0-9]{2})));../runGen4Rest/hyper-03-08/Assorted-nested-between_05_1.txt;0.01;0.3;0.0;0.32;0.14;0.95;0.0;0.25;0.08;0.01;0.02;0.03;0.22;0.64;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.5
((\(44\))( )?|(\(\+44\))( )?|(\+44)( )?|(44)( )?)?((0)|(\(0\)))?( )?(((1[0-9]{3})|(7[1-57-9][0-9]{2}))( )?([0-9]{3}[ -]?[0-9]{3})|(2[0-9]{2}( )?[0-9]{3}[ -]?[0-9]{4}));../runGen4Rest/hyper-03-08/Assorted-nested-between_06_1.txt;0.01;0.82;0.0;0.38;0.37;33.21;0.0;0.28;0.11;0.02;0.09;0.08;0.33;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.316386
((\(\d{3}\) ?)|(\d{3}-)|(\(\d{2}\) ?)|(\d{2}-)|(\(\d{1}\) ?)|(\d{1}-))?\d{3}-(\d{3}|\d{4});../runGen4Rest/hyper-03-08/Assorted-nested-between_07_1.txt;0.02;0.02;0.03;0.9;18.0;1.55;0.02;0.3;2.78;0.28;6.25;3.83;2.7;0.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300003
((\d{2,4})/)?((\d{6,8})|(\d{2})-(\d{2})-(\d{2,4})|(\d{3,4})-(\d{3,4}));../runGen4Rest/hyper-03-08/Assorted-nested-between_08_1.txt;0.01;0.35;0.0;0.66;0.14;0.78;0.0;0.27;0.07;0.01;0.02;0.03;0.24;0.68;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*;../runGen4Rest/hyper-03-08/Assorted-nested-between_09_1.txt;ERR;0.03;0.05;1.08;6.88;ERR;0.0;0.28;0.07;0.01;2.74;0.02;1.84;0.83;ERR;0;0;0;0;ERR;ERR;0;"unmatched range specifier in char-class: /([0-9]* {0.2}[A-Z]{1}\w+[..:]? {0.4}[xvilcXVILC\d]+[..:]( {0.2}[\d-.]{1.7})+)([..:] {0.4}[xvilcXVILC]*[..:]( {0.2}[\d-.]{1.7})+)*/###0";0;0;0;0;0;10.300011
(\+\d{2}[ \-]{0,1}){0,1}(((\({0,1}[ \-]{0,1})0{0,1}\){0,1}[2|3|7|8]{1}\){0,1}[ \-]*(\d{4}[ \-]{0,1}\d{4}))|(1[ \-]{0,1}(300|800|900|902)[ \-]{0,1}((\d{6})|(\d{3}[ \-]{0,1}\d{3})))|(13[ \-]{0,1}([\d \-]{5})|((\({0,1}[ \-]{0,1})0{0,1}\){0,1}4{1}[\d \-]{8,10})));../runGen4Rest/hyper-03-08/Assorted-nested-between_11_1.txt;0.05;0.09;0.03;0.65;28.33;100.03;0.02;0.29;2.18;0.41;11.41;6.62;6.51;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
