pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.*A.*(JSNRBHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^CD][^CE]{7,128}C.*;../runGen4Rest/hyper-03-08/MSInternal-between_00_1.txt;0.0;0.36;0.04;0.57;TO;0.67;0.02;0.34;TO;0.05;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.30001
.*A.*(JSNRCHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.*;../runGen4Rest/hyper-03-08/MSInternal-between_01_1.txt;0.01;0.35;0.03;0.56;TO;0.6;0.02;0.29;TO;0.04;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.30001
.*A.*B[C-F]{43,53}CEF[^C-F].*;../runGen4Rest/hyper-03-08/MSInternal-between_02_1.txt;1.29;0.42;0.01;0.36;0.4;0.44;0.12;0.48;0.13;0.03;0.01;0.03;1.11;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300046
.*A.*[BD]C{43,43}D[^E].*;../runGen4Rest/hyper-03-08/MSInternal-between_03_1.txt;0.98;0.39;0.0;0.36;0.4;0.49;0.14;0.28;0.14;0.02;0.02;0.04;0.26;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300044
.*A.*[BD]C{86,86}DD.*;../runGen4Rest/hyper-03-08/MSInternal-between_04_1.txt;0.05;0.01;0.04;0.54;TO;0.78;0.02;0.52;TO;0.02;0.01;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;10.300059
.*ADCC[B-D]{200,200}.*;../runGen4Rest/hyper-03-08/MSInternal-between_05_1.txt;TO;0.1;0.03;0.55;TO;0.66;0.02;0.28;0.27;0.05;0.16;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;10.5
.*A[^AB]{0,400}[CE]D{86,86}EE.*;../runGen4Rest/hyper-03-08/MSInternal-between_06_1.txt;0.06;0.02;0.05;0.54;TO;0.88;0.04;0.27;0.55;0.03;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;10.721576
.*A[^AB]{0,400}[CG][EF]{43,43}G[^DF].*;../runGen4Rest/hyper-03-08/MSInternal-between_07_1.txt;TO;0.08;0.0;0.35;0.4;0.47;0.16;0.28;0.2;0.03;0.28;0.04;0.32;0.96;TO;0;1;1;1;1;1;0;1;0;0;1;1;1;10.85465
.*A[^AB]{0,800}C[D-G]{43,53}DFG[^D-H].*;../runGen4Rest/hyper-03-08/MSInternal-between_08_1.txt;TO;0.05;0.01;0.37;0.39;0.52;0.16;0.31;0.21;0.05;0.2;0.05;0.25;0.92;TO;0;1;1;1;1;1;0;1;0;0;1;1;1;10.78049
.*BA{0,50}(EC|EE)A{0,10}[DE]{86,86}FF.*;../runGen4Rest/hyper-03-08/MSInternal-between_09_1.txt;0.05;0.01;0.04;0.58;TO;0.84;0.02;0.26;0.42;0.05;0.01;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;10.30005
.*BA{0,50}(FD|FF)A{0,10}[E-G]{43,43}H[^CG].*;../runGen4Rest/hyper-03-08/MSInternal-between_10_1.txt;7.01;0.42;0.01;0.35;0.39;0.46;0.13;0.29;0.14;0.03;0.02;0.05;0.28;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.300034
.*DOHILMPKGKV[^F]+(JKISVRTMQPGKVA*EA*B[CH-K]{48,}|UHNMJHTMQPGKVA*EA*B[CH-K]{48,})[^F]+F.*;../runGen4Rest/hyper-03-08/MSInternal-between_11_1.txt;0.04;0.02;0.02;0.61;TO;0.86;0.02;0.26;TO;0.19;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.300113
.*GDIIJFHE[AB]+[C-J]{52,52}([AB].*|B+.*);../runGen4Rest/hyper-03-08/MSInternal-between_12_1.txt;TO;0.06;0.03;0.57;TO;0.76;0.02;0.29;0.36;0.04;0.11;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;10.300033
.*IHEGFJDCA[BD-J]{60,60}A.*;../runGen4Rest/hyper-03-08/MSInternal-between_13_1.txt;TO;0.01;0.02;0.58;TO;0.76;0.02;0.27;0.35;0.04;0.09;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;10.300044
.*[AC]B{70,70}CC.*;../runGen4Rest/hyper-03-08/MSInternal-between_14_1.txt;0.04;0.01;0.03;0.55;TO;0.76;0.02;0.73;0.34;0.03;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;10.300032
