pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
\x20.{0,30}\<credit note.{0,30}\<is attached.{0,30}\<open.{0,30}\<Adobe Reader. If you do not have an Adobe Reader.{0,40}\<download\sit: http://get.adobe.com/reader/\x20{2};../runGen8/texts/missing-hyper2/missing-20-08_9025_1.txt;0.01;0.02;TO;0.64;TO;TO;0.0;0.28;9.47;0.37;0.02;0.98;1.68;2.87;0;0;TO;0;TO;TO;ERR;0;0;0;0;0;0;0;11.005302
\x20<BODY>.{5,80}<br>.{5,80} <a href=""mailto:[a-z0-9._-]{1,30}@[-.a-z0-9]{1,40}\.[a-z]{2,4}"">.{2,50}</a>.{0,20}<br>.{5,80}<br>.{5,80}</BODY>;../runGen8/texts/missing-hyper2/missing-20-08_9027_1.txt;0.04;0.03;0.0;0.38;0.14;TO;0.02;0.27;0.1;0.02;0.02;0.05;0.33;1.05;0;0;1;1;1;TO;1;0;1;0;0;1;0;1;11.000475
\x20<BODY><style>.{250,}<\/style>.{0,2}<center>.{0,2}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}""><img .{50,100}><\/a><br>.{0,2}<style>.{150,}<\/style><\/BODY>;../runGen8/texts/missing-hyper2/missing-20-08_9028_1.txt;0.01;0.03;0.06;0.6;TO;TO;0.0;0.29;TO;TO;0.02;TO;0.41;ERR;0;0;0;0;TO;TO;ERR;0;TO;TO;0;TO;0;ERR;11.000031
\x20<BODY[^>]{0,20}>[\x20\x20]{1,2}<DIV.{5,60}<A[ \x20\x20]{1,2}href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}"">[^<]{5,40}<\/A>.{5,40}<DIV.{5,100}<DIV.{1,25}<A href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\/""><IMG .{50,150}<\/A><\/DIV><\/BODY>;../runGen8/texts/missing-hyper2/missing-20-08_9031_1.txt;0.04;0.03;0.03;0.54;0.69;TO;0.0;0.25;0.3;0.02;0.02;0.08;2.2;0.99;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;11.000012
\x20<BODY[^>]{0,25}>.{0,6}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\x20?"">.{5,80}<br><br>.{0,6}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\x20?"">.{5,180}<br><br>.{0,10}.{5,180}<br>.{5,180}<\/BODY>;../runGen8/texts/missing-hyper2/missing-20-08_9032_1.txt;0.15;0.07;0.05;0.58;12.04;TO;0.0;0.27;4.34;0.01;0.02;0.4;0.59;1.82;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;11.000248
\x20<\/HEAD><BODY[^>]{0,20}>[\x20\x20]{1,2}<p>.{250,}<\/p>[\x20\x20]{1,2}<p>.{200,}<br \/>[\x20\x20]{1,2}<br \/>.{20,150}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\/"">.{50,180}<\/a>.{2,30}<\/p>[\x20\x20]{1,2}<\/BODY>;../runGen8/texts/missing-hyper2/missing-20-08_9033_1.txt;0.06;0.12;0.04;0.55;0.62;TO;0.0;0.26;0.28;0.02;0.02;0.08;0.57;1.06;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;11.000025
\x20<body>.{0,2}<style>.{2,120}<center>.{0,2}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}""><img [^>]{5,50}><\/a><br>.{0,2}<style>.{2,120}<\/center>.{0,2}<\/body>;../runGen8/texts/missing-hyper2/missing-20-08_9034_1.txt;0.04;0.03;0.05;0.6;0.9;TO;0.0;0.28;0.34;0.03;0.02;0.11;0.46;1.08;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;11.00004
\x20<body>.{2,20} [a-z0-9._-]{1,30}@[-.a-z0-9]{1,40}\.[a-z]{2,4} {0,5}<br>.{2,30}<style>[^<]{2,100}<\/style>.{2,20}<br>.{3,20}<br>.{3,60}<\/style>.{0,2}<\/body>;../runGen8/texts/missing-hyper2/missing-20-08_9035_1.txt;0.01;0.05;0.04;0.58;0.98;TO;0.0;0.27;0.35;0.03;0.02;0.16;1.62;1.1;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;11.00001
\x20<body>[\x20\x20]{1,2}<table.{20,80}<tr>.{0,10}<td>.{20,150}<br \/>.{20,100}<br \/>.{0,15}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\/[^>]{1,40}"">.{1,60}<\/a><br \/>.{20,100}<br \/>.{100,}<\/td>[\x20\x20 ]{1,5}<\/tr>[\x20\x20]{1,2}<\/table>[\x20\x20]{1,2}<\/body>;../runGen8/texts/missing-hyper2/missing-20-08_9036_1.txt;0.04;0.06;0.03;0.61;0.73;TO;0.0;0.28;0.2;0.03;0.02;0.12;0.46;0.76;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;11.0
<body><table[^>]{0,80}><tr.{50,100}<\/tr><tr.{50,100}<\/tr><tr.{5,30}<hr[^>]{0,20}><a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}"">.{3,40}<\/a><hr[^>]{0,20}>.{0,10}<\/tr><tr.{50,100}<\/tr><\/table><\/body>;../runGen8/texts/hyper-26-08/missing-20-08_9023_1.txt;0.07;0.05;0.0;0.38;0.17;TO;0.0;0.28;0.1;0.02;0.02;0.03;0.5;1.03;1;0;1;1;1;TO;ERR;0;1;0;0;1;0;1;11.000232
