pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
<(Members just like YOU are earning up to \d{1,8}(\,\d{1,5})? USD a DAY using this same software\.|Our members are making around \$\d{1,8}(\,\d{1,5})? per day without effort|\$\d{1,8}(\,\d{1,5}(\.\d{1,5})?)? per month all in the same sentence);../runGen4Rest/hyper-03-08/TrustPort-nested-between_00_1.txt;0.01;0.02;0.02;0.56;0.73;ERR;0.0;0.24;0.14;0.01;0.15;0.12;0.53;0.7;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;10.300003
<div id=""[^""]{1,50}"">\s*(<span id=""[^""]{1,50}"">\s*){1,3};../runGen4Rest/hyper-03-08/TrustPort-nested-between_01_1.txt;14.03;0.17;0.04;0.58;0.85;0.88;0.04;0.28;0.69;0.02;0.08;0.09;1.27;1.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.236368
[^\x20]{5,180}\x20\x20http://[-.a-z0-9]{1,40}\.[a-z]{2,4}/\?\d{2,10}\x20(\x20[^\x20]{2,180}\x20){3,20};../runGen4Rest/hyper-03-08/TrustPort-nested-between_02_1.txt;0.14;0.46;ERR;0.7;9.44;1.24;6.26;0.29;3.46;0.24;1.45;0.71;2.72;1.83;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;12.880568
\$\d{1,6}(,|\.\d{1,6})?\s*Penalty(\s*-\s*ID:\d{1,10})?\>;../runGen4Rest/hyper-03-08/TrustPort-nested-between_03_1.txt;0.02;0.1;0.03;0.66;2.94;0.84;0.0;0.26;0.4;0.03;0.62;0.46;2.35;0.8;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.30002
\<invoice copy attached|find attached (\S{1,20} )?invoice|find your latest invoice attached;../runGen4Rest/hyper-03-08/TrustPort-nested-between_04_1.txt;0.04;0.05;0.06;0.51;0.98;0.75;0.0;0.26;0.25;0.02;0.22;0.23;0.86;0.93;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;11.49768
\x20<BODY><b>[^<]{1,20}!</b><br><br>\x20([^<]{1,180}<br>\x20){2}<br>\x20<b>[^<]{1,150}</b><br>\x20(\d. [^<]{1,30}<br>\x20){2}\d. [^<]{1,30}<br><br>\x20[^<]{1,150}<a href=[^<]{1,80}.[a-zA-Z]{2,3};../runGen4Rest/hyper-03-08/TrustPort-nested-between_05_1.txt;0.04;0.06;0.07;0.69;0.9;1.07;0.07;0.29;2.62;0.02;0.03;0.09;0.56;1.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15.103803
^(.*)?to invest \$\d{1,5}(\.\d{1,5})? (M|m)illion to \$\d{1,5}(\.\d{1,5})? (M|m)illion(.*)?$;../runGen4Rest/hyper-03-08/TrustPort-nested-between_06_1.txt;0.03;0.18;0.04;0.62;4.2;0.71;0.02;0.26;0.67;0.02;0.89;0.7;1.13;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30002
^[^\x20]{10,100}\x20\x20http://worldpay\.googlegroups\.com/web/Worldpay[^\x20]{2,220}\x20\x20([^\x20]{2,120}\x20){2,8}\x20([^\x20]{2,120}\x20){2,8}\x20\x20$;../runGen4Rest/hyper-03-08/TrustPort-nested-between_07_1.txt;0.06;0.13;ERR;0.39;0.18;0.58;0.04;0.26;0.16;0.02;0.02;0.19;0.32;1.0;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;12.051035
^[^\x20]{180,}\x20--\x20[^\x20]{2,30}\x20([^\x20]{0,30}\<avast[^\x20]{0,60}\x20)?$;../runGen4Rest/hyper-03-08/TrustPort-nested-between_08_1.txt;0.02;0.02;0.0;0.37;0.14;0.52;0.0;0.26;0.4;0.0;0.02;0.17;0.32;0.89;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.731168
^\x20DNES (\S{1,15} ){1,3}\/ V.{1,2}ECHNY (\S{1,15} ){1,3}\/ (\S{1,15} ){0,2}NOV\S( \S{1,15}){0,3}\s*\x20[^\x20]{10,120}\x20;../runGen4Rest/hyper-03-08/TrustPort-nested-between_09_1.txt;0.01;0.03;0.0;0.38;0.17;ERR;0.0;0.28;0.11;0.01;0.02;0.16;0.26;0.99;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;11.845023
^application\/zip name=""(CONTRACT|INVOICE)_\d{1,20}_[-\.a-z0-9]{1,20}(_[a-z0-9]{1,15})?\.zip"";../runGen4Rest/hyper-03-08/TrustPort-nested-between_10_1.txt;0.02;0.02;0.0;0.48;0.15;0.59;0.0;0.29;0.08;0.01;0.02;0.15;0.22;0.67;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300052
^application\/zip name=""([a-z0-9]{2,5}\.)?INVOICE_\d{2,25}_[\w\-\.]{1,35}\.zip"";../runGen4Rest/hyper-03-08/TrustPort-nested-between_11_1.txt;0.04;0.02;0.01;0.99;0.14;1.0;0.0;0.27;0.07;0.01;0.02;0.15;0.25;0.68;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300056
