pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
 ]{1,75}\s*\)\s*document\.execCommand\(\s*[\x22\x27]Undo[\x22\x27]\s*\)\s*\x3B;../runGen4Rest/hyper-03-08/bech1-between_00_1.txt;0.04;0.13;0.04;0.57;1.16;0.66;0.02;0.29;0.16;0.02;0.16;0.18;0.52;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300032
&itwm=([a-z0-9\-\=]{1,50});../runGen4Rest/hyper-03-08/bech1-between_01_1.txt;0.8;0.06;0.03;0.54;0.82;0.64;0.0;0.25;0.22;0.04;0.27;0.1;0.34;0.71;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
(__proto__|setPrototype).{0,50}prototype;../runGen4Rest/hyper-03-08/bech1-between_02_1.txt;0.05;0.04;0.03;0.58;1.26;0.86;0.01;0.25;0.4;0.02;0.02;0.2;0.92;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.706633
.php\?q=\d{1,4}\.\d{2,4}\.\d{1,3}\.\d{1,3}\.\d{1,3}\.[0-9a-f]{64}\.1.\d{4,6};../runGen4Rest/hyper-03-08/bech1-between_03_1.txt;0.01;0.05;0.04;0.71;3.66;0.87;0.02;0.25;0.22;0.02;0.1;0.28;1.78;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
<rt[^?]*style\s*=\s*[\x22\x27]?-ms-hyphens\s*\x3A\s*auto\s*\x3B\s*[\x27\x22]?\>[\w\W]{680};../runGen4Rest/hyper-03-08/bech1-between_04_1.txt;0.05;1.68;0.01;0.39;0.2;0.69;0.0;0.25;0.22;0.02;0.1;0.03;0.31;0.95;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.808823
<xsl:[^>]*(apply-templates|choose|copy-of|for-each|if|number|for-each|value-of|variable).{0,255}(select|value|test)\s*\x3d\s*\x5c?\x22substring-after\s*\x28(\s*\x27[^\x22]\x27\s*|\s*[^\x27\x22\x2c]\s*)\x29;../runGen4Rest/hyper-03-08/bech1-between_05_1.txt;0.12;0.21;0.07;0.69;TO;1.66;0.04;0.29;TO;0.03;0.01;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;11.554432
GET\s\/[\w-]{64}\sHTTP\/1\.[^\x2f]+Host\x3a\x20[^\x3a]+\x3a\d+\x20\x20;../runGen4Rest/hyper-03-08/bech1-between_06_1.txt;0.0;0.01;0.01;0.92;0.23;2.04;0.0;0.27;0.12;0.0;0.02;0.05;0.45;0.88;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.410782
ID\s*\[\s*[^\]]*<[a-fA-F0-9]{140,}>;../runGen4Rest/hyper-03-08/bech1-between_07_1.txt;0.04;0.05;0.03;0.55;TO;0.76;0.02;0.22;TO;TO;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;TO;TO;TO;TO;10.30006
RegExp?\x23.{0,5}\x28\x3f[^\x29]{0,4}i.*\x28\x3f\x2d[^\x29]{0,4}i.{0,50}\x7c\x7c;../runGen4Rest/hyper-03-08/bech1-between_08_1.txt;0.01;0.22;0.04;0.53;TO;1.1;0.03;0.28;TO;0.04;TO;TO;0.78;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;0;TO;11.270338
V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}\x22ell;../runGen4Rest/hyper-03-08/bech1-between_09_1.txt;TO;0.12;0.1;0.82;3.85;1.29;0.01;0.3;1.3;0.07;0.01;0.2;0.94;1.2;TO;0;0;0;0;0;0;0;0;0;0;0;0;0;10.925988
V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}ell\x22;../runGen4Rest/hyper-03-08/bech1-between_10_1.txt;0.06;0.12;0.04;0.57;1.19;1.02;0.01;0.31;0.43;0.02;0.01;0.09;0.48;0.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.670544
[^&]+&[a-z]=[a-f0-9]{16}&[a-z]=[a-f0-9]{16}$;../runGen4Rest/hyper-03-08/bech1-between_11_1.txt;5.81;0.02;0.03;0.54;10.65;0.75;0.0;0.25;1.94;0.04;0.44;1.26;2.51;1.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[a-f0-9]{32}=[a-f0-9]{32};../runGen4Rest/hyper-03-08/bech1-between_12_1.txt;0.0;0.09;0.0;0.3;0.13;0.39;0.0;0.27;0.06;0.01;0.01;0.03;0.23;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[a-z0-9]{32}\.jar;../runGen4Rest/hyper-03-08/bech1-between_13_1.txt;0.0;0.01;0.04;0.51;8.78;0.85;0.0;0.27;0.08;0.28;0.02;1.6;0.98;2.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30001
\.php\?[a-z]{2,8}=[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\x3a[a-z0-9]{2}\&[a-z]{2,8}=;../runGen4Rest/hyper-03-08/bech1-between_14_1.txt;0.04;0.06;0.02;0.51;0.76;0.76;0.02;0.29;0.22;0.02;0.2;0.16;1.04;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300029
\/3\/[A-Z]{2}\/[a-f0-9]{32}\.djvu;../runGen4Rest/hyper-03-08/bech1-between_15_1.txt;0.0;0.01;0.03;0.53;0.52;0.73;0.0;0.28;0.08;0.02;0.02;0.12;0.54;0.71;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300038
\/3\/[A-Z]{2}\/[a-f0-9]{32}\.mkv;../runGen4Rest/hyper-03-08/bech1-between_16_1.txt;0.0;0.05;0.03;0.53;0.54;0.76;0.0;0.25;0.08;0.02;0.02;0.11;0.67;0.73;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.30002
\/[a-f0-9]{32}\.jar$;../runGen4Rest/hyper-03-08/bech1-between_17_1.txt;0.01;0.01;0.04;0.5;0.6;0.72;0.0;0.29;0.08;0.04;0.02;0.1;0.46;0.68;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300032
\/[a-f0-9]{32}\/[a-f0-9]{32}\x22;../runGen4Rest/hyper-03-08/bech1-between_18_1.txt;0.01;0.01;0.03;0.5;0.95;0.82;0.0;0.27;0.38;0.04;0.1;0.18;0.56;0.81;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300026
\/[a-f0-9]{32}\/\d{10}\/[a-f0-9]{32}\/\d{10}\.tpl$;../runGen4Rest/hyper-03-08/bech1-between_19_1.txt;0.0;0.01;0.03;0.6;0.94;0.87;0.0;0.27;0.08;0.03;0.02;0.19;0.76;0.69;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300017
\/[a-zA-Z0-9]{32}\.jar;../runGen4Rest/hyper-03-08/bech1-between_20_1.txt;0.0;0.0;0.02;0.52;0.59;0.76;0.0;0.3;0.07;0.04;0.01;0.1;0.52;0.75;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300032
\/\?[0-9a-f]{32};../runGen4Rest/hyper-03-08/bech1-between_21_1.txt;1.16;0.02;0.03;0.54;1.67;0.64;0.0;0.3;0.37;0.06;0.64;0.21;0.39;0.7;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
\/\?[a-z0-9]{9}\=[a-zA-Z0-9]{45};../runGen4Rest/hyper-03-08/bech1-between_22_1.txt;0.78;0.04;0.04;0.54;0.69;0.77;0.0;0.28;0.26;0.03;0.18;0.15;0.74;0.79;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.5
