pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
encoding\x3D[\x22\x27][^\x22\x27]{1024};../runGen4Rest/hyper-03-08/bech1-above_00_1.txt;0.85;0.3;ERR;0.56;0.89;0.79;0.03;0.28;0.29;0.03;0.25;0.19;0.44;0.8;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
session_id=\x22[^\x22]{0,1000}([\x60\x3b\x7c]|\x24\x28|%60|%3b|%7c|%26|%24%28);../runGen4Rest/hyper-03-08/bech1-above_01_1.txt;0.84;0.28;0.11;0.66;6.72;1.0;0.12;0.32;0.87;0.13;0.71;0.41;1.25;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.9474
version\x3D[\x22\x27][^\x22\x27]{1024};../runGen4Rest/hyper-03-08/bech1-above_02_1.txt;0.85;0.3;ERR;0.53;0.94;0.84;0.02;0.23;0.32;0.04;0.27;0.17;0.42;0.74;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}));../runGen4Rest/hyper-03-08/bech2-above_01_1.txt;1.64;0.32;ERR;0.58;0.99;1.0;0.03;0.27;0.36;0.04;0.45;0.19;0.96;0.78;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;10.5
\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,});../runGen4Rest/hyper-03-08/bech2-above_08_1.txt;1.75;0.04;ERR;0.55;2.88;0.87;0.03;0.3;0.58;0.08;1.32;0.48;0.74;0.72;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,});../runGen4Rest/hyper-03-08/bech2-above_09_1.txt;2.0;0.04;ERR;0.57;2.88;0.88;0.03;0.27;0.63;0.07;1.26;0.46;0.68;0.81;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
%[^\x20\x20]{1000};../runGen4Rest/hyper-03-08/bech3-above_00_1.txt;0.79;1.38;0.14;5.92;0.14;0.41;0.1;0.28;0.07;0.02;0.02;0.03;0.26;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37};../runGen4Rest/hyper-03-08/bech3-above_01_1.txt;18.56;0.27;ERR;0.69;41.16;61.32;20.48;0.29;4.48;0.77;14.18;7.99;6.31;2.61;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;12.6
(Context|Action)\x3D[^\x26\x3b]{1024};../runGen4Rest/hyper-03-08/bech3-above_02_1.txt;0.88;0.53;ERR;0.42;0.12;0.43;0.03;0.3;0.06;0.0;0.01;0.02;0.22;0.66;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;10.5
(OvJavaScript|OvTitleFrame|OvHelpWindow|OvMap|OvSession|OvJavaLocale|OvOSLocale|OvLogin|OvDebug|OvDeveloper|OvTreeControl|OvJavaScript|OvProduct|OvPort|OvLocale|OvWebSession)\s*\x3D[^\x3B\x2C]{1024};../runGen4Rest/hyper-03-08/bech3-above_03_1.txt;0.84;0.72;ERR;0.52;0.13;1.26;0.04;0.26;0.08;0.02;0.02;0.03;0.24;0.7;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;10.5
