pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
<figure[^>]+dir\s*=\s*[\x22\x27]\s*rtl\s*[\x22\x27].*(&#?x?[a-z\d]{2,4}\x3b){100};../runGen4Rest/hyper-03-08/bech1-nested-between_00_1.txt;0.04;0.25;0.04;0.62;TO;0.8;2.49;0.27;TO;0.02;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.300026
id=[a-f\d]{8}(-[a-f\d]{4}){3}-[a-f\d]{12};../runGen4Rest/hyper-03-08/bech1-nested-between_01_1.txt;0.61;0.06;0.02;0.45;0.64;ERR;0.02;0.28;0.17;0.02;0.22;0.1;0.4;0.7;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;10.30001
(#\d{1,2}){20};../runGen4Rest/hyper-03-08/bech3-nested-between_00_1.txt;0.04;0.13;0.0;0.39;0.13;ERR;0.0;0.22;0.06;0.01;0.02;0.03;0.21;0.67;0;1;1;1;1;ERR;1;0;1;1;1;1;1;1;10.300002
(,\d{1,3}){20};../runGen4Rest/hyper-03-08/bech3-nested-between_01_1.txt;0.03;0.15;0.01;0.38;0.14;ERR;0.01;0.24;0.06;0.02;0.01;0.03;0.28;0.68;0;1;1;1;1;ERR;1;0;1;1;1;1;1;1;10.300005
([etDZhns8dz]{1,3}k){3}[etDZhns8dz]{1,3}f[etDZhns8dz]{16}A;../runGen4Rest/hyper-03-08/bech3-nested-between_02_1.txt;0.04;0.01;0.03;0.55;15.11;1.0;0.02;0.27;2.3;0.31;4.43;2.39;1.99;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300002
(\/[0-9a-z]{1,6}){1,5}\/[0-9a-z]{1,7}(\.zip|\.xml|\.htm|\.pdf)\/\?[0-9a-z]{1,3}=[0-9a-z\/+]*=?=?;../runGen4Rest/hyper-03-08/bech3-nested-between_03_1.txt;0.0;0.01;0.04;0.58;33.0;ERR;0.0;0.24;4.18;0.38;0.02;4.41;4.7;1.43;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;10.300003
.{18}[\x20\x20\x20\x20\x20\x20]\x20\x20\x20.+(\x2E{2}[\x5C\x2F]){2};../runGen4Rest/hyper-03-08/bech3-nested-between_04_1.txt;0.04;0.11;0.03;0.57;TO;1.1;0.02;0.27;TO;0.02;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.5
<ref\s+href\s*=\s*\x22([^\x22]{2}|(\x25[0-9A-Z]{2}){1,2})\x3A\x2F[^\x22]{100};../runGen4Rest/hyper-03-08/bech3-nested-between_06_1.txt;0.0;0.11;0.03;0.56;1.49;ERR;0.02;0.32;0.34;0.05;0.48;0.29;2.33;0.73;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;10.5
HTTP\/1\.[01].*([^\r\n]){32};../runGen4Rest/hyper-03-08/bech3-nested-between_07_1.txt;21.49;0.51;0.01;0.32;0.39;0.4;0.0;0.25;0.18;0.03;0.02;0.04;0.26;0.66;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.5
HostList=([^\r\n\x3B]{,296}\x3B)*[^\r\n\x3B]{297};../runGen4Rest/hyper-03-08/bech3-nested-between_08_1.txt;0.06;1.33;0.01;0.35;0.1;0.43;0.0;0.26;0.07;0.02;0.02;0.02;0.06;0.65;1;1;1;1;1;1;ERR;0;1;1;1;1;;1;10.5
InformixServerList=([^\r\n\x3B]{,293}\x3B)*[^\r\n\x3B]{294};../runGen4Rest/hyper-03-08/bech3-nested-between_09_1.txt;8.54;1.36;0.01;0.36;0.14;0.53;0.0;0.29;0.08;0.01;0.02;0.02;0.07;0.65;0;1;1;1;1;1;ERR;0;1;1;1;1;;1;10.5
STOR\x20fp(_[A-F0-9]{8}){2}[A-F0-9]{8}_[A-F0-9]{4}(_[A-F0-9]{8}){2}\x2ebin\x20\x20;../runGen4Rest/hyper-03-08/bech3-nested-between_10_1.txt;0.01;0.03;0.03;0.53;0.71;ERR;0.02;0.29;0.27;0.03;0.15;0.16;0.45;0.77;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;10.300014
\.php\?id=(\d{5}-\d{3}-\d{7}-\d{5}|0[0-9a-f]{8}-([0-9a-f]{4}-){3}[0-9a-f]{12}1)&ver=\d{7};../runGen4Rest/hyper-03-08/bech3-nested-between_11_1.txt;0.02;0.05;0.03;0.64;0.85;0.96;0.02;0.26;0.2;0.03;0.17;0.13;0.63;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
