pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^COPY[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9285_1.txt;0.08;0.02;0.0;0.32;0.1;0.42;0.0;0.28;0.06;0.02;0.01;0.02;0.22;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^DELETE[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9289_1.txt;0.08;0.02;0.02;0.32;0.14;0.36;0.0;0.26;0.07;0.01;0.02;0.04;0.25;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^GET[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9304_1.txt;0.08;0.02;0.0;0.31;0.12;0.39;0.0;0.32;0.08;0.01;0.02;0.02;0.22;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^HEAD[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9311_1.txt;0.08;0.01;0.01;0.3;0.12;0.42;0.0;0.25;0.06;0.0;0.01;0.02;0.21;0.66;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^LOCK[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9320_1.txt;0.07;0.01;0.0;0.3;0.14;0.4;0.0;0.26;0.07;0.01;0.02;0.02;0.2;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^MKCOL[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9328_1.txt;0.07;0.02;0.0;0.31;0.12;0.4;0.0;0.24;0.07;0.01;0.01;0.03;0.23;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^MOVE[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9329_1.txt;0.07;0.02;0.01;0.3;0.1;0.4;0.0;0.3;0.08;0.02;0.02;0.03;0.23;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^POST[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9337_1.txt;0.07;0.01;0.01;0.31;0.13;0.38;0.01;0.3;0.06;0.01;0.01;0.04;0.21;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^PUT[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9343_1.txt;0.08;0.01;0.0;0.31;0.13;0.4;0.0;0.23;0.06;0.01;0.02;0.04;0.22;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^TRACE[^s]{432};../runGen4Rest/hyper-03-08/bech3-between_9372_1.txt;0.07;0.01;0.0;0.29;0.13;0.39;0.01;0.28;0.06;0.02;0.02;0.02;0.24;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^([nN][aA][mM][eE]|[iI][dD]|[nN][uU][mM][bB][eE][rR]|[tT][oO][tT][aA][lL]|[bB][oO][uU][nN][dD][aA][rR][yY])=[\x20\x20\x20]*[^\r\n\x3b\s\x2c]{300};../runGen4Rest/hyper-03-08/bro-between_00_1.txt;0.03;0.02;0.0;0.36;0.15;0.46;0.01;0.26;0.3;0.01;0.01;0.15;0.24;0.67;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* LOGIN [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_01_1.txt;3.2;0.26;0.03;0.53;1.18;0.58;0.02;0.23;0.29;0.03;0.17;0.25;0.44;0.69;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* LSUB [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_02_1.txt;3.53;0.27;0.03;0.52;1.19;0.61;0.02;0.26;0.29;0.04;0.18;0.27;0.43;0.68;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* [aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][eE] [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_03_1.txt;1.92;0.16;0.03;0.52;1.69;0.56;0.02;0.31;0.25;0.04;0.18;0.33;0.48;0.7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* [cC][hH][oO][wW][nN] [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_04_1.txt;3.21;0.26;0.04;0.54;1.74;0.58;0.02;0.25;0.28;0.03;0.2;0.34;0.5;0.72;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* [cC][pP][wW][dD] [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_05_1.txt;3.6;0.28;0.03;0.52;1.76;0.61;0.02;0.24;0.28;0.04;0.22;0.34;0.49;0.73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* [lL][iI][sS][tT] [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_06_1.txt;3.63;0.3;0.03;0.53;1.76;0.62;0.02;0.23;0.29;0.04;0.22;0.36;0.5;0.72;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* [nN][eE][wW][eE][rR] [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_07_1.txt;3.23;0.27;0.03;0.53;1.71;0.6;0.03;0.31;0.29;0.03;0.21;0.34;0.49;0.73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.* [zZ][iI][pP][cC][hH][kK] [^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_08_1.txt;2.89;0.24;0.03;0.52;1.74;0.6;0.02;0.31;0.29;0.03;0.19;0.35;0.46;0.73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.*Content-Transfer-Encoding:[^\x20]{100};../runGen4Rest/hyper-03-08/bro-between_09_1.txt;1.35;0.26;0.04;0.34;0.38;0.46;0.04;0.26;0.14;0.02;0.01;0.03;0.27;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^.*Content-Type:[^\x20]{50};../runGen4Rest/hyper-03-08/bro-between_10_1.txt;1.33;0.25;0.05;0.35;0.4;0.41;0.04;0.28;0.16;0.03;0.02;0.04;0.29;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^.*FOLD [^\x20]{256};../runGen4Rest/hyper-03-08/bro-between_11_1.txt;9.43;0.36;0.04;0.52;1.26;0.79;0.02;0.28;0.36;0.06;0.24;0.26;0.55;0.77;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^.*SEARCH \/ HTTP\/1\.1\x20\x20Host\x3A.{0,251}\x20\x20\x20\x20;../runGen4Rest/hyper-03-08/bro-between_12_1.txt;0.16;0.12;0.04;0.36;0.4;0.52;0.0;0.23;0.22;0.05;0.14;0.06;0.26;0.99;0;0;1;1;1;1;ERR;0;1;0;0;1;0;1;11.411708
^.*SEARCH \/ HTTP\/1\.1\x20\x20Host\x3a.{0,251}\x20\x20\x20\x20;../runGen4Rest/hyper-03-08/bro-between_13_1.txt;0.16;0.14;0.05;0.35;0.43;0.53;0.0;0.29;0.22;0.04;0.02;0.05;0.3;1.0;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;11.448759
^.*[aA][uU][tT][hH][^\x20]{50};../runGen4Rest/hyper-03-08/bro-between_14_1.txt;2.93;0.65;0.06;0.33;0.39;0.4;0.06;0.28;0.18;0.01;0.02;0.04;0.29;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^.*[aA][uU][tT][hH][oO][rR][iI][zZ][aA][tT][iI][oO][nN]: [bB][aA][sS][iI][cC] [^\x20]{512};../runGen4Rest/hyper-03-08/bro-between_15_1.txt;5.1;0.13;0.02;0.53;2.14;0.78;0.02;0.3;0.42;0.02;0.31;0.52;0.5;0.76;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
