pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
WebAdmin\x2Edll\x3F[^\r\n]*View=Logon.*[^\r\n\x26]*User=[^\r\n\x26]{100};../runGen4Rest/hyper-03-08/bech3-between_9038_1.txt;0.0;0.1;0.04;0.56;TO;0.68;0.02;0.25;TO;TO;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;0;TO;TO;TO;10.300004
SET_(SENDFROM|MAILHOST)\x28\x27[^\x27]{256};../runGen4Rest/hyper-03-08/bech3-between_9026_1.txt;0.03;0.08;0.03;0.55;0.67;0.88;0.02;0.32;0.3;0.03;0.33;0.12;0.54;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\s{230,}\.htr;../runGen4Rest/hyper-03-08/bech3-between_9142_1.txt;0.01;0.01;0.04;0.62;73.26;0.87;0.0;0.23;0.06;1.27;0.02;7.4;3.96;7.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300212
\s{23}DIMBUS\s+Server\s+v\d+\x2E\d+;../runGen4Rest/hyper-03-08/bech3-between_9143_1.txt;0.05;0.06;0.04;0.68;10.28;0.85;0.02;0.29;0.2;0.16;0.09;1.05;1.32;1.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30008
^\x2F40e800[0-9A-F]{30,}$;../runGen4Rest/hyper-03-08/bech3-between_9500_1.txt;0.02;0.02;0.0;0.34;0.12;0.42;0.0;0.3;0.12;0.01;0.02;0.16;0.22;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
cache_lastpostdate\[[^\]]+\]=[^\x20\x3B\x3D]{30};../runGen4Rest/hyper-03-08/bech3-between_9560_1.txt;0.04;0.08;0.03;0.55;0.7;0.86;0.02;0.3;0.28;0.04;0.22;0.16;0.42;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
Accept-Language\x3A[^\n]{100};../runGen4Rest/hyper-03-08/home-brewed-between_00_1.txt;0.01;0.3;0.0;0.32;0.13;0.4;0.0;0.28;0.08;0.01;0.02;0.02;0.25;0.69;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{250};../runGen4Rest/hyper-03-08/home-brewed-between_01_1.txt;0.02;1.56;0.0;0.39;0.12;0.49;0.0;0.3;0.08;0.01;0.02;0.03;0.24;0.67;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{512};../runGen4Rest/hyper-03-08/home-brewed-between_02_1.txt;0.12;1.64;0.01;0.38;0.15;0.5;0.01;0.27;0.07;0.01;0.02;0.03;0.24;0.69;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
Authorization\x3a\s*Basic[^\n]{256};../runGen4Rest/hyper-03-08/home-brewed-between_03_1.txt;0.03;1.63;0.0;0.34;0.14;0.48;0.0;0.26;0.07;0.02;0.01;0.02;0.24;0.66;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
Content-Length\x3A\s*[^\r\n]{100,};../runGen4Rest/hyper-03-08/home-brewed-between_04_1.txt;0.01;0.62;0.0;0.35;0.44;0.44;0.05;0.26;0.24;0.03;0.1;0.11;0.3;ERR;0;1;1;1;1;1;1;0;1;1;1;1;1;ERR;10.5
DESCRIBE\s[^\n]{300};../runGen4Rest/hyper-03-08/home-brewed-between_05_1.txt;0.03;1.49;0.0;0.36;0.13;0.43;0.01;0.28;0.07;0.02;0.02;0.02;0.24;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
Host\x3A\s[^\r\n]{300,};../runGen4Rest/hyper-03-08/home-brewed-between_06_1.txt;0.04;0.77;0.0;0.37;0.44;0.44;0.07;0.26;0.26;0.03;0.1;0.12;0.32;ERR;0;1;1;1;1;1;1;0;1;1;1;1;1;ERR;10.5
SoftCart.exe\?[^\s]{100};../runGen4Rest/hyper-03-08/home-brewed-between_08_1.txt;0.01;0.18;0.01;0.33;0.13;0.41;0.01;0.26;0.07;0.02;0.02;0.04;0.23;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
User-Agent\x3a[^\n]{216};../runGen4Rest/hyper-03-08/home-brewed-between_09_1.txt;0.02;0.4;0.01;0.32;0.13;0.4;0.0;0.3;0.07;0.02;0.02;0.03;0.23;0.68;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
User-Agent\x3a[^\n]{244,255};../runGen4Rest/hyper-03-08/home-brewed-between_10_1.txt;0.02;1.41;0.0;0.31;0.12;0.41;0.0;0.25;0.08;0.01;0.02;0.04;0.24;0.7;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
[\x20-t][bcdfghjklmnpqrstvwxyz]{5,32}\x20n;../runGen4Rest/hyper-03-08/home-brewed-between_12_1.txt;0.01;0.02;ERR;0.6;28.19;0.96;14.97;0.27;0.07;0.78;0.02;2.27;4.79;3.04;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;10.329159
[\x20-t][bcdfghjklmnpqrstvwxyz]{5,32}\x20ru;../runGen4Rest/hyper-03-08/home-brewed-between_13_1.txt;0.01;0.01;ERR;0.57;28.79;0.97;0.0;0.3;0.06;0.76;0.02;2.3;3.04;3.11;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;10.3128
\S{190}.rt;../runGen4Rest/hyper-03-08/home-brewed-between_14_1.txt;0.01;0.01;0.06;0.66;5.52;0.92;0.03;0.3;0.09;0.1;0.01;0.58;0.68;1.29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.6186
\s*Cookie\s*\x3a.*OvOSLocale\s*\x3d\s*[^\x3b\s]{249};../runGen4Rest/hyper-03-08/home-brewed-between_15_1.txt;0.05;0.28;0.04;0.64;TO;0.67;0.03;0.26;TO;0.04;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;10.5
\x2FCSuserCGI\x2Eexe\x3FLogout\x2B[^\s]{96};../runGen4Rest/hyper-03-08/home-brewed-between_18_1.txt;0.01;0.22;0.0;0.33;0.13;0.42;0.0;0.27;0.08;0.01;0.02;0.03;0.24;0.68;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
\x3c\x21\x2d\x2d\x23include\s+file[^(\x2d\x2d\x3e)]{250,};../runGen4Rest/hyper-03-08/home-brewed-between_19_1.txt;0.02;0.1;0.04;0.55;0.6;0.61;0.02;0.26;0.17;0.02;0.16;0.12;0.46;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^GET\s+\w[^\x20\x20]{165};../runGen4Rest/hyper-03-08/home-brewed-between_20_1.txt;0.01;0.01;0.0;0.81;0.13;0.82;0.0;0.29;0.12;0.02;0.02;0.17;0.23;0.69;1;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[^\x3e\x3f\x26]{50};../runGen4Rest/hyper-03-08/home-brewed-between_21_1.txt;0.0;0.01;0.01;0.32;0.14;0.39;0.0;0.31;0.08;0.02;0.02;0.03;0.25;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
connectID=[^&\x20\r\n]{255};../runGen4Rest/hyper-03-08/home-brewed-between_24_1.txt;0.98;0.43;0.01;0.32;0.14;0.41;0.0;0.26;0.07;0.02;0.02;0.03;0.25;0.65;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
contenttype=[^\r\n\x20\x20]{100};../runGen4Rest/hyper-03-08/home-brewed-between_25_1.txt;0.72;0.38;0.0;0.33;0.14;0.4;0.0;0.29;0.08;0.02;0.02;0.03;0.24;0.69;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
instancename=[^&\x20\r\n]{513};../runGen4Rest/hyper-03-08/home-brewed-between_26_1.txt;0.88;0.35;0.01;0.33;0.14;0.36;0.0;0.23;0.08;0.01;0.02;0.03;0.24;0.68;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
mfcisapicommand=[^&\r\n\x20]{250};../runGen4Rest/hyper-03-08/home-brewed-between_27_1.txt;1.12;0.32;0.0;0.35;0.12;0.41;0.0;0.29;0.08;0.01;0.02;0.04;0.22;0.68;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
