pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})));../runGen4Rest/hyper-03-08/Assorted-between_06_1.txt;0.0;0.06;0.03;0.97;25.59;10.6;0.02;0.28;3.49;0.5;5.22;3.36;4.4;1.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4});../runGen4Rest/hyper-03-08/internetSources-between_06_1.txt;1.87;0.06;0.04;0.64;10.07;1.3;0.0;0.27;1.58;0.15;4.72;2.6;3.47;1.08;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300021
(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1});../runGen4Rest/hyper-03-08/Assorted-between_21_1.txt;0.0;0.22;0.04;0.93;15.26;1.5;0.02;0.27;1.12;0.22;6.53;3.8;3.56;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22};../runGen4Rest/hyper-03-08/Assorted-between_24_1.txt;0.0;0.06;0.04;0.66;1.0;1.02;0.03;0.27;0.28;0.02;0.26;0.19;0.8;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.83871
[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7});../runGen4Rest/hyper-03-08/Assorted-between_26_1.txt;0.04;0.02;0.06;0.77;4.98;0.99;0.1;0.3;0.82;0.11;2.18;0.99;0.83;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10};../runGen4Rest/hyper-03-08/Assorted-between_33_1.txt;0.01;0.03;0.08;0.92;5.76;1.16;0.02;0.26;1.03;0.08;2.17;1.18;1.03;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
((DK|FI|HU|LU|MT|SI)(-)?\d{8})|((BE|EE|DE|EL|LT|PT)(-)?\d{9})|((PL|SK)(-)?\d{10})|((IT|LV)(-)?\d{11})|((LT|SE)(-)?\d{12})|(AT(-)?U\d{8})|(CY(-)?\d{8}[A-Z])|(CZ(-)?\d{8,10})|(FR(-)?[\dA-HJ-NP-Z]{2}\d{9})|(IE(-)?\d[A-Z\d]\d{5}[A-Z])|(NL(-)?\d{9}B\d{2})|(ES(-)?[A-Z\d]\d{7}[A-Z\d]);../runGen4Rest/hyper-03-08/internetSources-between_00_1.txt;0.01;0.12;0.07;0.65;19.18;4.9;0.05;0.26;2.46;0.33;5.43;6.22;4.76;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300017
(([a-zA-Z]{3}[0-9]{3})|(\w{2}-\w{2}-\w{2})|([0-9]{2}-[a-zA-Z]{3}-[0-9]{1})|([0-9]{1}-[a-zA-Z]{3}-[0-9]{2})|([a-zA-Z]{1}-[0-9]{3}-[a-zA-Z]{2}));../runGen4Rest/hyper-03-08/internetSources-between_01_1.txt;3.1;0.04;0.04;2.84;14.1;2.11;0.02;0.26;2.14;0.28;4.34;2.41;2.54;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.437288
(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5});../runGen4Rest/hyper-03-08/internetSources-between_03_1.txt;0.0;0.78;0.06;0.64;6.61;57.24;0.08;0.23;1.01;0.11;2.68;1.47;1.96;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300002
([A-Za-z\d.]{2,31}) #accept ASCII alphanumeric and period;../runGen4Rest/hyper-03-08/internetSources-between_05_1.txt;0.0;0.0;0.04;0.79;1.87;0.7;0.0;0.28;0.08;0.05;0.02;0.45;1.13;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300008
(\&quothttp:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}\&quot);../runGen4Rest/hyper-03-08/internetSources-between_07_1.txt;0.0;0.01;0.03;0.66;0.39;0.73;0.0;0.31;0.14;0.02;0.06;0.1;0.64;0.7;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300041
(\(0\d\d\)\s\d{3}[\s-]+\d{4})|(0\d\d[\s-]+\d{3}[\s-]+\d{4})|(0\d{9})|(\+\d\d\s?[\(\s]\d\d[\)\s]\s?\d{3}[\s-]?\d{4});../runGen4Rest/hyper-03-08/internetSources-between_08_1.txt;0.0;0.16;0.08;0.56;2.14;0.78;0.02;0.28;0.31;0.07;1.98;0.97;1.08;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(\d{2}\.\d{3}\.\d{3}\/\d{4}\-\d{2})|(\d{3}\.\d{3}\.\d{3}\-\d{2});../runGen4Rest/hyper-03-08/internetSources-between_10_1.txt;0.01;0.01;0.04;0.88;8.44;1.34;0.0;0.25;1.44;0.14;2.32;1.28;1.23;0.72;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.300011
(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4});../runGen4Rest/hyper-03-08/internetSources-between_11_1.txt;0.01;0.03;0.04;0.91;10.94;1.76;0.02;0.26;1.94;0.18;2.42;1.58;1.3;1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300003
0{3,}|1{3,}|2{3,}|3{3,}|4{3,}|5{3,}|6{3,}|7{3,}|8{3,}|9{3,};../runGen4Rest/hyper-03-08/internetSources-between_12_1.txt;0.04;0.01;0.09;0.56;5.39;0.86;0.02;0.28;0.72;0.1;5.63;2.41;0.96;0.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
AD\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|AD\d{22};../runGen4Rest/hyper-03-08/internetSources-between_13_1.txt;0.05;0.02;0.07;0.7;2.08;0.78;0.13;0.29;0.43;0.05;1.1;0.31;0.59;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.0
CH\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{1}|CH\d{19};../runGen4Rest/hyper-03-08/internetSources-between_14_1.txt;0.04;0.02;0.06;0.64;2.11;0.72;0.1;0.3;0.34;0.05;1.07;0.29;0.55;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
CZ\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|CZ\d{22};../runGen4Rest/hyper-03-08/internetSources-between_15_1.txt;0.05;0.01;0.06;0.64;1.98;0.72;0.02;0.3;0.34;0.06;1.07;0.3;0.54;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
DE\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{2}|DE\d{20};../runGen4Rest/hyper-03-08/internetSources-between_16_1.txt;0.04;0.01;0.06;0.64;2.03;0.88;0.1;0.32;0.34;0.05;1.09;0.3;0.54;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
