pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1};../runGen4Rest/hyper-03-08/Assorted-nested-between_04_1.txt;0.0;0.02;0.03;0.95;10.38;0.97;0.02;0.26;0.07;0.17;0.02;1.42;1.57;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.464585
([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*;../runGen4Rest/hyper-03-08/Assorted-nested-between_09_1.txt;ERR;0.03;0.05;1.08;6.88;ERR;0.0;0.28;0.07;0.01;2.74;0.02;1.84;0.83;ERR;0;0;0;0;ERR;ERR;0;"unmatched range specifier in char-class: /([0-9]* {0.2}[A-Z]{1}\w+[..:]? {0.4}[xvilcXVILC\d]+[..:]( {0.2}[\d-.]{1.7})+)([..:] {0.4}[xvilcXVILC]*[..:]( {0.2}[\d-.]{1.7})+)*/###0";0;0;0;0;0;10.300011
(\s+|)((\(\d{3}\) +)|(\d{3}-)|(\d{3} +))?\d{3}(-| +)\d{4}( +x\d{1,4})?(\s+|);../runGen4Rest/hyper-03-08/Assorted-nested-between_13_1.txt;0.0;0.03;0.04;0.97;26.9;1.38;0.0;0.23;2.77;0.35;7.01;4.64;2.9;0.94;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;10.30001
[({]?(0x)?[0-9a-fA-F]{8}([-,]?(0x)?[0-9a-fA-F]{4}){2}((-?[0-9a-fA-F]{4}-?[0-9a-fA-F]{12})|(,\{0x[0-9a-fA-F]{2}(,0x[0-9a-fA-F]{2}){7}\}))[)}]?;../runGen4Rest/hyper-03-08/Assorted-nested-between_16_1.txt;2.37;0.03;0.06;0.58;6.86;1.28;0.02;0.3;1.44;0.16;2.12;1.4;1.24;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.871655
((https?|ftp)\:\/\/)?([a-z0-9+!*(),?&=\$_.-]+(\:[a-z0-9+!*(),?&=\$_.-]+)?@)?(([a-z0-9-.]*)\.([a-z]{2,6}))|(([0-9]{1,3}\.){3}[0-9]{1,3})(\:[0-9]{2,5})?(\/([a-z0-9+\$_-]\.?)+)*\/?(\?[a-z+&\$_.-][a-z0-9:@&%=+\/\$_.-]*)?(#[a-z_.-][a-z0-9+\$_.-]*)?;../runGen4Rest/hyper-03-08/internetSources-nested-between_03_1.txt;ERR;0.02;0.04;0.6;16.02;ERR;0.0;0.26;0.09;0.29;9.36;5.1;3.86;1.24;ERR;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;11.31328
(GB-?)?([1-9][0-9]{2}\ ?[0-9]{4}\ ?[0-9]{2})|([1-9][0-9]{2}\ ?[0-9]{4}\ ?[0-9]{2}\ ?[0-9]{3})|((GD|HA)[0-9]{3});../runGen4Rest/hyper-03-08/internetSources-nested-between_04_1.txt;0.0;0.06;0.01;0.36;0.15;9.57;0.0;0.28;0.07;0.0;0.02;0.02;0.25;0.69;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;10.814874
(LT-?)?([0-9]{9}|[0-9]{12});../runGen4Rest/hyper-03-08/internetSources-nested-between_05_1.txt;0.03;0.04;0.03;0.56;7.32;1.14;0.03;0.3;1.28;0.1;3.96;2.16;2.6;1.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
(W(5|6)[D]?\-\d{9})|(W1\-\d{9}(\-\d{2})?);../runGen4Rest/hyper-03-08/internetSources-nested-between_06_1.txt;0.03;0.02;0.05;0.68;1.94;0.75;0.1;0.27;0.4;0.06;1.4;0.64;0.74;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4}|(\d{1,3}\.){3}\d{1,3};../runGen4Rest/hyper-03-08/internetSources-nested-between_07_1.txt;0.04;0.01;0.03;0.9;10.96;1.08;0.02;0.27;0.08;0.22;3.82;1.88;2.41;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.367232
(http://)?(www\.)?(youtube|yimg|youtu)\.([A-Za-z]{2,4}|[A-Za-z]{2}\.[A-Za-z]{2})/(watch\?v=)?[A-Za-z0-9\-_]{6,12}(&[A-Za-z0-9\-_]{1,}=[A-Za-z0-9\-_]{1,})*;../runGen4Rest/hyper-03-08/internetSources-nested-between_11_1.txt;1.42;0.08;0.04;0.59;6.18;1.26;0.02;0.29;1.02;0.13;1.73;1.98;2.31;0.82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
