pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}));../runGen4Rest/hyper-03-08/bech2-above_01_1.txt;1.64;0.32;ERR;0.58;0.99;1.0;0.03;0.27;0.36;0.04;0.45;0.19;0.96;0.78;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;10.5
\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,});../runGen4Rest/hyper-03-08/bech2-above_08_1.txt;1.75;0.04;ERR;0.55;2.88;0.87;0.03;0.3;0.58;0.08;1.32;0.48;0.74;0.72;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,});../runGen4Rest/hyper-03-08/bech2-above_09_1.txt;2.0;0.04;ERR;0.57;2.88;0.88;0.03;0.27;0.63;0.07;1.26;0.46;0.68;0.81;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37};../runGen4Rest/hyper-03-08/bech3-above_01_1.txt;18.56;0.27;ERR;0.69;41.16;61.32;20.48;0.29;4.48;0.77;14.18;7.99;6.31;2.61;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;12.6
NUMTO(DS|YM)INTERVAL\s*\(\s*\d+\s*,\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}));../runGen4Rest/hyper-03-08/bech3-above_10_1.txt;1.76;0.29;ERR;0.68;1.22;1.29;1.72;0.28;0.36;0.04;0.44;0.2;1.12;0.82;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;10.5
\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,});../runGen4Rest/hyper-03-08/bech3-above_25_1.txt;1.71;0.13;ERR;0.58;2.28;0.68;1.61;0.26;0.36;0.05;0.87;0.41;0.62;0.76;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;10.5
\(\s*TIMESTAMP\s*(\s*(\x27[^\x27]+'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}));../runGen4Rest/hyper-03-08/bech3-above_28_1.txt;1.66;0.35;ERR;0.56;2.69;0.95;1.75;0.26;0.53;0.07;0.86;0.44;0.76;0.84;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;10.5
\sCREATE\s[^\n]{1024};../runGen4Rest/hyper-03-08/bech3-above_30_1.txt;0.87;1.88;ERR;0.59;0.1;0.41;0.03;0.29;0.07;0.01;0.02;0.03;0.27;0.72;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;10.5
\sPARTIAL.*BODY\.PEEK\[[^\]]{1024};../runGen4Rest/hyper-03-08/bech3-above_31_1.txt;0.0;0.49;ERR;0.52;0.4;0.47;0.07;0.28;0.16;0.03;0.01;0.05;0.31;0.68;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;10.5
\sPARTIAL.*BODY\[[^\]]{1024};../runGen4Rest/hyper-03-08/bech3-above_32_1.txt;0.01;0.6;ERR;0.52;0.4;0.43;0.06;0.23;0.14;0.02;0.02;0.04;0.3;0.7;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;10.5
