pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^.{27};../runGen4Rest/hyper-03-08/bech1-between_35_1.txt;0.0;0.01;0.0;0.3;0.14;0.32;0.0;0.29;0.07;0.02;0.02;0.03;0.23;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
select\s+xmlquery\s*\x28\s*(\x27|\x22)[^\x27\x22]{512};../runGen4Rest/hyper-03-08/bech1-between_72_1.txt;0.16;0.41;0.03;0.57;1.14;0.89;0.02;0.28;0.33;0.03;0.34;0.27;0.55;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
AUTH\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_41_1.txt;0.0;0.44;0.0;0.37;0.14;0.4;0.0;0.26;0.07;0.01;0.02;0.03;0.25;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
TO_CHAR\s*\(\s*SYSTIMESTAMP\s*,\s*(\x27[^\x27]{256}|\x22[^\x22]{256});../runGen4Rest/hyper-03-08/bech2-between_50_1.txt;0.07;0.38;0.04;0.58;0.75;1.06;0.02;0.27;0.3;0.03;0.33;0.18;0.5;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\sAPPEND\s[^\n]{256};../runGen4Rest/hyper-03-08/bech2-between_9137_1.txt;0.03;1.36;0.01;0.46;0.12;0.41;0.0;0.26;0.07;0.02;0.02;0.04;0.25;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
\sAUTHENTICATE\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9138_1.txt;0.01;0.2;0.01;0.43;0.13;0.42;0.0;0.28;0.07;0.01;0.02;0.03;0.26;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
\sDELETE\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9139_1.txt;0.01;0.3;0.0;0.44;0.12;0.43;0.0;0.26;0.07;0.01;0.02;0.03;0.22;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
\sEXAMINE\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9140_1.txt;0.01;0.27;0.0;0.45;0.12;0.41;0.0;0.27;0.06;0.02;0.02;0.03;0.26;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
\sLOGIN\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9143_1.txt;0.02;0.34;0.01;0.41;0.14;0.42;0.0;0.28;0.06;0.01;0.01;0.02;0.24;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
\sRENAME\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9144_1.txt;0.0;0.31;0.0;0.42;0.14;0.42;0.0;0.27;0.06;0.01;0.02;0.03;0.22;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^APOP\s+USER\s[^\n]{256};../runGen4Rest/hyper-03-08/bech2-between_9196_1.txt;0.02;0.01;0.01;0.36;0.14;0.44;0.0;0.29;0.08;0.02;0.02;0.03;0.25;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^APOP\s[^\n]{256};../runGen4Rest/hyper-03-08/bech2-between_9197_1.txt;0.02;0.01;0.01;0.34;0.14;0.48;0.0;0.26;0.06;0.01;0.01;0.04;0.25;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^AUTH\s[^\n]{50};../runGen4Rest/hyper-03-08/bech2-between_9199_1.txt;0.0;0.0;0.0;0.32;0.14;0.47;0.0;0.3;0.08;0.02;0.02;0.02;0.21;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^PASS\s[^\n]{50};../runGen4Rest/hyper-03-08/bech2-between_9228_1.txt;0.0;0.01;0.01;0.33;0.12;0.47;0.0;0.26;0.06;0.01;0.02;0.04;0.24;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+CHOWN\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9241_1.txt;0.0;0.01;0.01;0.33;0.13;0.44;0.0;0.31;0.07;0.01;0.02;0.04;0.23;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+CPWD\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9242_1.txt;0.01;0.01;0.0;0.35;0.13;0.45;0.0;0.24;0.08;0.02;0.02;0.04;0.24;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+NEWER\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9243_1.txt;0.0;0.01;0.0;0.33;0.16;0.45;0.0;0.27;0.07;0.02;0.02;0.03;0.28;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+ZIPCHK\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9244_1.txt;0.01;0.01;0.0;0.33;0.14;0.43;0.0;0.28;0.08;0.01;0.02;0.02;0.25;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^XTND\s[^\n]{50};../runGen4Rest/hyper-03-08/bech2-between_9263_1.txt;0.01;0.01;0.0;0.34;0.12;0.46;0.0;0.31;0.06;0.02;0.02;0.03;0.26;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
username=[^&\x3b\r\n]{250};../runGen4Rest/hyper-03-08/bech2-between_9588_1.txt;0.86;0.46;0.0;0.35;0.12;0.39;0.0;0.25;0.07;0.01;0.02;0.03;0.23;0.68;0;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
