pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
""[ACGT]{1,12000}(AAC)[AG]{2,5}[ACGT]{2,5}(CTGTGTA)"""", ""paste(""(CTAAA)[AC]{5,100}(TTTGGG)"", rule_1, ""(CTT)[AG]{10,5000}"", rule_2, sep="""");../runGen8/texts/missing-hyper2/missing-20-08_21_1.txt;TO;1.77;ERR;1.31;3.42;1.47;0.04;0.28;0.58;0.13;0.02;0.48;1.59;0.89;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;11.003755
"" {10000}"";../runGen8/texts/missing-hyper/missingHyper_80_1.txt;0.12;0.0;ERR;TO;0.12;0.38;0.02;0.31;0.07;0.02;0.02;0.03;0.24;0.68;1;1;ERR;TO;1;1;1;ERR;1;1;1;1;1;1
""([a-zA-Z0-9]{0,4000})"";../runGen8/texts/missing-hyper/missingHyper_81_1.txt;TO;0.54;ERR;0.33;0.14;0.4;0.01;0.3;0.08;0.0;0.02;0.02;0.25;0.7;TO;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1
""<dxh ....>"""", ""str=`aaa<div>{{4567}}aaa</div>bbb{{12345}}amrambler`"", """"{{12345}}"""", """"{{4567}}"";../runGen8/texts/missing-hyper/missingHyper_82_1.txt;TO;ERR;ERR;TO;0.2;0.92;0.0;0.26;0.21;0.01;ERR;0.04;0.06;0.92;TO;ERR;ERR;TO;0;0;ERR;ERR;0;0;ERR;0;;0
.{1,1000};../runGen8/texts/missing-hyper/missingHyper_84_1.txt;7.28;0.45;0.03;0.38;0.17;0.38;0.0;0.27;0.08;0.02;0.01;0.04;0.34;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1
^([a-z]|[0-9]| |,|'|\.|!|\?){1,4000}$;../runGen8/texts/missing-hyper/missingHyper_85_1.txt;TO;16.44;ERR;0.38;0.21;0.44;0.04;0.27;0.4;0.01;0.02;0.31;ERR;0.73;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;ERR;0
^.{0,1000}$;../runGen8/texts/missing-hyper/missingHyper_86_1.txt;TO;0.08;0.02;0.39;0.18;0.43;0.01;0.28;0.62;0.02;0.03;0.3;0.3;0.71;TO;0;0;0;0;0;0;0;0;0;0;0;0;0
^.{0,1999}$;../runGen8/texts/missing-hyper/missingHyper_87_1.txt;TO;0.16;ERR;0.36;0.17;0.39;0.01;0.28;0.6;0.01;0.02;0.3;0.33;0.74;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0
^.{0,5000}$;../runGen8/texts/missing-hyper/missingHyper_88_1.txt;TO;0.71;ERR;0.37;0.19;0.44;0.03;0.24;0.61;0.01;0.02;0.31;0.33;0.74;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0
^.{3,5000};../runGen8/texts/missing-hyper/missingHyper_89_1.txt;TO;0.6;ERR;0.35;0.18;0.44;0.04;0.27;0.08;0.0;0.02;0.03;0.33;0.73;TO;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1
^[^/\\#?]{0,1024}$;../runGen8/texts/missing-hyper/missingHyper_9000_1.txt;TO;0.11;ERR;0.39;0.19;0.46;0.01;0.29;0.7;0.01;0.02;0.32;0.36;0.79;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0
^[a-z0-9 ,'.!?]{1,4000}$;../runGen8/texts/missing-hyper/missingHyper_9001_1.txt;TO;0.44;ERR;0.38;0.2;0.42;0.02;0.26;0.38;0.02;0.01;0.32;0.34;0.71;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0
^[a-z]{0,2000}$;../runGen8/texts/missing-hyper/missingHyper_9002_1.txt;TO;0.16;ERR;0.38;0.2;0.45;0.0;0.27;0.6;0.01;0.02;0.3;0.36;0.71;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0
^\d{1,980989}$;../runGen8/texts/missing-hyper/missingHyper_9003_1.txt;ERR;ERR;ERR;2.01;0.27;0.74;0.05;0.29;0.08;0.01;ERR;0.32;0.38;0.74;ERR;ERR;ERR;0;0;0;ERR;ERR;ERR;0;ERR;0;0;0
'','','{12345678},{87654321}','lk12l1k2l12lkl12lkl121l2lk12'"", ""'(.*)',|'(.*)';../runGen4Rest/hyper-03-08/stackoverflow-above_04_1.txt;ERR;ERR;ERR;0.32;0.37;0.43;0.04;0.25;0.07;0.02;0.01;0.03;0.28;0.66;ERR;ERR;ERR;1;1;1;ERR;ERR;"too big number for repeat range: /''.''.'{12345678}.{87654321}'.'lk12l1k2l12lkl12lkl121l2lk12'"". ""'(.*)'.|'(.*)'/###0";0;0;1;1;1;10.300002
'[\s][A-Z,a-z,0-9]{0,1000}[\s]';../runGen4Rest/hyper-03-08/stackoverflow-above_05_1.txt;0.81;0.06;0.01;0.38;0.21;0.5;0.0;0.27;0.08;0.02;0.02;0.03;0.31;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.300245
