pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^[a-f0-9]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9322_1.txt;1.21;0.0;0.0;0.29;0.12;0.4;0.0;0.36;0.24;0.02;0.02;0.18;0.25;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15};../runGen4Rest/hyper-03-08/internetSources-between_30_1.txt;0.0;0.03;0.03;0.86;7.7;1.0;0.02;0.28;0.91;0.1;1.2;1.45;3.03;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;../runGen4Rest/hyper-03-08/internetSources-between_84_1.txt;0.02;0.0;0.0;0.31;0.12;0.4;0.0;0.25;0.11;0.02;0.02;0.16;0.24;0.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^(429496729[0-6]|42949672[0-8]\d|4294967[01]\d{2}|429496[0-6]\d{3}|42949[0-5]\d{4}|4294[0-8]\d{5}|429[0-3]\d{6}|42[0-8]\d{7}|4[01]\d{8}|[1-3]\d{9}|[1-9]\d{8}|[1-9]\d{7}|[1-9]\d{6}|[1-9]\d{5}|[1-9]\d{4}|[1-9]\d{3}|[1-9]\d{2}|[1-9]\d|\d)$;../runGen8/texts/missing-hyper2/missing-20-08_08_1.txt;0.01;0.01;0.0;0.74;0.14;TO;0.0;0.3;0.08;0.01;0.01;0.16;0.26;0.7;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
^(\d|\d{1,9}|1\d{1,9}|20\d{8}|213\d{7}|2146\d{6}|21473\d{5}|214747\d{4}|2147482\d{3}|21474835\d{2}|214748364[0-7])$;../runGen8/texts/missing-hyper2/missing-20-08_16_1.txt;0.02;0.02;0.0;0.7;0.15;0.73;0.0;0.3;0.1;0.02;0.01;0.16;0.24;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
""((\d{4}|\d{2})-(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)-(\d{4}|\d{2}))|((\d{4}|\d{2})-\d{2}-(\d{4}|\d{2}))|((\d{4}|\d{2})\/(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec)\/(\d{4}|\d{2}))|((\d{4}|\d{2})\/(\d{3}|\d{2})\/(\d{4}|\d{2}))|([0-3][0-9]((st)|(nd)|(rd)|(th))((\s)?)(Jan|Feb|Mar|Apr|May|Jun|Jul|Aug|Sep|Oct|Nov|Dec))"""", """"Bill dated 27-May-18 for your airtel fixedline/broadband ID ##### has been sent at abc@abc.com from ebill@abc.com. Due amount: Rs 2,358.82, due date: 15-Jun-18"";../runGen8/texts/missing-hyper2/missing-20-08_23_1.txt;0.0;0.08;0.06;1.21;TO;TO;0.0;0.26;3.79;0.26;7.67;4.32;4.27;1.58;0;0;0;0;TO;TO;ERR;0;0;0;0;0;0;0;11.0
"", ""([^%]{500}[^\n]+)[^%]*;../runGen8/texts/missing-hyper2/missing-20-08_26_1.txt;3.43;1.07;0.01;0.4;0.21;0.45;0.09;0.24;0.26;0.02;0.02;0.06;0.38;0.95;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000332
"", ""."", ""<f:validateRegex pattern=""([a-zA-Z_0-9])\.{4,32}"" />;../runGen8/texts/missing-hyper2/missing-20-08_29_1.txt;0.01;0.01;0.03;0.61;0.86;0.66;0.04;0.29;0.09;0.02;0.02;0.13;0.43;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.0
"", ""[ ]"", ""[+]46"", ""\+46"", ""[+]\d{46}"", ""[+46];../runGen8/texts/missing-hyper2/missing-20-08_30_1.txt;0.02;0.01;0.01;0.46;0.14;0.61;0.0;0.32;0.07;0.03;0.02;0.05;0.31;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000054
"", ""[- \w().[\]!#,&*+:'/]{1,80};../runGen8/texts/missing-hyper2/missing-20-08_31_1.txt;0.02;0.02;0.01;0.92;0.16;0.9;0.0;0.29;0.15;0.02;0.02;0.05;0.08;1.22;0;1;1;1;1;1;ERR;0;ERR;1;1;1;;1;17.000005
"", ""[-+&/,A-z0-9\s]{1,127};../runGen8/texts/missing-hyper2/missing-20-08_32_1.txt;0.04;0.02;0.01;0.4;0.18;0.48;0.0;0.28;0.08;0.02;0.02;0.04;0.36;0.73;0;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000008
"", ""\\X{20,}"", ""\\X{20,}"", """", ""\;../runGen8/texts/missing-hyper2/missing-20-08_33_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.28;0.08;0.01;ERR;0.02;0.07;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR;21.000116
"", ""\d{4}\d{2}\d{2}"", ""\d{4}\d{2}\d{2}"", ""d{2}"", ""\d{4}"", ""(\d{4})(\d{2})(\d{2});../runGen8/texts/missing-hyper2/missing-20-08_34_1.txt;0.02;0.1;0.01;0.4;0.14;0.68;0.0;0.3;0.06;0.01;0.02;0.04;0.26;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.0
"", ""pattern=""[0-9]{7}"""", ""input( type=""tel"", pattern=""\d{7}"" )"", ""<input type=""tel"" pattern=""d{7}"">;../runGen8/texts/missing-hyper2/missing-20-08_35_1.txt;0.04;0.05;0.01;0.46;0.13;0.59;0.0;0.28;0.07;0.01;0.01;0.04;0.25;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000011
"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"")"", ""std::regex regexp(""([0-9]{16}):([0-9]{5,20}):([a-zA-Z0-9\+/=]{28})"",std::regex_constants::extended);../runGen8/texts/missing-hyper2/missing-20-08_36_1.txt;0.82;0.02;0.02;0.52;0.65;0.77;0.01;0.31;0.15;0.02;0.08;0.1;0.79;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000088
"", ""{1,24};../runGen8/texts/missing-hyper2/missing-20-08_37_1.txt;0.01;0.01;0.01;0.38;0.15;0.43;0.0;0.26;0.08;0.03;0.02;0.04;0.31;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.000006
""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+)"""", ""DROP\s+tcp\s+\S+\s+(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\s+0\.0\.0\.0/0\s+tcp\s+dpt:(\d+);../runGen8/texts/missing-hyper2/missing-20-08_40_1.txt;0.02;0.02;0.01;0.5;0.22;1.42;0.01;0.3;0.09;0.01;0.02;0.05;0.42;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.00708
""I - (Fab|Opt) - [0-9]+ - ([0-9]{4}/[0-9]{2}/[0-9]{2}) ([0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3}) - .+ Bus / (.+) : 500|.+|003([0-9]{7}).+"""", ;../runGen8/texts/missing-hyper2/missing-20-08_41_1.txt;0.02;0.44;0.02;0.44;0.71;3.17;0.06;0.28;0.26;0.03;0.02;0.06;0.38;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.0
""USSS"",(\d+\.\d{12}),(\d+\.\d{12});../runGen8/texts/missing-hyper2/missing-20-08_43_1.txt;0.02;0.04;0.0;0.4;0.13;0.47;0.0;0.29;0.08;0.02;0.02;0.03;0.24;0.7;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.001015
""[0-9]{0,14}"""", ""{0,14};../runGen8/texts/missing-hyper2/missing-20-08_45_1.txt;0.04;0.01;0.03;0.54;1.6;0.86;0.03;0.29;0.41;0.04;0.02;0.2;0.53;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000003
""[A-Z0-9]{3}_[ -~]{1,28}"""", ""[A-Z0-9]{3}_[ -~]{1,28}"", ""nginx: [emerg] invalid condition ""[A-Z0-9]"" in /etc/nginx/nginx.conf:29;../runGen8/texts/missing-hyper2/missing-20-08_46_1.txt;0.0;0.14;0.0;0.36;0.12;7.45;0.0;0.28;0.07;0.0;0.01;0.02;0.25;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.00001
""[\d\-\s]{10,25}"" to match your criteria"", ""\d"", ""\w;../runGen8/texts/missing-hyper2/missing-20-08_47_1.txt;0.01;0.02;0.01;1.09;0.64;1.14;0.02;0.29;0.16;0.02;0.02;0.06;0.41;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11.000052
""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*"""", ""\d{4}-\d{2}-\d{2}-\d{2}[ .]\d{2}:\d{2}.*;../runGen8/texts/missing-hyper/missingHyper_9053_1.txt;0.02;0.01;0.04;0.63;TO;0.96;0.02;0.26;TO;TO;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;0;TO;TO;TO
""_ [ 0-9]{10} {1}[ 0-9]{10} {2}[ 0-9]{6} {2}[ 0-9]{2}"""", ""+;../runGen8/texts/missing-hyper2/missing-20-08_49_1.txt;0.02;0.7;0.01;0.37;0.22;0.74;0.04;0.28;0.18;0.03;0.01;0.05;0.34;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;21.00008
""sometext {10} some text {25} sometext""."", ""{10}, {25},;../runGen8/texts/missing-hyper2/missing-20-08_51_1.txt;0.02;0.04;0.0;0.33;0.13;0.44;0.0;0.32;0.08;0.02;0.01;0.04;0.23;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;11.00001
([a-zA-Z]([a-zA-Z]|[0-9]){4,})|(([a-zA-Z]|[0-9])[a-zA-Z]([a-zA-Z]|[0-9]){3,})|(([a-zA-Z]|[0-9]){2,}[a-zA-Z]([a-zA-Z]|[0-9]){2,})|(([a-zA-Z]|[0-9]){3,}[a-zA-Z]([a-zA-Z]|[0-9]))|(([a-zA-Z]|[0-9]){4,}[a-zA-Z])"", ""([a-zA-Z][0-9]{4,})|([0-9][a-zA-Z][0-9]{3,})|([0-9]{2,}[a-zA-Z][0-9]{2,})|([0-9]{3,}[a-zA-Z][0-9])|([0-9]{4,}[a-zA-Z]);../runGen8/texts/missing-hyper2/missing-20-08_56_1.txt;2.89;0.02;0.04;0.36;0.29;TO;0.03;0.32;1.74;0.04;6.96;3.0;1.84;1.03;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
(\d{1}\w\d{6}|\d{2}\w\d{5}|\d{3}\w\d{4}|\d{4}\w\d{3}|\d{5}\w\d{2}|\d{6}\w\d{1}|\d{7}\w);../runGen8/texts/missing-hyper2/missing-20-08_57_1.txt;0.01;0.03;0.09;1.52;10.69;TO;0.02;0.28;1.42;0.14;4.15;2.96;2.16;1.38;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
I.+(Fab|Opt).+([0-9]{4}\/[0-9]{2}\/[0-9]{2}).+([0-9]{2}:[0-9]{2}:[0-9]{2}:[0-9]{3}).+Bus[ ]\/[ ]([A-Za-z0-9_]+)[ ]:[^a-zA-Z0-9]+500.+003([0-9]{7}).+"", "";../runGen8/texts/missing-hyper2/missing-20-08_63_1.txt;0.0;0.02;0.03;0.62;TO;TO;0.0;0.29;TO;0.02;0.03;TO;TO;TO;0;0;0;0;TO;TO;ERR;0;TO;0;0;TO;TO;TO;11.003184
\d{11}|\s\d{10}|\s{2}\d{9}|\s{3}\d{8}|\s{4}\d{7}|\s{5}\d{6}|\s{6}\d{5}|\s{7}\d{4}|\s{8}\d{3}|\s{9}\d{2}|\s{10}\d|\s{11};../runGen8/texts/missing-hyper2/missing-20-08_67_1.txt;0.02;0.03;0.04;0.78;2.18;TO;0.02;0.29;0.1;0.04;6.43;3.78;0.75;1.42;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
\d{9}X|\d{8}X\d|\d{7}X\d{2}|\d{6}X\d{3}|\d{5}X\d{4}|\d{4}X\d{5}|\d{3}X\d{6}|\d{2}X\d{7}|\d{1}X\d{8}|\d{10}|X\d{9};../runGen8/texts/missing-hyper2/missing-20-08_68_1.txt;0.01;0.03;0.04;0.73;1.24;TO;0.02;0.29;0.09;0.02;6.46;3.3;0.7;1.22;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
\w{15}\x20\d{12}\x20\d{2}.{6}(13[0-5]\d|1400)[0-5]\d801.*"", ""\w{15}\x20\d{12}\x20\d{2}.{6}(13[0-5]\d|14([0-2]\d|30))[0-5]\d801.*;../runGen8/texts/missing-hyper2/missing-20-08_70_1.txt;0.0;0.02;0.03;3.13;11.18;TO;3.61;0.24;0.1;0.17;0.02;1.0;1.65;1.62;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.000019
^(.{1}:.{1}|.{2}:.{2}|.{3}:.{3}|.{4}:.{4}|.{5}:.{5}|.{6}:.{6}|.{7}:.{7})$;../runGen8/texts/missing-hyper2/missing-20-08_71_1.txt;0.04;0.02;0.01;0.39;0.21;TO;0.01;0.28;0.64;0.02;0.01;0.3;0.33;0.74;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;21.000014
^\d{6}(\d?0[^0]{1,2}0|\d?1[^1]{1,2}1|\d?2[^2]{1,2}2|\d?3[^3]{1,2}3|\d?4[^4]{1,2}4|\d?5[^5]{1,2}5|\d?6[^6]{1,2}6|\d?7[^7]{1,2}7|\d?8[^8]{1,2}8|\d?9[^9]{1,2}9);../runGen8/texts/missing-hyper2/missing-20-08_74_1.txt;0.0;0.01;0.01;0.75;0.14;0.78;0.0;0.29;0.08;0.02;0.02;0.04;0.25;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.000007
file_([1-9][0-9]?|100)[1-5][5-8](12[1-9]|1[3-9][0-9]|[2-4][0-9]{2}|5[0-2][0-9])(73[89]|7[4-9][0-9]|8[0-9]{2}|9[0-8][0-9]|99[01])(9|[1-9][0-9]{1,2}|[1-7][0-9]{3}|80[0-9]{2}|81[01][0-9]|812[0-8])(83[4-9]|8[4-9][0-9]|9[0-9]{2}|[1-9][0-9]{3}|[1-5][0-9]{4}|6[0-4][0-9]{3}|65[0-4][0-9]{2}|655[0-2][0-9]|6553[0-5])\.txt;../runGen8/texts/missing-hyper2/missing-20-08_77_1.txt;0.04;0.08;0.04;0.59;1.48;TO;0.03;0.3;0.24;0.05;0.13;0.26;0.62;0.74;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.000004
group(1), group(2), group(n)"", ""(\w{1}\d{5,}-\d{1,}-\w{2,}\d{2,}-\d{3,}-\w-)(\d{1,})-(\d{1,})-(\d{1,})-(\d{1,})-(\d{1,})|(\w{1}\d{5,}-\d{1,}-\w{2,}\d{2,}-\d{3,}-\w-)(\d{1,})-(\d{1,})-(\d{1,})-(\d{1,})|(\w{1}\d{5,}-\d{1,}-\w{2,}\d{2,}-\d{3,}-\w-)(\d{1,})-(\d{1,})-(\d{1,})|(\w{1}\d{5,}-\d{1,}-\w{2,}\d{2,}-\d{3,}-\w-)(\d{1,})-(\d{1,})|(\w{1}\d{5,}-\d{1,}-\w{2,}\d{2,}-\d{3,}-\w-)(\d{1,});../runGen8/texts/missing-hyper2/missing-20-08_78_1.txt;0.0;0.07;0.04;3.3;TO;TO;6.48;0.31;2.32;0.29;6.11;3.98;2.17;0.78;0;0;0;0;TO;TO;0;0;0;0;0;0;0;0;11.000004
string masterCourseRegex = @""(.{4}-.{4}-.{5}-.{6})/|XL-(.{4}-.{4}-.{5}-.{6})"";../runGen8/texts/missing-hyper2/missing-20-08_80_1.txt;0.01;0.06;0.04;0.36;0.47;TO;0.0;0.3;0.09;0.01;0.04;0.15;0.37;0.7;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
time_pattern=r'\*.{2}(\d{4}) (\d{2}) (\d{2}) (\d{2}) (\d{2}) (\d{2}\.\d{8})'"", ""*A 2014 12 31 23 59 59.123456"", ""np.str;../runGen8/texts/missing-hyper2/missing-20-08_81_1.txt;0.03;0.02;0.03;0.59;0.12;TO;0.0;0.27;0.08;0.01;0.02;0.05;0.25;0.7;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.000002
""on""\t*(.)*"".""\t*(.)*""from"""", ""(""on"", ""."" and ""from"")"", """"Dear""\t*""Customer,""\t*""Your""\t*""package""\t*(.){0,80}\t*""is""\t*""out""\t*""for""\t*""delivery""\t*""via""(.){0,80}\t*""Courier,""\t*(.){0,80}\t*""on""(.){0,80}"".""\t*""Delivery""\t*""will""\t*""be""\t*""attempted""\t*""in""\t*""5""\t*""wkg""\t*""days."""", """"on""\t*(.){0,300}"".""\t*(.){0,300}""from"";../runGen8/texts/hyper-26-08/missing-20-08_50_1.txt;0.53;0.45;0.05;0.63;TO;TO;0.04;0.29;TO;0.02;0.03;TO;TO;ERR;0;0;0;0;TO;TO;0;0;TO;0;0;TO;TO;ERR;11.0
."", ""string masterCourseRegex = @""(.{4}-.{4}-.{5}-.{6})|XL-(.{4}-.{4}-.{5}-.{6})"""", ""string masterCourseRegex = @""(XL-)?(\w{4}-\d{4}-[\w\d]{5}-[\w\d]{6})"";../runGen8/texts/hyper-26-08/missing-20-08_59_1.txt;0.01;0.02;0.04;1.46;2.22;TO;0.04;0.26;0.17;0.02;1.22;0.18;0.39;1.05;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
.*"", ""[^_]*"", ""([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_(.*)(\d{16})(.*)"", ""(.*)_(.*)_(.*)_(.*)_(.*)_(.*)_(.*)_(.*)_(.*)(\d{16})(.*)"", ""([^_]*)_([^_]*)(38)([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_(.*)(\d{16})(.*)"", ""([^_]*)_([^_]*38[^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_([^_]*)_(.*)(\d{16})(.*);../runGen8/texts/hyper-26-08/missing-20-08_60_1.txt;0.01;0.02;0.03;0.58;TO;TO;0.03;0.26;0.14;0.04;0.02;TO;TO;TO;0;0;0;0;TO;TO;0;0;0;0;0;TO;TO;TO;11.0
