pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$;../runGen4Rest/hyper-03-08/internetSources-nested-between_22_1.txt;0.01;0.02;0.04;1.06;9.5;0.89;0.05;0.28;0.08;0.01;0.02;2.21;ERR;ERR;0;0;0;0;0;0;0;0;0;0;0;0;ERR;ERR;10.300002
^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$;../runGen4Rest/hyper-03-08/internetSources-nested-between_35_1.txt;0.02;0.02;0.01;0.34;0.14;1.35;0.0;0.25;0.09;0.01;0.02;0.16;0.21;0.64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.30035
""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4}"""", ""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4};../runGen8/texts/missing-hyper2/missing-20-08_83_1.txt;0.01;0.09;0.0;0.42;0.14;0.56;0.0;0.32;0.07;0.02;0.02;0.04;0.25;0.7;0;1;1;1;1;1;1;0;1;1;1;1;1;1;11.00001
"", "".*Error:.*"", "".*"", ""(.*Error:.*)"", "".*;../runGen8/texts/missing-hyper2/missing-20-08_85_1.txt;0.01;0.8;0.0;0.38;12.4;0.41;0.08;0.28;2.31;0.06;1.88;1.21;0.65;1.17;1;1;1;1;1;1;1;0;1;0;1;1;0;1;21.010518
"".*"","", ""("".*"",){14}"", ""("".*"",){14}"""";../runGen8/texts/missing-hyper2/missing-20-08_87_1.txt;0.04;0.02;0.03;0.56;TO;ERR;0.07;0.29;TO;0.03;0.05;TO;TO;TO;0;0;0;0;TO;ERR;0;0;TO;0;0;TO;TO;TO;11.004146
(X{3}.{`WIDTH-4`}X{5}.{`WIDTH-6`}X{5}.{`WIDTH-6`}X{3}.{`WIDTH-5`})"", ""(X{3}.{`WIDTH-3`})+"", ""(X{3}.{`WIDTH-4`}|X{5}.{`WIDTH-6`}|X{5}.{`WIDTH-6`}|X{3}.{`WIDTH-5`})+;../runGen8/texts/missing-hyper2/missing-20-08_9000_1.txt;0.04;0.02;0.0;0.47;0.24;TO;0.0;0.25;0.08;0.03;ERR;0.57;0.06;0.74;0;0;0;0;0;TO;ERR;0;0;0;ERR;0;;0;21.000174
(\S+\s+){0,28}"", ""([^ ]+ +){0,28};../runGen8/texts/missing-hyper2/missing-20-08_9001_1.txt;0.02;0.02;0.04;0.66;TO;0.55;0.02;0.26;0.11;TO;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;TO;0;TO;TO;TO;11.159669
(\d{1,13}-){0,2}(\d{1,13});../runGen8/texts/missing-hyper2/missing-20-08_9003_1.txt;0.03;0.48;0.0;0.72;0.17;0.52;0.0;0.27;0.07;0.01;0.02;0.04;0.31;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;21.0
-?\d+\/-?\d+"", ""-?\d+"", ""\s+"", ""(-?\d+\.\d+(\s+)?){31}"", ""-?\d+\s+-?\d+\/-?\d+\s+(-?\d+\.\d+(\s+)?){31};../runGen8/texts/missing-hyper2/missing-20-08_9005_1.txt;ERR;0.05;ERR;0.89;TO;0.62;0.0;0.26;TO;11.95;TO;TO;TO;TO;ERR;0;ERR;0;TO;0;ERR;0;TO;0;TO;TO;TO;TO;11.001011
2011:06:05 15:50\t0.478\t0.209\t0.211\t0.211\t0.205\t-0.462\t0.203\t0.202\t0.212"", ""matcher.group(3)"", ""match.Group[3].Captures[i]"", ""?(\d{4}:\d{2}:\d{2} \d{2}:\d{2}[:\d{2}]?)\t((-?\d*(\.\d*)?)\t?){1,16};../runGen8/texts/missing-hyper2/missing-20-08_9006_1.txt;0.03;0.03;0.01;0.57;0.33;ERR;0.16;0.29;0.1;0.02;0.02;0.05;0.6;0.74;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;21.000278
