pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^a{1000000}$;../runGen8/texts/missing-hyper2/missing-20-08_9037_1.txt;ERR;ERR;ERR;TO;TO;0.47;0.03;0.33;0.08;0.01;ERR;0.3;0.36;0.75;ERR;ERR;ERR;TO;TO;0;ERR;ERR;ERR;0;ERR;0;0;0;21.0
.{1,1000};../runGen8/texts/missing-hyper/missingHyper_84_1.txt;7.28;0.45;0.03;0.38;0.17;0.38;0.0;0.27;0.08;0.02;0.01;0.04;0.34;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1
,\s{0,1000};../runGen8/texts/missing-hyper/missingHyper_9293_1.txt;0.81;0.6;0.02;0.41;0.18;0.4;0.02;0.28;0.08;0.02;0.02;0.04;0.31;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1
.{0,1000};../runGen8/texts/missing-hyper/missingHyper_9294_1.txt;7.79;ERR;0.02;0.35;0.16;0.42;0.01;0.26;0.08;0.01;0.02;0.04;0.34;0.76;1;ERR;1;1;1;1;1;0;1;1;1;1;1;1
.{1,1019};../runGen8/texts/missing-hyper/missingHyper_9296_1.txt;8.53;0.44;ERR;0.36;0.16;0.42;0.01;0.34;0.09;0.02;0.02;0.03;0.36;0.76;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1
.{1,1024};../runGen8/texts/missing-hyper/missingHyper_9297_1.txt;8.5;0.44;ERR;0.39;0.18;0.45;0.0;0.27;0.08;0.03;0.02;0.04;0.33;0.8;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1
.{1,1600};../runGen8/texts/missing-hyper/missingHyper_9298_1.txt;TO;0.45;ERR;0.4;0.18;0.48;0.01;0.32;0.07;0.03;0.02;0.06;0.37;0.86;TO;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1
.{1,2000};../runGen8/texts/missing-hyper/missingHyper_9299_1.txt;TO;0.43;ERR;0.44;0.2;0.47;0.02;0.3;0.07;0.02;0.03;0.04;0.39;0.82;TO;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1
.{1,2047};../runGen8/texts/missing-hyper/missingHyper_9300_1.txt;TO;0.43;ERR;0.4;0.18;0.48;0.02;0.29;0.08;0.02;0.02;0.05;0.38;0.83;TO;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1
.{1,32767};../runGen8/texts/missing-hyper/missingHyper_9301_1.txt;TO;0.44;ERR;0.37;0.2;0.44;0.02;0.3;0.09;0.04;ERR;0.03;0.36;0.75;TO;1;ERR;1;1;1;ERR;ERR;1;1;ERR;1;1;1
.{1,7168};../runGen8/texts/missing-hyper/missingHyper_9302_1.txt;TO;0.46;ERR;0.38;0.18;0.46;0.04;0.34;0.08;0.01;0.02;0.04;0.36;0.76;TO;1;ERR;1;1;1;ERR;ERR;1;1;1;1;1;1
.{1,8191};../runGen8/texts/missing-hyper/missingHyper_9303_1.txt;TO;0.44;ERR;0.4;0.2;0.46;0.05;0.3;0.09;0.03;0.03;0.06;0.38;0.85;TO;1;ERR;1;1;1;ERR;ERR;1;1;1;1;1;1
