pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
[a-fA-F0-9]{8}\-[a-fA-F0-9]{4}\-[a-fA-F0-9]{4}\-[a-fA-F0-9]{4}\-[a-fA-F0-9]{12};../runGen4Rest/hyper-03-08/bech2-between_70_1.txt;2.6;0.15;0.03;0.54;4.12;0.41;0.02;0.23;0.46;0.07;0.34;0.57;1.2;1.15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10.5
^[0-9A-F]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9265_1.txt;1.19;0.0;0.0;0.32;0.13;0.42;0.0;0.27;0.21;0.02;0.02;0.18;0.22;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[A-F0-9]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9277_1.txt;1.24;0.0;0.0;0.31;0.12;0.37;0.0;0.26;0.24;0.01;0.02;0.16;0.24;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-f0-9]{32};../runGen4Rest/hyper-03-08/bech2-between_9321_1.txt;0.0;0.0;0.01;0.31;0.11;0.38;0.0;0.29;0.07;0.01;0.02;0.03;0.25;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^[a-f0-9]{32}$;../runGen4Rest/hyper-03-08/bech2-between_9322_1.txt;1.21;0.0;0.0;0.29;0.12;0.4;0.0;0.36;0.24;0.02;0.02;0.18;0.25;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-f0-9]{80}$;../runGen4Rest/hyper-03-08/bech2-between_9338_1.txt;1.39;0.01;0.0;0.31;0.14;0.36;0.0;0.3;0.22;0.02;0.01;0.16;0.24;0.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12}$;../runGen4Rest/hyper-03-08/bech2-between_9339_1.txt;1.16;0.01;0.0;0.32;0.13;0.42;0.0;0.29;0.19;0.01;0.01;0.17;0.26;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[a-z0-9]{40};../runGen4Rest/hyper-03-08/bech2-between_9346_1.txt;0.01;0.01;0.0;0.3;0.12;0.38;0.0;0.29;0.07;0.02;0.02;0.03;0.25;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^[a-z0-9]{40}$;../runGen4Rest/hyper-03-08/bech2-between_9347_1.txt;1.22;0.01;0.01;0.31;0.12;0.41;0.0;0.26;0.23;0.01;0.02;0.16;0.24;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
[a-f0-9]{8}-[a-f0-9]{4}-4[a-f0-9]{3}-[89ab][a-f0-9]{3}-[a-f0-9]{12};../runGen4Rest/hyper-03-08/internetSources-between_26_1.txt;2.64;0.06;0.03;0.55;4.13;0.39;0.02;0.28;0.29;0.04;0.19;0.66;0.91;1.09;0;0;0;0;0;1;0;0;0;0;0;0;0;0;10.5
^([a-z0-9]{32})$;../runGen4Rest/hyper-03-08/internetSources-between_71_1.txt;1.32;0.0;0.01;0.31;0.14;0.38;0.0;0.28;0.22;0.01;0.02;0.16;0.22;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
^[A-Z0-9<]{9}[0-9]{1}[A-Z]{3}[0-9]{7}[A-Z]{1}[0-9]{7}[A-Z0-9<]{14}[0-9]{2}$;../runGen4Rest/hyper-03-08/internetSources-between_88_1.txt;1.35;0.0;0.0;0.3;0.12;0.38;0.0;0.29;0.54;0.0;0.01;0.15;0.24;0.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.5
""stdout"":""job=fake-errand-name index=0 id=.{36}new-stdoutadditional-stdout;../runGen8/texts/missing-hyper2/missing-20-08_9038_1.txt;0.0;0.02;0.0;0.37;0.15;0.66;0.0;0.3;0.08;0.02;0.04;0.05;0.39;1.02;1;0;1;1;1;1;1;0;1;0;0;1;0;1;11.000095
(.{2})(.{2})(.{2})(.{2})-(.{2})(.{2})-(.{2})(.{2})-(.{2})(.{2})-(.{12});../runGen8/texts/missing-hyper2/missing-20-08_9039_1.txt;0.03;0.03;0.04;0.57;13.52;TO;0.02;0.28;0.08;0.02;0.02;1.59;2.18;0.82;0;0;0;0;0;TO;0;0;0;0;0;0;0;0;11.0
^(.{6})(.{5})(.{5})(.{1})(.{3})(.{2})(.{4})(.{1}).{3}(.{8})(.{8})(.{8})(.{0,6})(.{0,6});../runGen8/texts/missing-hyper2/missing-20-08_9040_1.txt;0.0;0.01;0.0;0.33;0.14;TO;0.0;0.29;0.05;0.02;0.02;0.02;0.26;0.7;1;1;1;1;1;TO;1;0;1;1;1;1;1;1;11.000004
^(\d+)\t(\d+)\t(\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}) - (\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})\t(..)\t(.+)\t(.+)\t(.+)\t(.+)\t(.+)$;../runGen8/texts/missing-hyper2/missing-20-08_9041_1.txt;0.04;0.02;0.07;0.74;TO;TO;0.08;0.26;1.32;0.05;0.64;2.32;2.45;1.17;0;1;1;1;TO;TO;1;0;1;0;1;1;1;1;21.012086
.{1,100};../runGen8/texts/missing-hyper/missingHyper_9084_1.txt;0.02;0.43;0.01;0.37;0.16;0.41;0.0;0.27;0.08;0.02;0.02;0.03;0.33;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1
.{1,50};../runGen8/texts/missing-hyper/missingHyper_9086_1.txt;0.02;0.43;0.0;0.35;0.19;0.41;0.0;0.29;0.08;0.02;0.03;0.04;0.33;0.73;1;1;1;1;1;1;1;0;1;1;1;1;1;1
[_a-zA-Z][_a-zA-Z0-9]{0,30};../runGen8/texts/missing-hyper/missingHyper_9103_1.txt;0.02;0.5;0.01;0.42;0.18;0.44;0.01;0.28;0.08;0.02;0.02;0.03;0.36;0.73;1;1;1;1;1;1;1;0;1;1;1;1;1;1
[a-z0-9_-]{1,64};../runGen8/texts/missing-hyper/missingHyper_9107_1.txt;0.02;0.45;0.01;0.37;0.17;0.46;0.01;0.27;0.07;0.02;0.03;0.03;0.34;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1
^.{0,100}$;../runGen8/texts/missing-hyper/missingHyper_9141_1.txt;0.05;0.02;0.02;0.36;0.17;0.38;0.01;0.3;0.61;0.02;0.02;0.3;0.33;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0
^.{1,256}$;../runGen8/texts/missing-hyper/missingHyper_9148_1.txt;0.43;0.03;0.01;0.36;0.18;0.41;0.0;0.28;0.61;0.02;0.02;0.29;0.33;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0
 {2,999};../runGen8/texts/missing-hyper/missingHyper_9311_1.txt;ERR;ERR;ERR;ERR;0.07;ERR;ERR;ERR;ERR;0.01;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR: File not found.;ERR;ERR;ERR;ERR;ERR: File not found;ERR;ERR;ERR;ERR
 {70} *;../runGen8/texts/missing-hyper/missingHyper_9312_1.txt;ERR;ERR;ERR;ERR;0.07;ERR;ERR;ERR;ERR;0.0;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR: File not found.;ERR;ERR;ERR;ERR;ERR: File not found;ERR;ERR;ERR;ERR
""((http://|https://|//)[-a-zA-Z0-9@:%_\+.~\#?&=]{2,256}\.[a-z]{2,4}[^""\n\r']*)"";../runGen8/texts/missing-hyper/missingHyper_9313_1.txt;0.03;0.08;0.01;0.36;0.15;0.55;0.0;0.26;0.08;0.01;0.02;0.03;0.37;0.9;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""([0-9a-f]{32})"";../runGen8/texts/missing-hyper/missingHyper_9314_1.txt;0.01;0.07;0.0;0.33;0.12;0.41;0.0;0.28;0.08;0.02;0.02;0.03;0.24;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""([0-9a-f]{40})"";../runGen8/texts/missing-hyper/missingHyper_9315_1.txt;0.01;0.08;0.01;0.36;0.14;0.42;0.0;0.32;0.06;0.02;0.01;0.04;0.21;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""([a-f0-9]{64})"";../runGen8/texts/missing-hyper/missingHyper_9316_1.txt;0.01;0.06;0.0;0.34;0.14;0.38;0.0;0.28;0.08;0.02;0.03;0.03;0.25;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""(\w{32})"";../runGen8/texts/missing-hyper/missingHyper_9317_1.txt;0.0;0.09;0.0;0.84;0.14;0.87;0.01;0.27;0.09;0.02;0.02;0.02;0.24;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""IOPlatformUUID"" = ""([0-9A-F-]{36})"";../runGen8/texts/missing-hyper/missingHyper_9318_1.txt;0.01;0.06;0.0;0.34;0.12;0.42;0.0;0.26;0.07;0.01;0.02;0.04;0.26;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""ObjectID\(([0-9a-f]{24})\)"";../runGen8/texts/missing-hyper/missingHyper_9319_1.txt;0.01;0.08;0.01;0.35;0.14;0.4;0.0;0.28;0.06;0.03;0.02;0.03;0.25;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""[a-f0-9]{64}"";../runGen8/texts/missing-hyper/missingHyper_9320_1.txt;0.01;0.06;0.0;0.33;0.11;0.41;0.0;0.3;0.08;0.01;0.02;0.03;0.24;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""[a-fA-F0-9]{32}"";../runGen8/texts/missing-hyper/missingHyper_9321_1.txt;0.01;0.07;0.0;0.31;0.14;0.4;0.0;0.28;0.07;0.02;0.02;0.03;0.26;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""\{[A-Z0-9]{8}-[A-Z0-9]{4}-[A-Z0-9]{4}-[A-Z0-9]{4}-[A-Z0-9]{12}\}"";../runGen8/texts/missing-hyper/missingHyper_9322_1.txt;0.01;0.07;0.01;0.33;0.13;0.41;0.0;0.24;0.08;0.02;0.03;0.03;0.26;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""guid"": ""[a-zA-Z0-9]{8}-[a-zA-Z0-9]{8}-[a-zA-Z0-9]{8}"";../runGen8/texts/missing-hyper/missingHyper_9323_1.txt;0.02;0.08;0.0;0.33;0.14;0.44;0.0;0.26;0.08;0.0;0.02;0.02;0.25;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1
""trace_id"":""\w{32}"";../runGen8/texts/missing-hyper/missingHyper_9325_1.txt;0.01;0.07;0.01;0.87;0.13;0.91;0.01;0.28;0.08;0.03;0.02;0.02;0.24;0.73;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{0,255})$;../runGen8/texts/missing-hyper/missingHyper_9326_1.txt;0.22;0.01;0.06;0.76;TO;1.65;0.01;0.28;TO;16.93;0.02;TO;TO;0.68;1;1;1;1;TO;1;1;0;TO;1;1;TO;TO;1
(.{1,134});../runGen8/texts/missing-hyper/missingHyper_9327_1.txt;0.02;0.44;0.01;0.36;0.18;0.4;0.0;0.28;0.07;0.01;0.02;0.04;0.32;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,32});../runGen8/texts/missing-hyper/missingHyper_9328_1.txt;0.01;0.44;0.02;0.36;0.18;0.36;0.0;0.27;0.05;0.01;0.02;0.05;0.33;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,35});../runGen8/texts/missing-hyper/missingHyper_9329_1.txt;0.01;0.43;0.01;0.36;0.18;0.39;0.01;0.26;0.06;0.01;0.02;0.04;0.31;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,40});../runGen8/texts/missing-hyper/missingHyper_9330_1.txt;0.01;0.43;0.0;0.34;0.15;0.39;0.0;0.26;0.07;0.01;0.02;0.04;0.32;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,45});../runGen8/texts/missing-hyper/missingHyper_9331_1.txt;0.02;0.42;0.0;0.38;0.18;0.41;0.0;0.3;0.08;0.01;0.02;0.03;0.32;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,50});../runGen8/texts/missing-hyper/missingHyper_9332_1.txt;0.01;0.42;0.01;0.39;0.19;0.4;0.0;0.31;0.08;0.02;0.02;0.05;0.28;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,60});../runGen8/texts/missing-hyper/missingHyper_9333_1.txt;0.01;0.44;0.01;0.34;0.18;0.4;0.0;0.25;0.06;0.01;0.02;0.05;0.34;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,64});../runGen8/texts/missing-hyper/missingHyper_9334_1.txt;0.01;0.44;0.02;0.34;0.18;0.4;0.0;0.28;0.08;0.02;0.02;0.04;0.3;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,66});../runGen8/texts/missing-hyper/missingHyper_9335_1.txt;0.02;0.46;0.01;0.34;0.18;0.38;0.0;0.27;0.07;0.02;0.02;0.04;0.32;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1
(.{1,70});../runGen8/texts/missing-hyper/missingHyper_9336_1.txt;0.02;0.43;0.02;0.39;0.2;0.4;0.01;0.23;0.08;0.03;0.02;0.05;0.33;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1
