pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
a{1,2147483647};../runGen4Rest/hyper-03-08/missing_9759_1.txt;ERR;ERR;0.08;0.33;0.31;0.4;0.02;0.31;0.07;0.01;0.02;0.04;0.4;0.72;ERR;ERR;0;1;1;1;ERR;ERR;too big number for repeat range: /a{1.2147483647}/###0;0;0;1;1;1;20.999999
a{1,111111111111111111111111111111111111111111111};../runGen8/texts/missing-hyper/missingHyper_9690_1.txt;ERR;ERR;0.06;ERR;ERR;ERR;0.0;0.26;0.08;0.02;ERR;0.02;0.06;0.8;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;1
a{1,21474836471};../runGen8/texts/missing-hyper/missingHyper_9691_1.txt;ERR;ERR;0.06;ERR;ERR;ERR;0.0;0.23;0.07;0.02;ERR;0.02;0.07;0.76;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;1
a{1,2147483648};../runGen8/texts/missing-hyper/missingHyper_9692_1.txt;ERR;ERR;0.07;ERR;ERR;ERR;0.02;0.29;0.09;0.02;ERR;0.04;0.07;0.78;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;1;;1
a{1,999999999999999999999999999999999999999999999};../runGen8/texts/missing-hyper/missingHyper_9693_1.txt;ERR;ERR;0.06;ERR;ERR;ERR;0.0;0.28;0.08;0.03;ERR;0.02;0.08;0.76;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;1
a{111111111111111111111111111111111111111111111};../runGen8/texts/missing-hyper/missingHyper_9694_1.txt;ERR;ERR;0.1;ERR;ERR;ERR;0.0;0.29;0.09;0.01;ERR;0.02;0.04;ERR;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR
a{2147483647,2147483647};../runGen8/texts/missing-hyper/missingHyper_9695_1.txt;ERR;ERR;0.07;TO;4.37;ERR;0.03;0.27;0.08;0.02;ERR;0.04;0.38;ERR;ERR;ERR;0;TO;0;ERR;ERR;ERR;ERR;0;ERR;0;0;ERR
a{21474836471,21474836471};../runGen8/texts/missing-hyper/missingHyper_9696_1.txt;ERR;ERR;0.06;ERR;ERR;ERR;0.0;0.26;0.08;0.02;ERR;0.02;0.06;ERR;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR
a{21474836471};../runGen8/texts/missing-hyper/missingHyper_9697_1.txt;ERR;ERR;0.08;ERR;ERR;ERR;0.0;0.27;0.06;0.02;ERR;0.02;0.07;ERR;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR
a{2147483647};../runGen8/texts/missing-hyper/missingHyper_9698_1.txt;ERR;ERR;0.07;TO;4.23;ERR;0.02;0.28;0.08;0.01;ERR;0.04;0.35;ERR;ERR;ERR;0;TO;0;ERR;ERR;ERR;ERR;0;ERR;0;0;ERR
a{2147483648,2147483648};../runGen8/texts/missing-hyper/missingHyper_9699_1.txt;ERR;ERR;0.07;ERR;ERR;ERR;0.03;0.3;0.09;0.03;ERR;0.03;0.06;ERR;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR
a{2147483648};../runGen8/texts/missing-hyper/missingHyper_9700_1.txt;ERR;ERR;0.08;ERR;ERR;ERR;0.03;0.3;0.06;0.0;ERR;0.05;0.07;ERR;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR
a{999999999999999999999999999999999999999999999};../runGen8/texts/missing-hyper/missingHyper_9701_1.txt;ERR;ERR;0.08;ERR;ERR;ERR;0.0;0.26;0.08;0.02;ERR;0.02;0.06;ERR;ERR;ERR;0;ERR;ERR;ERR;ERR;ERR;ERR;0;ERR;0;;ERR
