pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^SITE\s+CHOWN\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9241_1.txt;0.0;0.01;0.01;0.33;0.13;0.44;0.0;0.31;0.07;0.01;0.02;0.04;0.23;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+CPWD\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9242_1.txt;0.01;0.01;0.0;0.35;0.13;0.45;0.0;0.24;0.08;0.02;0.02;0.04;0.24;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+NEWER\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9243_1.txt;0.0;0.01;0.0;0.33;0.16;0.45;0.0;0.27;0.07;0.02;0.02;0.03;0.28;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+ZIPCHK\s[^\n]{100};../runGen4Rest/hyper-03-08/bech2-between_9244_1.txt;0.01;0.01;0.0;0.33;0.14;0.43;0.0;0.28;0.08;0.01;0.02;0.02;0.25;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^Authorization\x3a\s*Negotiate\s*((YE4G.{40}LgMc)|(YIIQ.{40}QUFB));../runGen4Rest/hyper-03-08/bech3-between_9280_1.txt;0.02;0.01;0.0;0.4;0.16;0.59;0.01;0.28;0.09;0.02;0.02;0.18;0.29;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.212869
^PWD\s.{190};../runGen4Rest/hyper-03-08/bech3-between_9344_1.txt;0.02;0.0;0.01;0.3;0.12;0.45;0.0;0.28;0.07;0.01;0.01;0.01;0.23;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^RNFR\s[^\n]{200};../runGen4Rest/hyper-03-08/bech3-between_9350_1.txt;0.01;0.01;0.0;0.32;0.13;0.49;0.0;0.26;0.07;0.02;0.02;0.03;0.24;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^SITE\s+CHMOD\s[^\n]{200};../runGen4Rest/hyper-03-08/bech3-between_9357_1.txt;0.02;0.01;0.0;0.31;0.12;0.43;0.0;0.23;0.07;0.02;0.01;0.03;0.24;0.67;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
^STOU\s[^\n]{200};../runGen4Rest/hyper-03-08/bech3-between_9367_1.txt;0.01;0.01;0.0;0.33;0.13;0.47;0.0;0.27;0.08;0.01;0.02;0.03;0.21;0.65;1;1;1;1;1;1;1;0;1;1;1;1;1;1;10.5
(\x20\x20.{4}\x20.{8}[^\x20]*)|(\x20\x20.{8}[^\x20]*.{4}\x20)|(.{4}\x20\x20\x20.{8}[^\x20]*)|(.{4}\x20.{8}[^\x20]*\x20\x20)|(.{8}[^\x20]*\x20\x20.{4}\x20)|(.{8}[^\x20]*.{4}\x20\x20\x20);../runGen8/texts/hyper-26-08/missing-20-08_9064_1.txt;0.0;0.04;0.04;0.62;TO;TO;0.02;0.28;TO;0.04;TO;TO;TO;TO;0;0;0;0;TO;TO;0;0;TO;0;TO;TO;TO;TO;11.0
