Benchmark;hyperText-attacks
Assorted-between;22
Assorted-nested-between;13
bech1-above;1
bech1-between;10
bech1-nested-between;1
bech2-above;12
bech2-between;35
bech2-nested-above;2
bech2-nested-between;1
bech3-above;26
bech3-between;95
bech3-nested-above;4
bech3-nested-between;12
bro-above;6
bro-between;28
home-brewed-above;0
home-brewed-between;7
internetSources-above;0
internetSources-between;32
internetSources-nested-between;14
MSInternal-between;13
regexes-above;0
regexes-between;18
regexes-nested-between;5
sagan-between;0
snort-above;10
snort-between;67
snort-nested-above;6
snort-nested-between;1
stackoverflow-above;24
stackoverflow-between;368
stackoverflow-nested-above;4
stackoverflow-nested-between;82
TrustPort-between;31
TrustPort-nested-between;4
Twain-between;0
uniq-above;15
uniq-between;415
uniq-nested-above;4
uniq-nested-between;53
uniq-toobig;0
yang2010-between;8
yang2010-nested-between;2
