pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
(((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1-5]{1}){1}([0-9]{1}){1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1]{1}){1}([0-9]{1}){1}){1}|([2]{1}){1}([0-3]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))|(jan|feb|mar|apr|may|jun|jul|aug|sep|okt|nov|dec)) ((([\*]{1}){1})|((\*\/){0,1}(([0-7]{1}){1}))|(sun|mon|tue|wed|thu|fri|sat)));./attacks-gadget/Assorted-nested-between_01_1.txt;0.03;0.3;0.03;0.57;0.28;0.62;0.0;0.26;0.08;0.02;0.03;0.05;0.48;0.81;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;41.200032
((([\+][\s]{0,1})|([0]{2}[\s-]{0,1}))([358]{3})([\s-]{0,1})|([0]{1}))(([1-9]{1}[0-9]{0,1})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1}))([0-9]{0,3}){1};./attacks-gadget/Assorted-nested-between_02_1.txt;0.13;0.14;0.25;1.32;32.51;2.21;0.15;0.26;3.15;0.59;14.56;7.15;8.08;0.86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200016
(((\(\d{3}\)|\d{3})( |-|\.))|(\(\d{3}\)|\d{3}))?\d{3}( |-|\.)?\d{4}(( |-|\.)?([Ee]xt|[Xx])[.]?( |-|\.)?\d{4})?;./attacks-gadget/Assorted-nested-between_03_1.txt;0.08;0.09;0.12;1.74;68.92;5.59;0.1;0.24;10.66;1.01;21.64;15.21;9.76;1.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200016
(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1};./attacks-gadget/Assorted-nested-between_04_1.txt;0.04;0.06;0.14;1.79;41.23;2.11;0.08;0.31;0.12;0.67;0.02;5.62;3.96;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.85834
(([0]{0,1})([1-9]{1})([0-9]{2})){1}([\ ]{0,1})((([0-9]{3})([\ ]{0,1})([0-9]{3}))|(([0-9]{2})([\ ]{0,1})([0-9]{2})([\ ]{0,1})([0-9]{2})));./attacks-gadget/Assorted-nested-between_05_1.txt;0.03;1.2;0.03;0.52;0.3;1.06;0.0;0.28;0.08;0.02;0.02;0.07;0.47;0.84;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;42.0
((\(44\))( )?|(\(\+44\))( )?|(\+44)( )?|(44)( )?)?((0)|(\(0\)))?( )?(((1[0-9]{3})|(7[1-57-9][0-9]{2}))( )?([0-9]{3}[ -]?[0-9]{3})|(2[0-9]{2}( )?[0-9]{3}[ -]?[0-9]{4}));./attacks-gadget/Assorted-nested-between_06_1.txt;0.03;3.3;0.02;0.52;0.54;32.7;0.0;0.31;0.12;0.02;0.08;0.12;0.58;0.8;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.265544
((\(\d{3}\) ?)|(\d{3}-)|(\(\d{2}\) ?)|(\d{2}-)|(\(\d{1}\) ?)|(\d{1}-))?\d{3}-(\d{3}|\d{4});./attacks-gadget/Assorted-nested-between_07_1.txt;0.09;0.08;0.13;1.82;75.74;4.5;0.09;0.27;11.07;1.13;26.01;16.09;9.86;2.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200012
((\d{2,4})/)?((\d{6,8})|(\d{2})-(\d{2})-(\d{2,4})|(\d{3,4})-(\d{3,4}));./attacks-gadget/Assorted-nested-between_08_1.txt;0.06;1.46;0.02;0.83;0.29;0.85;0.02;0.25;0.07;0.03;0.02;0.04;0.48;0.77;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*;./attacks-gadget/Assorted-nested-between_09_1.txt;ERR;0.1;0.23;1.89;27.95;ERR;0.0;0.26;0.07;0.02;ERR;0.02;5.32;1.3;ERR;0;0;0;0;ERR;ERR;0;"unmatched range specifier in char-class: /([0-9]* {0.2}[A-Z]{1}\w+[..:]? {0.4}[xvilcXVILC\d]+[..:]( {0.2}[\d-.]{1.7})+)([..:] {0.4}[xvilcXVILC]*[..:]( {0.2}[\d-.]{1.7})+)*/###0";0;ERR;0;0;0;41.200044
(\+\d{2}[ \-]{0,1}){0,1}(((\({0,1}[ \-]{0,1})0{0,1}\){0,1}[2|3|7|8]{1}\){0,1}[ \-]*(\d{4}[ \-]{0,1}\d{4}))|(1[ \-]{0,1}(300|800|900|902)[ \-]{0,1}((\d{6})|(\d{3}[ \-]{0,1}\d{3})))|(13[ \-]{0,1}([\d \-]{5})|((\({0,1}[ \-]{0,1})0{0,1}\){0,1}4{1}[\d \-]{8,10})));./attacks-gadget/Assorted-nested-between_11_1.txt;0.17;0.27;0.16;1.51;115.22;92.36;0.1;0.26;8.66;1.69;46.15;26.41;24.59;2.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
