pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
&guid=[a-f0-9]{8}(\x2d[a-f0-9]{4}){3}\x2d[a-f0-9]{12}&log=;./attacks-gadget/bech2-nested-between_00_1.txt;0.18;0.14;0.15;1.04;1.19;ERR;0.15;0.3;0.34;0.06;0.39;0.23;0.76;1.88;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;43.623576
&id=[a-f0-9]{8}(-[a-f0-9]{4}){4}[a-f0-9]{8}&os=;./attacks-gadget/bech2-nested-between_01_1.txt;0.17;0.03;0.13;0.83;1.32;ERR;0.13;0.28;0.32;0.06;0.47;0.22;0.73;0.83;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.200016
&mac=([A-F0-9]{2}-){5}[A-F0-9]{2}&md5=[a-f0-9]{32}$;./attacks-gadget/bech2-nested-between_02_1.txt;2.98;0.03;0.13;1.29;4.16;2.2;0.01;0.26;0.72;0.1;0.97;0.86;1.87;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
\.php\?.{3,4}1=.{8,15}2=(\w{2}:){5}\w{2}$;./attacks-gadget/bech2-nested-between_03_1.txt;3.89;0.04;0.16;1.96;5.5;3.32;0.05;0.28;1.03;0.08;0.53;0.87;3.82;1.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.3
\.php\?id=[a-f0-9]{8}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{4}-[a-f0-9]{12}-(\d{1,3}\.){3}\d{1,3}&gr;./attacks-gadget/bech2-nested-between_04_1.txt;0.16;0.08;0.14;1.44;2.37;2.08;0.09;0.26;0.64;0.09;0.09;0.58;1.44;1.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200012
\.php\?uid=[0-9a-f]{8}(-[0-9a-f]{4}){4}[0-9a-f]{8}&;./attacks-gadget/bech2-nested-between_05_1.txt;0.18;0.12;0.15;1.12;0.96;ERR;0.08;0.29;0.25;0.06;0.3;0.14;0.62;0.83;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.200084
\.php\?uid=\x7b[A-F0-9]{8}-([A-F0-9]{4}-){3}[A-F0-9]{12}\x7d$;./attacks-gadget/bech2-nested-between_06_1.txt;0.04;0.04;0.13;1.27;2.62;1.86;0.0;0.27;0.71;0.09;0.47;0.51;1.11;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200176
\.php\?v0=[A-F0-9]{12}&v1=(\d{1,3}\.){3}\d{1,3}&v2=;./attacks-gadget/bech2-nested-between_07_1.txt;0.17;0.09;0.13;1.41;2.82;1.89;0.09;0.29;0.64;0.07;0.15;0.53;1.39;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200016
\/(read|write)\.php\?m=index(\d{1,2})?&a=[a-zA-Z0-9]{2,20}&SpyId=\d{15}&;./attacks-gadget/bech2-nested-between_08_1.txt;0.04;0.18;0.15;1.45;3.53;1.89;0.0;0.27;0.71;0.1;0.46;0.46;4.42;0.97;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200128
\/Upload\/[a-f0-9]{23}-[a-f0-9]{8}-([a-f0-9]{4}-){3}[a-f0-9]{12}$;./attacks-gadget/bech2-nested-between_09_1.txt;2.95;0.03;0.15;1.33;2.58;2.18;0.0;0.3;0.73;0.09;0.42;0.52;1.18;0.78;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.0
\/com(\.\w{1,20}){1,5}\.php$;./attacks-gadget/bech2-nested-between_10_1.txt;0.19;0.15;0.16;1.89;14.21;ERR;0.0;0.29;2.66;0.11;0.11;2.0;1.99;1.72;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;42.62076
\/cpa[a-z]{1,10}\.ashx\?id=\d{1,4}&r=[a-f0-9]{8}(-[a-f0-9]{4}){4}[a-f0-9]{8}$;./attacks-gadget/bech2-nested-between_11_1.txt;0.06;0.04;0.15;1.37;3.12;ERR;0.0;0.28;0.84;0.07;0.51;0.38;1.42;1.74;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;41.833968
\/verify(.{3})?\.php\?k=[a-f0-9]{32}$;./attacks-gadget/bech2-nested-between_12_1.txt;2.6;0.03;0.16;1.26;2.78;1.34;0.0;0.28;0.46;0.06;0.79;0.57;1.27;0.78;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.0
\?action=\d(&botId=[A-F0-9]{32})?$;./attacks-gadget/bech2-nested-between_13_1.txt;0.04;0.04;0.15;1.4;2.1;1.01;0.01;0.26;0.46;0.08;0.57;0.24;0.7;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200032
\?uid={[A-F0-9]{8}(-[A-F0-9]{4}){4}[A-F0-9]{8}}&;./attacks-gadget/bech2-nested-between_14_1.txt;0.16;0.13;0.14;0.98;1.1;ERR;0.0;0.26;0.26;0.06;ERR;0.17;0.06;0.86;0;0;0;0;0;ERR;ERR;0;0;0;ERR;0;;0;41.200044
\x2522deviceName\x2522\x253A\x2522[a-f0-9]{8}(-[a-f0-9]{4}){4}[a-f0-9]{8}\x2522;./attacks-gadget/bech2-nested-between_15_1.txt;0.04;0.08;0.13;1.25;0.72;ERR;0.1;0.29;0.2;0.05;0.16;0.13;0.6;0.82;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.20018
\x2c\x7b[A-F0-9]{8}(-[A-F0-9]{4}){4}[A-F0-9]{8}\x7d$;./attacks-gadget/bech2-nested-between_16_1.txt;0.04;0.04;0.1;1.25;1.74;ERR;0.01;0.27;0.4;0.03;0.68;0.26;0.9;0.76;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.20002
^User-Agent\x3a\sHash\x3a\s[0-9a-f]{8}(-[0-9a-f]{4}){4}[a-f0-9]{8}[\x2d\t];./attacks-gadget/bech2-nested-between_17_1.txt;0.05;0.02;0.03;0.52;0.31;ERR;0.01;0.29;0.14;0.02;0.02;0.57;0.46;0.77;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.200084
^User-Agent\x3a\s[a-f0-9]{8}(-[a-f0-9]{4}){4}[a-f0-9]{8}=;./attacks-gadget/bech2-nested-between_18_1.txt;0.04;0.03;0.03;0.5;0.27;ERR;0.01;0.26;0.16;0.03;0.02;0.58;0.46;0.79;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.200044
^[^\)]+\)+\s\{\s+createIframe\s*\(\s*[\x22\x27]\s*https?\x3a\x2f\x2f[^\r\x20]+\/\?[a-f0-9]{15,100}[\x22\x27];./attacks-gadget/bech2-nested-between_19_1.txt;0.18;0.04;0.02;0.56;0.3;0.59;0.0;0.3;1.17;0.03;0.03;0.6;0.44;0.78;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.20002
^[a-f0-9]{16,20}\x3d([a-z0-9]+(\x25(2[abf]|0d|0a))*)+\x253d\x253d\x250d\x250a$;./attacks-gadget/bech2-nested-between_20_1.txt;0.07;0.02;0.01;0.5;1.1;0.51;0.0;0.26;0.47;0.02;0.02;0.74;0.46;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.2001
^[a-f0-9]{4}([\%\\]u[a-f0-9]{4}){20};./attacks-gadget/bech2-nested-between_21_1.txt;4.8;0.03;0.03;0.49;0.3;0.52;0.0;0.25;0.54;0.01;0.02;0.6;0.48;0.8;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.0
^\/data\?id=[a-f0-9]{8}(-[a-f0-9]{4}){4}[a-f0-9]{8}$;./attacks-gadget/bech2-nested-between_22_1.txt;1.88;0.02;0.01;0.51;0.3;ERR;0.0;0.26;0.18;0.03;0.02;0.58;0.45;0.77;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;41.20004
^\/items\/\w{20}\/(%[A-F0-9]{2}){2,20}\.apk$;./attacks-gadget/bech2-nested-between_23_1.txt;0.16;0.03;0.03;1.12;0.27;ERR;0.0;0.29;0.12;0.03;0.03;0.54;0.48;0.81;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;41.200068
^cmd=[A-Za-z]+&(h|who|)=[A-Z0-9]{2}\x3a[A-Z0-9]{2}\x3a[A-Z0-9]{2}\x3a[A-Z0-9]{2}\x3a[A-Z0-9]{2}\x3a[A-Z0-9]{2}&(adap|v)?=[{}\-A-Za-z0-9/]+&(l=\d+|ip=\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3})?(&a=\d)?$;./attacks-gadget/bech2-nested-between_24_1.txt;ERR;0.03;0.03;0.66;0.32;0.64;0.0;0.28;0.12;0.03;0.03;0.57;0.47;0.78;ERR;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200056
^uuid=[a-f0-9]{8}-([a-f0-9]{4}-){3}[a-f0-9]{12}&imei=\d{15}&;./attacks-gadget/bech2-nested-between_25_1.txt;0.04;0.03;0.04;0.57;0.28;0.61;0.0;0.3;0.14;0.03;0.02;0.58;0.45;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20024
privateIP=([0-9]{1,3}\.){3}[0-9]{1,3}&macAddr=[A-F0-9]{12}&gameType=[0-9]{1,3}$;./attacks-gadget/bech2-nested-between_26_1.txt;0.18;0.03;0.15;1.3;2.66;1.43;0.01;0.26;0.61;0.08;0.04;0.44;0.94;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200032
