Benchmarks;Extra;Missing;Sum
Assorted-between.txt;5;0;-5
Assorted-nested-between.txt;3;0;-3
bech1-above.txt;0;0;0
bech1-between.txt;1;0;-1
bech1-nested-between.txt;0;0;0
bech2-above.txt;1;0;-1
bech2-between.txt;11;0;-11
bech2-nested-above.txt;0;0;0
bech2-nested-between.txt;0;0;0
bech3-above.txt;3;0;-3
bech3-between.txt;12;0;-12
bech3-nested-above.txt;0;0;0
bech3-nested-between.txt;1;0;-1
bro-above.txt;0;0;0
bro-between.txt;2;0;-2
home-brewed-above.txt;0;0;0
home-brewed-between.txt;0;0;0
internetSources-above.txt;0;0;0
internetSources-between.txt;9;0;-9
internetSources-nested-between.txt;12;0;-12
MSInternal-between.txt;0;0;0
regexes-above.txt;0;0;0
regexes-between.txt;7;0;-7
regexes-nested-between.txt;7;0;-7
sagan-between.txt;0;0;0
snort-above.txt;2;0;-2
snort-between.txt;3;0;-3
snort-nested-above.txt;0;0;0
snort-nested-between.txt;0;0;0
stackoverflow-above.txt;14;2;-12
stackoverflow-between.txt;211;31;-180
stackoverflow-nested-above.txt;0;0;0
stackoverflow-nested-between.txt;63;4;-59
TrustPort-between.txt;15;0;-15
TrustPort-nested-between.txt;0;0;0
Twain-between.txt;0;0;0
uniq-above.txt;18;0;-18
uniq-between.txt;339;8;-331
uniq-nested-above.txt;1;0;-1
uniq-nested-between.txt;45;0;-45
uniq-toobig.txt;12;0;-12
yang2010-between.txt;1;0;-1
yang2010-nested-between.txt;0;0;0
