pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";./attacks-gadget/Assorted-between_00_1.txt;0.05;0.24;0.04;0.6;0.31;0.6;0.0;0.26;0.09;0.02;0.01;0.04;0.45;0.77;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;41.200032
"(((((00|\+)49[ \-/]{0,1})|0)[1-9][0-9]{1,4}[ \-/]{0,1}|(((00|\+)49\()|\(0)[1-9][0-9]{1,4}\))[0-9]{1,7}[ \-/]{0,1}[0-9]{1,5})";./attacks-gadget/Assorted-between_01_1.txt;ERR;0.21;0.13;1.34;38.1;0.77;0.09;0.26;4.37;0.7;14.68;8.1;10.62;1.08;ERR;0;0;0;0;1;0;0;0;0;0;0;0;0;41.200044
"((((0031)|(\+31))(\-)?6(\-)?[0-9]{8})|(06(\-)?[0-9]{8})|(((0031)|(\+31))(\-)?[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6})))|([0]{1}[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6}))))";./attacks-gadget/Assorted-between_02_1.txt;0.17;0.94;0.2;1.42;46.74;2.21;0.28;0.27;6.99;1.08;19.45;12.49;9.15;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((4(\d{12}|\d{15}))|(5\d{15})|(6011\d{12})|(3(4|7)\d{13}))";./attacks-gadget/Assorted-between_03_1.txt;0.16;0.93;0.2;1.62;23.7;2.72;0.26;0.22;3.54;0.44;8.84;4.8;4.67;1.16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(([0-9]{3})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))|([0-9]{9})|([\+]?([0-9]{3})[ \-\/]?([0-9]{2})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))";./attacks-gadget/Assorted-between_04_1.txt;0.17;0.1;0.27;1.46;27.32;2.65;0.0;0.3;4.85;0.52;13.38;7.32;4.6;1.23;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.0
"((\+){1}[1-9]{1}[0-9]{0,1}[0-9]{0,1}(\s){1}[\(]{1}[1-9]{1}[0-9]{1,5}[\)]{1}[\s]{1})[1-9]{1}[0-9]{4,9}";./attacks-gadget/Assorted-between_05_1.txt;0.17;0.12;0.19;1.4;6.06;1.6;0.2;0.28;0.73;0.1;1.93;3.94;4.82;1.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_06_1.txt;0.03;0.21;0.17;1.79;99.58;12.51;0.1;0.25;13.88;1.85;21.01;13.07;16.58;2.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(02\d\s?\d{4}\s?\d{4})|((01|05)\d{2}\s?\d{3}\s?\d{4})|((01|05)\d{3}\s?\d{5,6})|((01|05)\d{4}\s?\d{4,5})";./attacks-gadget/Assorted-between_07_1.txt;0.04;3.24;0.02;0.6;0.28;56.9;0.0;0.3;0.08;0.03;0.05;0.06;0.42;0.82;0;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200008
"(0|(\+)?([1-9]{1}[0-9]{0,3})|([1-5]{1}[0-9]{1,4}|[6]{1}([0-4]{1}[0-9]{3}|[5]{1}([0-4]{1}[0-9]{2}|[5]{1}([0-2]{1}[0-9]{1}|[3]{1}[0-5]{1})))))";./attacks-gadget/Assorted-between_08_1.txt;0.17;0.04;0.34;1.5;27.55;1.1;0.32;0.3;0.15;0.43;14.41;9.0;7.12;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"(0|[-]{1}([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-8]{1})))))|(\+)?([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-7]{1}))))))";./attacks-gadget/Assorted-between_10_1.txt;0.17;0.05;0.36;1.27;30.27;1.16;0.24;0.27;3.64;0.48;19.05;9.25;7.24;2.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
