pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"ALTER\s.*FILE\s+((AS|MEMBER|TO)\s+)?(\x27[^\x27]{512}|\x22[^\x22]{512})";./attacks-gadget/bech2-nested-above_00_1.txt;0.35;0.36;0.11;1.31;TO;1.06;0.1;0.38;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.200044
"CREATE\s.*FILE\s+((AS|MEMBER|TO)\s+)?(\x27[^\x27]{512}|\x22[^\x22]{512})";./attacks-gadget/bech2-nested-above_01_1.txt;0.39;0.99;0.15;1.4;TO;1.04;0.1;0.29;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;42.0
"ALTER\s.*FILE\s+((AS|MEMBER|TO)\s+)?(\x27[^\x27]{512}|\x22[^\x22]{512})";./attacks-gadget/bech2-nested-above_00_1.txt;0.37;0.61;0.16;1.28;TO;1.01;0.1;0.25;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.200044
"CREATE\s.*FILE\s+((AS|MEMBER|TO)\s+)?(\x27[^\x27]{512}|\x22[^\x22]{512})";./attacks-gadget/bech2-nested-above_01_1.txt;0.38;1.0;0.14;1.44;TO;1.05;0.1;0.26;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;42.0
"(\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*((\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*){2}(\x27[^\x27]{1075,}|\x22[^\x22]{1075,}))";./attacks-gadget/bech3-nested-above_01_1.txt;6.02;0.29;ERR;1.35;28.84;2.59;21.26;0.28;4.42;0.61;15.83;6.52;6.25;1.84;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"(\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*((\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*){2}(\x27[^\x27]{1075,}|\x22[^\x22]{1075,}))";./attacks-gadget/bech3-nested-above_00_1.txt;6.02;0.54;ERR;1.39;30.93;2.66;20.14;0.3;4.62;0.65;15.68;6.48;6.74;2.63;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"ALTER\s.*FILE\s+((AS|MEMBER|TO)\s+)?(\x27[^\x27]{512}|\x22[^\x22]{512})";./attacks-gadget/bech2-nested-above_00_1.txt;0.41;0.6;0.14;1.35;TO;1.09;0.1;0.28;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.200044
"CREATE\s.*FILE\s+((AS|MEMBER|TO)\s+)?(\x27[^\x27]{512}|\x22[^\x22]{512})";./attacks-gadget/bech2-nested-above_01_1.txt;0.4;1.02;0.15;1.4;TO;1.1;0.11;0.25;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;42.0
"(\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*((\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*){2}(\x27[^\x27]{1075,}|\x22[^\x22]{1075,}))";./attacks-gadget/bech3-nested-above_01_1.txt;6.12;0.29;ERR;1.34;35.4;2.67;22.39;0.32;4.37;0.61;15.51;6.49;5.85;2.05;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"(\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})|\(\s*((\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*){2}(\x27[^\x27]{1075,}|\x22[^\x22]{1075,}))";./attacks-gadget/bech3-nested-above_00_1.txt;5.92;0.53;ERR;1.36;38.78;2.68;24.8;0.26;4.61;0.7;16.26;6.75;6.79;2.39;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
