pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"WebAdmin\x2Edll\x3F[^\r\n]*View=Logon.*[^\r\n\x26]*User=[^\r\n\x26]{100}";./attacks-gadget/bech3-between_9038_1.txt;0.04;0.37;0.14;1.32;TO;1.07;0.1;0.32;TO;0.09;0.06;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;41.200016
"SET_(SENDFROM|MAILHOST)\x28\x27[^\x27]{256}";./attacks-gadget/bech3-between_9026_1.txt;0.05;0.3;0.13;1.33;2.27;2.14;0.09;0.26;1.02;0.11;1.28;0.42;1.92;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\s{230,}\.htr";./attacks-gadget/bech3-between_9142_1.txt;0.04;0.04;0.16;1.44;TO;2.28;0.02;0.24;0.11;4.94;0.02;29.08;15.91;28.65;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;41.200848
"\s{23}DIMBUS\s+Server\s+v\d+\x2E\d+";./attacks-gadget/bech3-between_9143_1.txt;0.17;0.19;0.15;1.52;39.7;2.18;0.09;0.27;0.6;0.68;0.35;4.22;4.05;4.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20032
"^\x2F40e800[0-9A-F]{30,}$";./attacks-gadget/bech3-between_9500_1.txt;0.06;0.03;0.01;0.5;0.28;0.54;0.0;0.28;0.21;0.03;0.03;0.59;0.42;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"cache_lastpostdate\[[^\]]+\]=[^\x20\x3B\x3D]{30}";./attacks-gadget/bech3-between_9560_1.txt;0.18;0.34;0.05;0.73;0.89;1.02;0.03;0.29;0.31;0.06;0.24;0.17;0.72;0.87;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"WebAdmin\x2Edll\x3F[^\r\n]*View=Logon.*[^\r\n\x26]*User=[^\r\n\x26]{100}";./attacks-gadget/bech3-between_9038_1.txt;0.02;0.37;0.14;1.31;TO;1.05;0.09;0.24;TO;0.09;0.05;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;41.200016
"SET_(SENDFROM|MAILHOST)\x28\x27[^\x27]{256}";./attacks-gadget/bech3-between_9026_1.txt;0.04;0.32;0.14;1.32;2.31;2.2;0.1;0.27;1.0;0.11;1.29;0.44;1.54;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\s{230,}\.htr";./attacks-gadget/bech3-between_9142_1.txt;0.03;0.03;0.17;1.46;TO;2.27;0.01;0.3;0.09;4.94;0.03;29.4;15.66;29.74;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;41.200848
"\s{23}DIMBUS\s+Server\s+v\d+\x2E\d+";./attacks-gadget/bech3-between_9143_1.txt;0.18;0.19;0.15;1.54;32.79;2.22;0.08;0.27;0.61;0.7;0.34;4.0;3.38;4.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20032
"^\x2F40e800[0-9A-F]{30,}$";./attacks-gadget/bech3-between_9500_1.txt;0.07;0.03;0.04;0.5;0.3;0.53;0.01;0.25;0.23;0.04;0.03;0.58;0.44;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"cache_lastpostdate\[[^\]]+\]=[^\x20\x3B\x3D]{30}";./attacks-gadget/bech3-between_9560_1.txt;0.18;0.31;0.05;0.73;0.84;1.03;0.02;0.31;0.3;0.06;0.22;0.2;0.62;0.89;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Accept-Language\x3A[^\n]{100}";./attacks-gadget/home-brewed-between_00_1.txt;0.05;1.08;0.03;0.51;0.29;0.47;0.01;0.27;0.1;0.04;0.03;0.07;0.46;0.75;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{250}";./attacks-gadget/home-brewed-between_01_1.txt;0.05;4.89;0.02;0.54;0.3;0.58;0.01;0.29;0.08;0.04;0.02;0.05;0.46;0.78;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{512}";./attacks-gadget/home-brewed-between_02_1.txt;0.17;5.09;0.02;0.54;0.3;0.62;0.02;0.3;0.09;0.02;0.02;0.04;0.41;0.68;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Authorization\x3a\s*Basic[^\n]{256}";./attacks-gadget/home-brewed-between_03_1.txt;0.06;5.54;0.02;0.52;0.28;0.55;0.02;0.29;0.1;0.03;0.02;0.05;0.48;0.8;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Content-Length\x3A\s*[^\r\n]{100,}";./attacks-gadget/home-brewed-between_04_1.txt;0.03;2.4;0.02;0.52;1.49;0.54;0.22;0.3;0.83;0.07;0.35;0.44;0.62;ERR;0;1;1;1;1;1;1;0;1;1;1;1;1;ERR;42.0
"DESCRIBE\s[^\n]{300}";./attacks-gadget/home-brewed-between_05_1.txt;0.06;5.67;0.02;0.54;0.33;0.53;0.01;0.28;0.07;0.04;0.02;0.06;0.48;0.82;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Host\x3A\s[^\r\n]{300,}";./attacks-gadget/home-brewed-between_06_1.txt;0.05;2.74;0.04;0.53;1.48;0.52;0.24;0.31;0.78;0.09;0.34;0.46;0.65;ERR;0;1;1;1;1;1;1;0;1;1;1;1;1;ERR;42.0
"SoftCart.exe\?[^\s]{100}";./attacks-gadget/home-brewed-between_08_1.txt;0.04;0.7;0.01;0.52;0.28;0.53;0.01;0.28;0.08;0.02;0.04;0.04;0.5;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"User-Agent\x3a[^\n]{216}";./attacks-gadget/home-brewed-between_09_1.txt;0.04;1.32;0.02;0.48;0.3;0.5;0.01;0.26;0.08;0.02;0.02;0.06;0.46;0.78;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"User-Agent\x3a[^\n]{244,255}";./attacks-gadget/home-brewed-between_10_1.txt;0.05;3.64;0.03;0.56;0.3;0.49;0.02;0.28;0.06;0.04;0.0;0.06;0.44;0.71;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"[\x20-t][bcdfghjklmnpqrstvwxyz]{5,32}\x20n";./attacks-gadget/home-brewed-between_12_1.txt;0.05;0.05;ERR;1.48;101.3;2.72;50.36;0.3;0.14;2.92;0.03;8.84;17.49;9.73;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;41.316636
"[\x20-t][bcdfghjklmnpqrstvwxyz]{5,32}\x20ru";./attacks-gadget/home-brewed-between_13_1.txt;0.04;0.04;ERR;1.42;93.68;2.75;0.01;0.3;0.12;2.85;0.02;8.88;8.93;10.22;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;41.2512
"\S{190}.rt";./attacks-gadget/home-brewed-between_14_1.txt;0.06;0.04;0.23;1.45;15.09;2.28;0.11;0.24;0.15;0.35;0.03;2.2;2.04;3.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.4744
"\s*Cookie\s*\x3a.*OvOSLocale\s*\x3d\s*[^\x3b\s]{249}";./attacks-gadget/home-brewed-between_15_1.txt;0.18;1.02;0.13;1.46;TO;1.32;0.1;0.26;TO;0.11;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;42.0
