pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1}";./attacks-gadget/Assorted-nested-between_04_1.txt;0.04;0.06;0.14;1.79;41.23;2.11;0.08;0.31;0.12;0.67;0.02;5.62;3.96;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.85834
"([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*";./attacks-gadget/Assorted-nested-between_09_1.txt;ERR;0.1;0.23;1.89;27.95;ERR;0.0;0.26;0.07;0.02;ERR;0.02;5.32;1.3;ERR;0;0;0;0;ERR;ERR;0;"unmatched range specifier in char-class: /([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*/###0";0;ERR;0;0;0;41.200044
"(\s+|)((\(\d{3}\) +)|(\d{3}-)|(\d{3} +))?\d{3}(-| +)\d{4}( +x\d{1,4})?(\s+|)";./attacks-gadget/Assorted-nested-between_13_1.txt;0.02;0.1;0.13;1.78;93.88;4.29;0.0;0.26;11.01;1.42;28.52;18.57;10.56;2.06;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.20004
"[({]?(0x)?[0-9a-fA-F]{8}([-,]?(0x)?[0-9a-fA-F]{4}){2}((-?[0-9a-fA-F]{4}-?[0-9a-fA-F]{12})|(,\{0x[0-9a-fA-F]{2}(,0x[0-9a-fA-F]{2}){7}\}))[)}]?";./attacks-gadget/Assorted-nested-between_16_1.txt;9.28;0.12;0.25;1.54;27.21;3.9;0.09;0.24;5.46;0.59;8.98;5.59;3.87;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.48662
"(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1}";./attacks-gadget/Assorted-nested-between_04_1.txt;0.04;0.06;0.14;1.87;30.46;2.16;0.1;0.27;0.1;0.63;0.02;5.57;3.79;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.85834
"([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*";./attacks-gadget/Assorted-nested-between_09_1.txt;ERR;0.1;0.23;1.94;17.38;ERR;0.0;0.24;0.08;0.02;ERR;0.02;4.52;1.44;ERR;0;0;0;0;ERR;ERR;0;"unmatched range specifier in char-class: /([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*/###0";0;ERR;0;0;0;41.200044
"(\s+|)((\(\d{3}\) +)|(\d{3}-)|(\d{3} +))?\d{3}(-| +)\d{4}( +x\d{1,4})?(\s+|)";./attacks-gadget/Assorted-nested-between_13_1.txt;0.03;0.11;0.14;1.84;72.48;4.36;0.0;0.24;11.04;1.42;24.3;18.28;10.79;2.01;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.20004
"[({]?(0x)?[0-9a-fA-F]{8}([-,]?(0x)?[0-9a-fA-F]{4}){2}((-?[0-9a-fA-F]{4}-?[0-9a-fA-F]{12})|(,\{0x[0-9a-fA-F]{2}(,0x[0-9a-fA-F]{2}){7}\}))[)}]?";./attacks-gadget/Assorted-nested-between_16_1.txt;8.8;0.11;0.24;1.52;23.28;4.02;0.09;0.31;5.57;0.63;8.36;5.96;4.13;2.14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.48662
"((https?|ftp)\:\/\/)?([a-z0-9+!*(),?&=\$_.-]+(\:[a-z0-9+!*(),?&=\$_.-]+)?@)?(([a-z0-9-.]*)\.([a-z]{2,6}))|(([0-9]{1,3}\.){3}[0-9]{1,3})(\:[0-9]{2,5})?(\/([a-z0-9+\$_-]\.?)+)*\/?(\?[a-z+&\$_.-][a-z0-9:@&%=+\/\$_.-]*)?(#[a-z_.-][a-z0-9+\$_.-]*)?";./attacks-gadget/internetSources-nested-between_03_1.txt;ERR;0.05;0.17;1.54;53.22;ERR;0.0;0.29;0.14;1.13;32.0;18.78;12.86;2.81;ERR;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;45.25312
"(GB-?)?([1-9][0-9]{2}\ ?[0-9]{4}\ ?[0-9]{2})|([1-9][0-9]{2}\ ?[0-9]{4}\ ?[0-9]{2}\ ?[0-9]{3})|((GD|HA)[0-9]{3})";./attacks-gadget/internetSources-nested-between_04_1.txt;0.04;0.1;0.01;0.54;0.3;8.58;0.0;0.24;0.07;0.04;0.02;0.07;0.46;0.8;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;43.259496
