pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^.{27};./attacks-gadget/bech1-between_35_1.txt;0.02;0.03;0.03;0.47;0.27;0.46;0.02;0.33;0.08;0.04;0.02;0.06;0.59;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"select\s+xmlquery\s*\x28\s*(\x27|\x22)[^\x27\x22]{512}";./attacks-gadget/bech1-between_72_1.txt;0.27;1.6;0.16;1.3;4.46;2.18;0.1;0.26;1.02;0.11;1.37;0.99;1.16;1.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^.{27};./attacks-gadget/bech1-between_35_1.txt;0.03;0.03;0.02;0.48;0.3;0.48;0.01;0.3;0.08;0.02;0.02;0.06;0.5;0.8;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"AUTH\s[^\n]{100}";./attacks-gadget/bech2-between_41_1.txt;0.03;1.73;0.02;0.55;0.28;0.5;0.0;0.33;0.08;0.01;0.02;0.06;0.49;0.8;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"TO_CHAR\s*\(\s*SYSTIMESTAMP\s*,\s*(\x27[^\x27]{256}|\x22[^\x22]{256})";./attacks-gadget/bech2-between_50_1.txt;0.19;1.47;0.14;1.5;2.78;2.43;0.1;0.26;0.99;0.11;1.12;0.62;1.1;1.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\sAPPEND\s[^\n]{256}";./attacks-gadget/bech2-between_9137_1.txt;0.05;5.04;0.02;0.63;0.3;0.52;0.01;0.3;0.08;0.04;0.03;0.07;0.48;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sAUTHENTICATE\s[^\n]{100}";./attacks-gadget/bech2-between_9138_1.txt;0.04;0.8;0.04;0.63;0.31;0.51;0.01;0.28;0.07;0.04;0.02;0.04;0.5;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sDELETE\s[^\n]{100}";./attacks-gadget/bech2-between_9139_1.txt;0.04;1.11;0.02;0.63;0.31;0.51;0.0;0.24;0.07;0.03;0.02;0.06;0.42;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sEXAMINE\s[^\n]{100}";./attacks-gadget/bech2-between_9140_1.txt;0.04;1.1;0.03;0.62;0.29;0.5;0.01;0.28;0.07;0.03;0.02;0.06;0.46;0.77;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sLOGIN\s[^\n]{100}";./attacks-gadget/bech2-between_9143_1.txt;0.04;1.28;0.02;0.66;0.31;0.48;0.01;0.27;0.09;0.02;0.02;0.06;0.43;0.77;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sRENAME\s[^\n]{100}";./attacks-gadget/bech2-between_9144_1.txt;0.05;1.15;0.03;0.63;0.3;0.52;0.01;0.27;0.09;0.02;0.02;0.06;0.48;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^APOP\s+USER\s[^\n]{256}";./attacks-gadget/bech2-between_9196_1.txt;0.06;0.03;0.02;0.52;0.3;0.54;0.01;0.26;0.08;0.03;0.03;0.04;0.46;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^APOP\s[^\n]{256}";./attacks-gadget/bech2-between_9197_1.txt;0.05;0.03;0.03;0.47;0.29;0.6;0.01;0.26;0.07;0.03;0.02;0.05;0.46;0.82;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^AUTH\s[^\n]{50}";./attacks-gadget/bech2-between_9199_1.txt;0.04;0.03;0.03;0.48;0.28;0.57;0.0;0.28;0.08;0.04;0.02;0.05;0.41;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^PASS\s[^\n]{50}";./attacks-gadget/bech2-between_9228_1.txt;0.05;0.02;0.03;0.5;0.31;0.55;0.01;0.29;0.08;0.02;0.03;0.05;0.49;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
