pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^[a-f0-9]{32}$;./attacks-gadget/bech2-between_9322_1.txt;4.03;0.02;0.03;0.51;0.28;0.52;0.01;0.32;0.69;0.03;0.04;0.6;0.46;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15}";./attacks-gadget/internetSources-between_30_1.txt;0.03;0.12;0.14;1.75;27.45;2.71;0.09;0.27;3.47;0.34;4.74;5.81;7.76;1.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;./attacks-gadget/internetSources-between_84_1.txt;0.06;0.03;0.02;0.44;0.28;0.51;0.01;0.24;0.22;0.02;0.04;0.53;0.44;0.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15}";./attacks-gadget/internetSources-between_30_1.txt;0.02;0.12;0.14;1.73;20.59;2.74;0.1;0.28;3.44;0.35;4.74;5.39;6.88;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;./attacks-gadget/internetSources-between_84_1.txt;0.06;0.03;0.02;0.5;0.3;0.52;0.0;0.29;0.24;0.03;0.02;0.6;0.47;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^[a-f0-9]{32}$;./attacks-gadget/bech2-between_9322_1.txt;4.08;0.03;0.02;0.42;0.25;0.45;0.01;0.26;0.68;0.04;0.02;0.6;0.44;0.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{1,3}.?\d{0,3}\s[a-zA-Z]{2,30}\s[a-zA-Z]{2,15}";./attacks-gadget/internetSources-between_30_1.txt;0.02;0.12;0.15;1.69;18.48;2.56;0.1;3.21;2.81;0.36;2.76;4.99;5.59;1.28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^[0-9]{10}GBR[0-9]{7}[U,M,F]{1}[0-9]{9}$;./attacks-gadget/internetSources-between_84_1.txt;0.04;0.02;0.01;0.44;0.21;0.52;0.0;0.6;0.16;0.03;0.02;0.34;0.98;0.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
" {20}"", ""\u0022"", ""[\s\u0022]{20}"", ""\s";./attacks-gadget/stackoverflow-between_00_1.txt;0.05;ERR;ERR;0.82;0.58;1.36;0.09;1.06;0.16;0.14;ERR;0.76;1.29;1.66;0;ERR;ERR;0;0;0;0;ERR;0;0;ERR;0;0;0;41.20006
""" & if(len(RegexSplit(Cell(5,6),""([0-9]*)(\w{2}) (\w{3}) (\d{4})"",1)) = 1,0&RegexSplit(Cell(5,6),""([0-9]*)(\w{2}) (\w{3}) (\d{4})"",1),RegexSplit(Cell(5,6),""([0-9]*)(\w{2}) (\w{3}) (\d{4})"",1)) & """;./attacks-gadget/stackoverflow-between_02_1.txt;0.05;0.32;0.01;1.13;0.24;1.14;0.02;0.21;0.07;0.03;0.01;0.04;0.43;0.56;0;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200376
