pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.*A.*(JSNRBHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^CD][^CE]{7,128}C.*;./attacks-gadget/MSInternal-between_00_1.txt;0.04;1.04;0.13;1.38;TO;0.95;0.08;0.26;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.20004
.*A.*(JSNRCHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.*;./attacks-gadget/MSInternal-between_01_1.txt;0.04;1.09;0.14;1.4;TO;0.94;0.09;0.27;TO;0.1;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.20004
.*A.*B[C-F]{43,53}CEF[^C-F].*;./attacks-gadget/MSInternal-between_02_1.txt;5.12;1.64;0.02;0.52;1.31;0.47;0.55;0.3;0.38;0.09;0.02;0.08;0.52;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200184
.*A.*[BD]C{43,43}D[^E].*;./attacks-gadget/MSInternal-between_03_1.txt;3.97;1.57;0.02;0.46;1.31;0.5;0.54;0.28;0.38;0.08;0.02;0.09;0.52;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200176
.*A.*[BD]C{86,86}DD.*;./attacks-gadget/MSInternal-between_04_1.txt;0.17;0.04;0.13;1.38;TO;1.9;0.09;0.27;TO;0.08;0.04;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;41.200236
.*ADCC[B-D]{200,200}.*;./attacks-gadget/MSInternal-between_05_1.txt;TO;0.39;0.13;1.34;TO;1.5;0.09;0.26;0.81;0.17;0.61;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;42.0
.*A[^AB]{0,400}[CE]D{86,86}EE.*;./attacks-gadget/MSInternal-between_06_1.txt;0.1;0.05;0.19;1.58;TO;2.2;0.16;0.29;2.01;0.07;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;42.886304
.*A[^AB]{0,400}[CG][EF]{43,43}G[^DF].*;./attacks-gadget/MSInternal-between_07_1.txt;TO;0.12;0.04;0.56;1.33;0.61;0.61;0.29;0.59;0.08;1.06;0.13;0.65;1.88;TO;0;1;1;1;1;1;0;1;0;0;1;1;1;43.4186
.*A[^AB]{0,800}C[D-G]{43,53}DFG[^D-H].*;./attacks-gadget/MSInternal-between_08_1.txt;TO;0.08;0.03;0.58;1.37;0.59;0.61;0.28;0.6;0.17;0.72;0.13;0.61;1.82;TO;0;1;1;1;1;1;0;1;0;0;1;1;1;43.12196
.*BA{0,50}(EC|EE)A{0,10}[DE]{86,86}FF.*;./attacks-gadget/MSInternal-between_09_1.txt;0.22;0.05;0.14;1.38;TO;2.02;0.1;0.29;1.43;0.13;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.2002
.*BA{0,50}(FD|FF)A{0,10}[E-G]{43,43}H[^CG].*;./attacks-gadget/MSInternal-between_10_1.txt;26.74;1.59;0.02;0.5;1.36;0.52;0.52;0.27;0.36;0.08;0.03;0.09;0.52;0.84;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200136
.*DOHILMPKGKV[^F]+(JKISVRTMQPGKVA*EA*B[CH-K]{48,}|UHNMJHTMQPGKVA*EA*B[CH-K]{48,})[^F]+F.*;./attacks-gadget/MSInternal-between_11_1.txt;0.17;0.08;0.13;1.46;TO;1.78;0.09;0.27;TO;0.23;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.200452
.*GDIIJFHE[AB]+[C-J]{52,52}([AB].*|B+.*);./attacks-gadget/MSInternal-between_12_1.txt;TO;0.19;0.13;1.39;TO;1.86;0.09;0.26;1.16;0.12;0.43;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.200132
.*IHEGFJDCA[BD-J]{60,60}A.*;./attacks-gadget/MSInternal-between_13_1.txt;TO;0.09;0.14;1.36;TO;1.84;0.08;0.27;1.12;0.14;0.31;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.200176
.*[AC]B{70,70}CC.*;./attacks-gadget/MSInternal-between_14_1.txt;0.18;0.03;0.14;1.34;TO;1.95;0.09;0.27;1.06;0.07;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.200128
