pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.{0,200}ssforevercool.com.{1,200};./attacks-gadget/TrustPort-between_00_1.txt;0.21;2.63;0.03;0.56;0.38;0.64;0.06;0.27;0.1;0.04;0.04;0.11;0.52;1.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;44.709672
"<!DOCTYPE HTML PUBLIC ""[^""]{10,60}"">\x20";./attacks-gadget/TrustPort-between_01_1.txt;0.19;0.17;0.16;1.34;2.38;1.88;0.12;0.28;0.92;0.07;0.1;0.2;1.05;1.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.108428
"<(tr)>\s{0,10}<(td)[^>]{0,120}><br/>\s{0,10}";./attacks-gadget/TrustPort-between_02_1.txt;0.05;0.05;0.15;1.43;3.92;2.28;0.12;0.29;1.17;0.08;0.02;0.26;1.85;1.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.101888
<.{0,10}[^aeiouy]{6}.{0,10}@;./attacks-gadget/TrustPort-between_03_1.txt;0.16;0.09;0.17;1.36;TO;6.03;0.12;0.24;140.16;10.4;0.01;37.48;56.67;50.46;0;0;0;0;TO;0;0;0;0;0;0;0;0;0;41.518836
"</table>\s{100,}";./attacks-gadget/TrustPort-between_04_1.txt;2.82;0.26;0.14;1.31;2.04;1.18;0.09;0.26;0.5;0.08;0.71;0.25;0.71;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
<[0-9a-f]{14}.[0-9a-f]{11}@web3.appco.cz>;./attacks-gadget/TrustPort-between_05_1.txt;0.18;0.18;0.14;1.28;3.08;2.02;0.02;0.28;0.61;0.11;0.32;0.54;1.71;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20008
<[A-Z0-9.]{1,35}@[a-z0-9.]{2,35};./attacks-gadget/TrustPort-between_06_1.txt;13.7;0.12;0.14;1.32;4.72;2.33;0.09;0.26;1.03;0.14;0.46;0.41;3.65;1.12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"<[a-z0-9._-]{1,25}@PayPal\.com>";./attacks-gadget/TrustPort-between_07_1.txt;0.02;0.04;0.12;1.32;3.75;1.74;0.02;0.28;0.86;0.11;0.02;0.35;1.35;1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200092
"<[a-z0-9._-]{1,25}@bankwest\.com\.au>";./attacks-gadget/TrustPort-between_08_1.txt;0.04;0.04;0.12;1.32;3.04;1.61;0.02;0.29;0.77;0.11;0.03;0.35;1.42;1.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200152
"<[a-z0-9._-]{1,25}@bc-mchz\.cz>";./attacks-gadget/TrustPort-between_09_1.txt;0.02;0.04;0.12;1.28;3.56;1.81;0.02;0.23;0.81;0.1;0.04;0.38;1.44;1.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200092
