pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"<figure[^>]+dir\s*=\s*[\x22\x27]\s*rtl\s*[\x22\x27].*(&#?x?[a-z\d]{2,4}\x3b){100}";./attacks-gadget/bech1-nested-between_00_1.txt;0.16;0.56;0.14;1.44;TO;1.66;9.86;0.3;TO;0.06;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.200104
"id=[a-f\d]{8}(-[a-f\d]{4}){3}-[a-f\d]{12}";./attacks-gadget/bech1-nested-between_01_1.txt;2.02;0.23;0.1;0.95;1.92;ERR;0.1;0.26;0.44;0.03;0.83;0.3;0.84;0.84;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.20004
"(,\d{1,3}){20}";./attacks-gadget/bech3-nested-between_01_1.txt;0.14;0.61;0.0;0.54;0.29;ERR;0.01;0.27;0.1;0.02;0.02;0.05;0.4;0.57;0;1;1;1;1;ERR;1;0;1;1;1;1;1;1;41.20002
([etDZhns8dz]{1,3}k){3}[etDZhns8dz]{1,3}f[etDZhns8dz]{16}A;./attacks-gadget/bech3-nested-between_02_1.txt;0.16;0.03;0.13;1.29;47.99;2.97;0.09;0.27;8.6;1.3;15.26;9.16;7.32;2.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"(\/[0-9a-z]{1,6}){1,5}\/[0-9a-z]{1,7}(\.zip|\.xml|\.htm|\.pdf)\/\?[0-9a-z]{1,3}=[0-9a-z\/+]*=?=?";./attacks-gadget/bech3-nested-between_03_1.txt;0.03;0.04;0.12;1.36;115.68;ERR;0.0;0.24;16.71;1.48;0.04;17.58;20.88;4.11;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;41.200012
".{18}[\x20\x20\x20\x20\x20\x20]\x20\x20\x20.+(\x2E{2}[\x5C\x2F]){2}";./attacks-gadget/bech3-nested-between_04_1.txt;0.17;0.4;0.16;1.41;TO;3.32;0.09;0.27;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;42.0
"<ref\s+href\s*=\s*\x22([^\x22]{2}|(\x25[0-9A-Z]{2}){1,2})\x3A\x2F[^\x22]{100}";./attacks-gadget/bech3-nested-between_06_1.txt;0.04;0.41;0.14;1.36;5.46;ERR;0.09;0.3;1.12;0.12;1.88;1.16;3.79;1.08;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;42.0
"HTTP\/1\.[01].*([^\r\n]){32}";./attacks-gadget/bech3-nested-between_07_1.txt;77.19;2.01;0.03;0.52;1.36;0.52;0.0;0.27;0.48;0.07;0.02;0.1;0.53;0.82;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;42.0
"HostList=([^\r\n\x3B]{,296}\x3B)*[^\r\n\x3B]{297}";./attacks-gadget/bech3-nested-between_08_1.txt;0.09;5.65;0.02;0.52;0.31;0.56;0.0;0.3;0.1;0.03;ERR;0.05;0.08;0.76;1;1;1;1;1;1;ERR;0;1;1;ERR;1;;1;42.0
"InformixServerList=([^\r\n\x3B]{,293}\x3B)*[^\r\n\x3B]{294}";./attacks-gadget/bech3-nested-between_09_1.txt;28.09;5.17;0.04;0.51;0.33;0.62;0.0;0.27;0.09;0.03;ERR;0.06;0.07;0.78;0;1;1;1;1;1;ERR;0;1;1;ERR;1;;1;42.0
"STOR\x20fp(_[A-F0-9]{8}){2}[A-F0-9]{8}_[A-F0-9]{4}(_[A-F0-9]{8}){2}\x2ebin\x20\x20";./attacks-gadget/bech3-nested-between_10_1.txt;0.05;0.09;0.14;1.29;2.46;ERR;0.09;0.25;0.84;0.08;0.52;0.59;1.13;1.1;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.200056
