pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^COPY[^s]{432};./attacks-gadget/bech3-between_9285_1.txt;0.1;0.04;0.01;0.46;0.31;0.49;0.02;0.24;0.07;0.0;0.02;0.06;0.47;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^DELETE[^s]{432};./attacks-gadget/bech3-between_9289_1.txt;0.09;0.04;0.01;0.49;0.3;0.48;0.01;0.25;0.07;0.02;0.02;0.05;0.41;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^GET[^s]{432};./attacks-gadget/bech3-between_9304_1.txt;0.1;0.05;0.03;0.5;0.29;0.52;0.01;0.26;0.08;0.02;0.01;0.04;0.46;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^HEAD[^s]{432};./attacks-gadget/bech3-between_9311_1.txt;0.12;0.03;0.04;0.47;0.26;0.49;0.01;0.23;0.08;0.02;0.03;0.05;0.5;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^LOCK[^s]{432};./attacks-gadget/bech3-between_9320_1.txt;0.11;0.05;0.03;0.45;0.27;0.5;0.01;0.26;0.08;0.02;0.03;0.04;0.44;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^MKCOL[^s]{432};./attacks-gadget/bech3-between_9328_1.txt;0.1;0.04;0.04;0.48;0.28;0.5;0.01;0.28;0.09;0.05;0.02;0.05;0.44;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^MOVE[^s]{432};./attacks-gadget/bech3-between_9329_1.txt;0.11;0.04;0.03;0.48;0.28;0.46;0.0;0.32;0.08;0.03;0.03;0.04;0.44;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^POST[^s]{432};./attacks-gadget/bech3-between_9337_1.txt;0.11;0.04;0.02;0.52;0.27;0.49;0.01;0.28;0.08;0.02;0.03;0.05;0.48;0.8;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^PUT[^s]{432};./attacks-gadget/bech3-between_9343_1.txt;0.11;0.04;0.02;0.47;0.28;0.52;0.02;0.24;0.08;0.02;0.02;0.06;0.47;0.74;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^TRACE[^s]{432};./attacks-gadget/bech3-between_9372_1.txt;0.1;0.04;0.03;0.49;0.28;0.51;0.0;0.28;0.08;0.03;0.03;0.05;0.42;0.73;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^([nN][aA][mM][eE]|[iI][dD]|[nN][uU][mM][bB][eE][rR]|[tT][oO][tT][aA][lL]|[bB][oO][uU][nN][dD][aA][rR][yY])=[\x20\x20\x20]*[^\r\n\x3b\s\x2c]{300}";./attacks-gadget/bro-between_00_1.txt;0.06;0.04;0.04;0.51;0.3;0.53;0.01;0.27;1.01;0.02;0.03;0.6;0.42;0.76;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* LOGIN [^\x20]{100}";./attacks-gadget/bro-between_01_1.txt;12.33;1.06;0.12;1.28;4.5;1.22;0.1;0.29;0.82;0.09;0.64;0.99;1.2;0.92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* LSUB [^\x20]{100}";./attacks-gadget/bro-between_02_1.txt;13.57;1.19;0.14;1.3;4.54;1.35;0.09;0.23;0.88;0.08;0.67;1.05;1.12;0.92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][eE] [^\x20]{100}";./attacks-gadget/bro-between_03_1.txt;6.97;0.66;0.15;1.26;5.73;1.17;0.1;0.29;0.8;0.09;0.64;1.2;1.2;0.92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [cC][hH][oO][wW][nN] [^\x20]{100}";./attacks-gadget/bro-between_04_1.txt;12.44;1.02;0.13;1.26;6.52;1.25;0.09;0.29;0.96;0.07;0.76;1.33;1.26;0.95;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [cC][pP][wW][dD] [^\x20]{100}";./attacks-gadget/bro-between_05_1.txt;10.05;1.1;0.15;1.26;5.58;1.3;0.1;0.28;0.95;0.09;0.86;1.38;1.32;0.95;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [lL][iI][sS][tT] [^\x20]{100}";./attacks-gadget/bro-between_06_1.txt;11.91;1.22;0.14;1.3;5.19;1.3;0.08;0.3;0.96;0.08;0.84;1.38;1.28;0.96;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [nN][eE][wW][eE][rR] [^\x20]{100}";./attacks-gadget/bro-between_07_1.txt;11.15;1.04;0.13;1.25;6.4;1.28;0.09;0.27;1.02;0.1;0.77;1.34;1.26;0.99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [zZ][iI][pP][cC][hH][kK] [^\x20]{100}";./attacks-gadget/bro-between_08_1.txt;9.64;0.91;0.14;1.3;5.96;1.2;0.09;0.29;0.94;0.08;0.72;1.34;1.22;0.94;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
