pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";./attacks-gadget/Assorted-between_00_1.txt;0.04;0.21;0.02;0.63;0.29;0.62;0.0;0.26;0.07;0.03;0.02;0.05;0.45;0.65;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;41.200032
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_06_1.txt;0.04;0.22;0.16;1.89;90.34;12.7;0.1;0.22;13.95;1.94;19.67;13.19;15.91;2.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/internetSources-between_06_1.txt;7.42;0.21;0.15;1.46;27.32;3.35;0.0;0.28;6.17;0.57;16.25;10.43;12.7;2.35;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200084
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";./attacks-gadget/Assorted-between_21_1.txt;0.04;0.86;0.19;1.77;60.32;4.18;0.09;0.25;4.32;0.86;26.96;16.06;11.62;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";./attacks-gadget/Assorted-between_24_1.txt;0.04;0.26;0.17;1.49;3.9;2.33;0.14;0.27;0.96;0.09;1.04;0.71;2.54;2.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.35484
"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})";./attacks-gadget/Assorted-between_26_1.txt;0.16;0.05;0.26;1.94;18.34;2.29;0.4;0.28;3.27;0.4;8.84;3.85;2.77;1.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10}";./attacks-gadget/Assorted-between_33_1.txt;0.06;0.12;0.36;1.91;22.11;3.25;0.09;0.26;3.93;0.33;9.16;4.89;3.62;1.52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(([a-zA-Z]{3}[0-9]{3})|(\w{2}-\w{2}-\w{2})|([0-9]{2}-[a-zA-Z]{3}-[0-9]{1})|([0-9]{1}-[a-zA-Z]{3}-[0-9]{2})|([a-zA-Z]{1}-[0-9]{3}-[a-zA-Z]{2}))";./attacks-gadget/internetSources-between_01_1.txt;7.4;0.12;0.11;3.69;35.3;4.74;0.1;0.47;7.73;1.04;10.24;7.38;6.21;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.749152
"(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5})";./attacks-gadget/internetSources-between_03_1.txt;0.04;2.67;0.2;1.54;23.92;42.72;0.32;0.44;3.51;0.45;9.67;5.57;4.64;1.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"(\d{6}[-\s]?\d{12})|(\d{4}[-\s]?\d{4}[-\s]?\d{4}[-\s]?\d{4})";./attacks-gadget/internetSources-between_11_1.txt;0.07;0.09;0.19;1.79;38.37;5.24;0.09;0.26;7.51;0.72;9.45;6.23;4.59;3.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200012
0{3,}|1{3,}|2{3,}|3{3,}|4{3,}|5{3,}|6{3,}|7{3,}|8{3,}|9{3,};./attacks-gadget/internetSources-between_12_1.txt;0.18;0.04;0.33;1.54;20.44;2.22;0.1;0.26;2.63;0.35;20.22;9.3;3.18;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"AD\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|AD\d{22}";./attacks-gadget/internetSources-between_13_1.txt;0.17;0.04;0.18;1.38;6.15;1.34;0.38;0.26;1.15;0.15;3.23;0.92;1.24;1.97;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"CH\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{1}|CH\d{19}";./attacks-gadget/internetSources-between_14_1.txt;0.16;0.05;0.24;1.58;6.72;1.57;0.41;0.27;1.12;0.18;3.75;1.12;1.45;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"CZ\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|CZ\d{22}";./attacks-gadget/internetSources-between_15_1.txt;0.16;0.05;0.24;1.53;6.1;1.51;0.08;0.28;1.14;0.19;4.25;1.09;1.54;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"DE\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{2}|DE\d{20}";./attacks-gadget/internetSources-between_16_1.txt;0.16;0.04;0.24;1.5;5.68;2.03;0.4;0.28;1.14;0.18;3.47;1.14;1.54;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"ES\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|ES\d{22}";./attacks-gadget/internetSources-between_17_1.txt;0.17;0.04;0.23;1.55;6.02;1.55;0.08;0.26;1.16;0.17;3.42;1.13;1.4;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"PL\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|PL\d{26}";./attacks-gadget/internetSources-between_19_1.txt;0.17;0.04;0.24;1.49;7.45;2.03;0.4;0.29;1.15;0.17;3.66;1.12;1.51;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"SE\d{2}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}|SE\d{22}";./attacks-gadget/internetSources-between_20_1.txt;0.16;0.05;0.23;1.55;5.9;2.09;0.4;0.29;1.14;0.18;3.54;1.1;1.53;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
