pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech2-above_01_1.txt;1.82;1.19;ERR;1.34;3.96;2.28;0.11;0.28;1.23;0.14;1.81;0.72;2.75;1.18;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/bech2-above_08_1.txt;1.8;0.09;ERR;1.39;11.26;2.18;0.11;0.29;2.31;0.26;5.4;1.82;1.9;1.22;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})";./attacks-gadget/bech2-above_09_1.txt;2.08;0.08;ERR;1.38;11.29;2.14;0.11;0.25;2.36;0.27;5.24;1.8;1.92;1.23;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37}";./attacks-gadget/bech3-above_01_1.txt;54.7;0.52;ERR;1.33;126.98;63.95;61.41;0.28;13.41;2.22;42.81;24.24;17.86;6.71;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;37.8
"NUMTO(DS|YM)INTERVAL\s*\(\s*\d+\s*,\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech3-above_10_1.txt;1.86;1.04;ERR;1.48;4.62;2.65;6.98;0.25;1.22;0.14;1.68;0.82;1.89;1.14;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/bech3-above_25_1.txt;1.75;0.45;ERR;1.32;9.12;1.56;6.56;0.3;1.22;0.17;3.85;1.54;1.73;1.08;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"\(\s*TIMESTAMP\s*(\s*(\x27[^\x27]+'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech3-above_28_1.txt;1.82;1.22;ERR;1.36;10.02;2.11;6.96;0.24;1.93;0.2;3.61;1.74;2.22;1.47;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\sCREATE\s[^\n]{1024}";./attacks-gadget/bech3-above_30_1.txt;0.91;7.11;ERR;0.82;0.28;0.52;0.04;0.24;0.06;0.04;0.02;0.04;0.48;0.72;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
"\sPARTIAL.*BODY\.PEEK\[[^\]]{1024}";./attacks-gadget/bech3-above_31_1.txt;0.04;1.79;ERR;0.72;1.34;0.57;68.4;0.31;0.4;0.08;0.03;0.09;0.53;0.84;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
"\sPARTIAL.*BODY\[[^\]]{1024}";./attacks-gadget/bech3-above_32_1.txt;0.03;2.03;ERR;0.75;1.32;0.54;0.22;0.26;0.38;0.1;0.02;0.08;0.57;0.79;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
