pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
""" {10000}""";./attacks-gadget/stackoverflow-above_00_1.txt;0.14;0.04;ERR;28.18;0.3;TO;0.04;0.88;0.1;0.04;0.01;0.06;1.02;0.76;1;1;ERR;1;1;TO;1;ERR;1;1;1;1;1;1;41.20412
"""([a-zA-Z0-9]{0,4000})""";./attacks-gadget/stackoverflow-above_01_1.txt;35.21;0.6;ERR;0.4;0.27;0.52;0.03;2.64;0.09;0.03;0.02;0.06;0.84;0.64;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;41.2103
"""[ACGT]{1,12000}(AAC)[AG]{2,5}[ACGT]{2,5}(CTGTGTA)"""", ""paste(""(CTAAA)[AC]{5,100}(TTTGGG)"", rule_1, ""(CTT)[AG]{10,5000}"", rule_2, sep=""""";./attacks-gadget/stackoverflow-above_03_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;3.3;0.08;0.02;ERR;0.02;0.08;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;"end pattern with unmatched parenthesis: /""[ACGT]{1,12000}(AAC)[AG]{2,5}[ACGT]{2,5}(CTGTGTA)"""", ""paste(""(CTAAA)[AC]{5,100}(TTTGGG)"", rule_1, ""(CTT)[AG]{10,5000}"", rule_2, sep=""""/###0";0;ERR;0;;ERR;41.259504
"'','','{12345678},{87654321}','lk12l1k2l12lkl12lkl121l2lk12'"", ""'(.*)',|'(.*)'";./attacks-gadget/stackoverflow-above_04_1.txt;ERR;ERR;ERR;0.47;1.34;0.54;0.04;0.31;0.07;0.04;ERR;0.09;0.53;0.86;ERR;ERR;ERR;1;1;1;ERR;ERR;"too big number for repeat range: /'','','{12345678},{87654321}','lk12l1k2l12lkl12lkl121l2lk12'"", ""'(.*)',|'(.*)'/###0";0;ERR;1;1;1;41.200008
"'[\s][A-Z,a-z,0-9]{0,1000}[\s]'";./attacks-gadget/stackoverflow-above_05_1.txt;0.9;0.09;0.01;0.58;0.63;0.91;0.01;0.3;0.15;0.04;0.02;0.06;0.68;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20098
"'[{1,2,3,4}, 3, 5,2,4, {1,2}, {1,2,3,4}, {1,33,3443}]'"", ""[{1,2,3,4}, 3, 5,2,4, {1,2}, {1,2,3,4}, {1,33,3443}, 1..10]"", ""expected = ['{1,2,3,4}', '3', '5', '2', '4', '{1,2}', '{1,2,3,4}', '{1,33,3443}', '1..10']";./attacks-gadget/stackoverflow-above_06_1.txt;0.03;0.32;0.02;0.52;0.26;0.48;0.0;0.24;0.07;0.02;0.03;0.06;0.4;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200084
(ABCHEHG)[HGE]{5,1230}(EEJOPK)[DM]{5};./attacks-gadget/stackoverflow-above_07_1.txt;TO;0.97;ERR;1.93;6.28;2.24;0.12;0.25;1.21;0.24;1.24;1.1;1.88;1.08;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"(ABCHEHG)[HGHE]{5,1230}(EEJOPK)[DM]{5}"", ""(ABCHEHG)[HGHE]{5,1230}(EEJOPK)[DM]{5}[ACF]{1,1000}(BBBA)[CU]{2,5}";./attacks-gadget/stackoverflow-above_08_1.txt;TO;0.83;ERR;3.01;8.33;2.62;0.21;0.29;1.54;0.28;1.36;1.45;2.37;1.23;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
".split()"", """"{{231111}}""";./attacks-gadget/stackoverflow-above_09_1.txt;ERR;ERR;ERR;TO;12.76;1.94;0.0;0.25;0.07;0.03;ERR;0.69;0.07;0.98;ERR;ERR;ERR;TO;0;0;ERR;ERR;"too big number for repeat range: /.split()"", """"{{231111}}""/###0";0;ERR;0;;0;41.51672
".{0,4980}(\<\/div\>|\<\/p\>|\<\/section\>|\<\/blockquote\>|\<\/br\>|\.\s)";./attacks-gadget/stackoverflow-above_10_1.txt;TO;0.04;ERR;1.61;TO;3.04;0.0;0.25;TO;TO;TO;TO;TO;TO;TO;0;ERR;0;TO;0;ERR;ERR;TO;TO;TO;TO;TO;TO;47.415992
