pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$";./attacks-gadget/internetSources-nested-between_22_1.txt;0.04;0.06;0.14;1.94;33.22;1.02;0.12;0.28;0.1;0.02;0.02;8.62;ERR;ERR;0;0;0;0;0;0;0;0;0;0;0;0;ERR;ERR;41.200008
"^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$";./attacks-gadget/internetSources-nested-between_35_1.txt;0.04;0.02;0.02;0.49;0.29;3.91;0.01;0.31;0.15;0.03;0.04;0.52;0.46;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.2014
"""([0-9A-Fa-f]{2}[ ]){0,31}([0-9A-Fa-f]{2})""";./attacks-gadget/stackoverflow-nested-between_01_1.txt;0.04;0.16;0.01;0.48;0.29;0.5;0.0;0.28;0.07;0.02;0.02;0.06;0.47;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200128
"""([a-f]{4}:){3}[a-f]{4}"""", ""?:"", """"[a-f]{4}:[a-f]{4}:[a-f]{4}:[a-f]{4}""";./attacks-gadget/stackoverflow-nested-between_02_1.txt;0.05;0.33;0.03;0.49;0.29;2.16;0.02;0.26;0.07;0.02;0.01;0.04;0.46;0.76;1;1;1;1;1;0;1;0;1;1;1;1;1;1;41.2002
"""([a-zA-Z]{3,30}\s*)+"""", """"[a-zA-Z]{3,30}"""", """".{3,30}""";./attacks-gadget/stackoverflow-nested-between_03_1.txt;0.05;0.48;0.04;0.55;0.29;0.56;0.01;0.24;0.08;0.03;0.03;0.06;0.45;0.82;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200136
"""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4}"""", ""(\d{1,2})?\s?\[\d{3}\]\s?\d{4}-?\d{4";./attacks-gadget/stackoverflow-nested-between_04_1.txt;0.06;0.04;0.13;1.44;8.48;2.36;0.0;0.26;1.15;0.12;ERR;1.39;0.06;1.14;0;0;0;0;0;0;ERR;0;0;0;ERR;0;;0;41.20008
""", "".*Error:.*"", "".*"", ""(.*Error:.*)"", "".";./attacks-gadget/stackoverflow-nested-between_06_1.txt;0.04;1.27;0.03;0.46;1.32;0.47;0.19;0.23;0.41;0.12;0.02;0.08;0.49;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.20004
""", ""\\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}(\w+)+"", """", ""\\\\d{1,3}.\d{1,3}.\d{1,3}.\d{1,3}(\\w+)+"", ""(\w+)";./attacks-gadget/stackoverflow-nested-between_07_1.txt;0.04;0.03;0.07;1.39;0.54;1.69;0.05;0.29;0.13;0.04;0.02;0.14;0.72;1.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.659888
""".*(header_\d{10,11}_).*(_.*_\d{8})[^.]*(\.\w{3,4})?""";./attacks-gadget/stackoverflow-nested-between_09_1.txt;0.04;0.04;0.02;1.19;8.13;1.06;0.19;0.31;1.5;0.07;1.9;1.36;1.63;0.92;0;1;1;1;1;1;1;0;1;0;1;1;1;1;41.51576
"'Bearer\s[\d|a-f]{8}-[\d|a-f]{4}-[\d|a-f]{4}-[\d|a-f]{4}-[\d|a-f]{12}'"", ""'Bearer\s[\d|a-f]{8}-([\d|a-f]{4}-){3}[\d|a-f]{12}'";./attacks-gadget/stackoverflow-nested-between_11_1.txt;0.04;0.03;0.06;0.68;0.34;1.02;0.04;0.3;0.1;0.03;0.02;0.09;0.54;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200056
