pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^(((((((00|\+)49[ \-/]?)|0)[1-9][0-9]{1,4})[ \-/]?)|((((00|\+)49\()|\(0)[1-9][0-9]{1,4}\)[ \-/]?))[0-9]{1,7}([ \-/]?[0-9]{1,5})?)$";./attacks-gadget/internetSources-nested-between_13_1.txt;ERR;0.03;0.01;0.53;0.28;0.54;0.0;0.29;0.53;0.02;0.02;0.58;0.47;0.7;ERR;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^(([A-Za-z0-9]+_+)|([A-Za-z0-9]+\-+)|([A-Za-z0-9]+\.+)|([A-Za-z0-9]+\++))*[A-Za-z0-9]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6}$";./attacks-gadget/internetSources-nested-between_22_1.txt;0.03;0.06;0.14;1.86;30.24;0.98;0.13;0.27;0.1;0.02;0.02;8.92;ERR;ERR;0;0;0;0;0;0;0;0;0;0;0;0;ERR;ERR;41.200008
"^([a-zA-Z0-9]([a-zA-Z0-9\-]{0,61}[a-zA-Z0-9])?\.)+[a-zA-Z]{2,6}$";./attacks-gadget/internetSources-nested-between_35_1.txt;0.04;0.04;0.01;0.47;0.28;4.02;0.0;0.28;0.15;0.02;0.02;0.55;0.41;0.77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.2014
"^[0-9a-zA-Z]([0-9a-zA-Z\-]{0,61}[0-9a-zA-Z])?$";./attacks-gadget/missing_9741_1.txt;1.6;0.03;0.02;0.52;0.28;0.51;0.0;0.23;0.18;0.03;0.02;0.61;0.48;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.000156
^[0-9a-z]([0-9a-z-]{0,61}[0-9a-z])?$;./attacks-gadget/missing_9742_1.txt;1.59;0.04;0.02;0.48;0.3;0.53;0.01;0.26;0.16;0.03;0.02;0.61;0.43;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.000156
"^[^.]{1,63}(\.[^.]{1,63})*$";./attacks-gadget/missing_9743_1.txt;6.31;0.04;0.02;0.5;0.28;0.47;0.01;0.31;1.19;0.01;0.03;0.58;0.44;0.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^[^\.]{1,63}(\.[^\.]{1,63})*$";./attacks-gadget/missing_9744_1.txt;6.2;0.04;0.04;0.48;0.27;0.48;0.01;0.25;1.18;0.02;0.02;0.56;0.48;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.999998
"^[^\.]{1,63}(\.[^\.]{1,63})*\.?$";./attacks-gadget/missing_9745_1.txt;6.49;0.03;0.04;0.5;0.32;0.48;0.01;0.26;1.24;0.02;0.03;0.62;0.48;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.000204
^[a-zA-Z0-9]([-._a-zA-Z0-9]{0,48}[a-zA-Z0-9])?$;./attacks-gadget/missing_9746_1.txt;1.61;0.04;0.03;0.47;0.33;0.56;0.01;0.28;0.17;0.04;0.02;0.61;0.52;0.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.000036
^[a-zA-Z0-9]?([a-zA-Z0-9_.-]{0,61}[a-zA-Z0-9])?$;./attacks-gadget/missing_9747_1.txt;6.89;0.04;0.04;0.5;0.26;0.53;0.0;0.26;1.23;0.03;0.02;0.62;0.5;0.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.000156
