pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
(.{1000,}[^>]*>)<;./attacks-gadget/uniq-above_00_1.txt;0.05;0.09;0.23;4.0;TO;2.87;TO;0.27;0.14;0.26;0.03;TO;TO;ERR;0;0;0;0;TO;0;TO;0;0;0;0;TO;TO;ERR;41.36672
(<blockquote>\n){50000};./attacks-gadget/uniq-above_01_1.txt;ERR;ERR;ERR;1.39;1.58;1.79;0.03;0.28;0.12;0.02;ERR;2.42;0.8;1.08;ERR;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;0;0;42.0
([0-9]{1,9999})\:([0-9]{1,9999});./attacks-gadget/uniq-above_02_1.txt;TO;5.37;ERR;0.48;0.3;0.55;0.0;0.29;0.09;0.04;0.03;0.05;0.45;0.82;TO;1;ERR;1;1;1;ERR;ERR;1;1;1;1;1;1;42.0
(\[ a_){50000};./attacks-gadget/uniq-above_03_1.txt;ERR;ERR;ERR;TO;0.25;0.46;0.02;0.27;0.06;0.03;ERR;0.06;0.47;0.75;ERR;ERR;ERR;TO;1;1;ERR;ERR;1;0;ERR;1;1;1;42.0
(_a ){64999}_a;./attacks-gadget/uniq-above_04_1.txt;ERR;ERR;ERR;TO;0.3;0.49;0.03;0.27;0.09;0.02;ERR;0.06;0.46;0.81;ERR;ERR;ERR;TO;1;0;ERR;ERR;1;0;ERR;1;1;1;41.28
(a[_] ){64999}a_;./attacks-gadget/uniq-above_05_1.txt;ERR;ERR;ERR;TO;0.32;0.49;0.02;0.31;0.1;0.03;ERR;0.06;0.48;0.77;ERR;ERR;ERR;TO;1;0;ERR;ERR;1;0;ERR;1;1;1;41.28
<image[\s\w-_=""]*xlink:href=""data:image\/[^""]{0,5120}""[^>]*>;./attacks-gadget/uniq-above_17_1.txt;ERR;7.54;ERR;3.48;TO;2.51;0.0;0.3;0.27;0.04;ERR;0.02;TO;113.63;ERR;0;ERR;0;TO;0;ERR;ERR;"unmatched range specifier in char-class: /<image[\s\w-_=""]*xlink:href=""data:image\/[^""]{0.5120}""[^>]*>/###0";0;ERR;0;TO;0;48.317634
M{5000};./attacks-gadget/uniq-above_18_1.txt;0.58;23.84;ERR;TO;0.34;0.51;0.48;0.28;0.06;0.04;0.01;0.05;0.48;0.76;1;1;ERR;TO;1;1;1;ERR;1;1;1;1;1;1;42.0
VeryLongRegExp!{1,1000}$;./attacks-gadget/uniq-above_19_1.txt;0.93;0.08;0.12;1.31;1.38;0.99;0.01;0.28;0.1;0.06;0.02;0.16;0.61;0.78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
[[ ]\S]{1,8192};./attacks-gadget/uniq-above_21_1.txt;TO;0.76;ERR;1.44;16.18;2.22;0.02;0.3;0.09;0.03;0.02;2.12;0.51;0.93;TO;0;ERR;0;0;0;ERR;ERR;1;0;0;0;1;0;42.0
\:\-{2056,};./attacks-gadget/uniq-above_22_1.txt;0.16;0.06;ERR;1.34;9.88;2.02;0.0;0.26;0.07;0.03;0.02;1.06;0.73;1.04;0;0;ERR;0;0;0;ERR;ERR;0;0;0;0;0;0;42.0
