pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";./attacks-gadget/Assorted-between_00_1.txt;0.04;0.22;0.03;0.66;0.27;0.72;0.0;0.28;0.08;0.02;0.02;0.06;0.47;0.77;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;41.200032
"(((((00|\+)49[ \-/]{0,1})|0)[1-9][0-9]{1,4}[ \-/]{0,1}|(((00|\+)49\()|\(0)[1-9][0-9]{1,4}\))[0-9]{1,7}[ \-/]{0,1}[0-9]{1,5})";./attacks-gadget/Assorted-between_01_1.txt;ERR;0.21;0.15;1.35;38.7;0.83;0.09;0.28;4.45;0.7;13.5;7.9;10.46;1.06;ERR;0;0;0;0;1;0;0;0;0;0;0;0;0;41.200044
"((((0031)|(\+31))(\-)?6(\-)?[0-9]{8})|(06(\-)?[0-9]{8})|(((0031)|(\+31))(\-)?[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6})))|([0]{1}[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6}))))";./attacks-gadget/Assorted-between_02_1.txt;0.17;0.88;0.21;1.43;46.47;2.11;0.28;0.28;7.21;1.1;19.48;12.68;8.78;1.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((4(\d{12}|\d{15}))|(5\d{15})|(6011\d{12})|(3(4|7)\d{13}))";./attacks-gadget/Assorted-between_03_1.txt;0.17;0.92;0.19;1.53;24.0;2.72;0.26;0.29;3.54;0.44;9.04;4.72;4.62;1.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(([0-9]{3})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))|([0-9]{9})|([\+]?([0-9]{3})[ \-\/]?([0-9]{2})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))";./attacks-gadget/Assorted-between_04_1.txt;0.16;0.1;0.28;1.45;27.83;2.77;0.0;0.28;4.9;0.52;12.98;7.18;4.66;1.28;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.0
"((\+){1}[1-9]{1}[0-9]{0,1}[0-9]{0,1}(\s){1}[\(]{1}[1-9]{1}[0-9]{1,5}[\)]{1}[\s]{1})[1-9]{1}[0-9]{4,9}";./attacks-gadget/Assorted-between_05_1.txt;0.17;0.12;0.2;1.46;5.96;1.58;0.18;0.26;0.75;0.1;2.0;3.72;4.89;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_06_1.txt;0.05;0.22;0.15;1.74;87.02;12.8;0.1;0.32;13.26;1.82;21.17;13.21;16.05;2.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(02\d\s?\d{4}\s?\d{4})|((01|05)\d{2}\s?\d{3}\s?\d{4})|((01|05)\d{3}\s?\d{5,6})|((01|05)\d{4}\s?\d{4,5})";./attacks-gadget/Assorted-between_07_1.txt;0.05;2.8;0.02;0.64;0.32;74.26;0.02;0.61;0.1;0.05;0.03;0.06;0.61;0.75;0;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200008
"(0|(\+)?([1-9]{1}[0-9]{0,3})|([1-5]{1}[0-9]{1,4}|[6]{1}([0-4]{1}[0-9]{3}|[5]{1}([0-4]{1}[0-9]{2}|[5]{1}([0-2]{1}[0-9]{1}|[3]{1}[0-5]{1})))))";./attacks-gadget/Assorted-between_08_1.txt;0.16;0.04;0.34;1.48;23.72;1.12;0.29;0.32;0.14;0.42;14.38;9.04;7.2;1.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"(0|[-]{1}([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-8]{1})))))|(\+)?([1-9]{1}[0-9]{0,3}|[1-2]{1}[0-9]{1,4}|[3]{1}([0-1]{1}[0-9]{3}|[2]{1}([0-6]{1}[0-9]{2}|[7]{1}([0-5]{1}[0-9]{1}|([6]{1}[0-7]{1}))))))";./attacks-gadget/Assorted-between_10_1.txt;0.15;0.04;0.29;1.3;28.62;1.14;0.16;1.85;2.97;0.44;12.98;7.06;6.78;2.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"(5[1-5]\d{2})\d{12}|(4\d{3})(\d{12}|\d{9})";./attacks-gadget/Assorted-between_13_1.txt;0.17;4.15;0.17;1.53;42.17;5.94;0.16;0.24;6.58;0.78;9.67;5.58;7.4;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
([A-Z]{2}[9]{3}|[A-Z]{3}[9]{2}|[A-Z]{4}[9]{1}|[A-Z]{5})[0-9]{6}([A-Z]{1}[9]{1}|[A-Z]{2})[A-Z0,9]{3};./attacks-gadget/Assorted-between_14_1.txt;10.96;0.19;0.18;1.39;26.46;5.13;0.09;0.3;5.23;0.52;13.59;7.53;7.28;2.98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20004
