pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1-5]{1}){1}([0-9]{1}){1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([0-9]{1}){1}|(([1]{1}){1}([0-9]{1}){1}){1}|([2]{1}){1}([0-3]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))) ((([\*]{1}){1})|((\*\/){0,1}(([1-9]{1}){1}|(([1-2]{1}){1}([0-9]{1}){1}){1}|([3]{1}){1}([0-1]{1}){1}))|(jan|feb|mar|apr|may|jun|jul|aug|sep|okt|nov|dec)) ((([\*]{1}){1})|((\*\/){0,1}(([0-7]{1}){1}))|(sun|mon|tue|wed|thu|fri|sat)))";./attacks-gadget/Assorted-nested-between_01_1.txt;0.02;0.2;0.02;0.47;0.2;0.55;0.0;0.23;0.08;0.01;0.03;0.02;0.52;0.72;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;41.200032
"((([\+][\s]{0,1})|([0]{2}[\s-]{0,1}))([358]{3})([\s-]{0,1})|([0]{1}))(([1-9]{1}[0-9]{0,1})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1})([0-9]{2,4})([\s-]{0,1}))([0-9]{0,3}){1}";./attacks-gadget/Assorted-nested-between_02_1.txt;0.12;0.14;0.26;1.31;32.3;2.26;0.14;1.11;2.45;0.56;14.9;6.92;8.12;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200016
"(((\(\d{3}\)|\d{3})( |-|\.))|(\(\d{3}\)|\d{3}))?\d{3}( |-|\.)?\d{4}(( |-|\.)?([Ee]xt|[Xx])[.]?( |-|\.)?\d{4})?";./attacks-gadget/Assorted-nested-between_03_1.txt;0.09;0.1;0.12;1.7;51.94;5.92;0.09;0.28;10.61;1.01;21.05;15.25;9.48;1.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200016
"(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1}";./attacks-gadget/Assorted-nested-between_04_1.txt;0.04;0.06;0.14;1.76;30.61;1.64;0.09;0.24;0.1;0.64;0.03;3.96;6.7;0.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.85834
"(([0]{0,1})([1-9]{1})([0-9]{2})){1}([\ ]{0,1})((([0-9]{3})([\ ]{0,1})([0-9]{3}))|(([0-9]{2})([\ ]{0,1})([0-9]{2})([\ ]{0,1})([0-9]{2})))";./attacks-gadget/Assorted-nested-between_05_1.txt;0.03;1.2;0.03;0.48;0.28;1.06;0.0;0.28;0.09;0.03;0.02;0.05;0.42;0.76;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;42.0
"((\(44\))( )?|(\(\+44\))( )?|(\+44)( )?|(44)( )?)?((0)|(\(0\)))?( )?(((1[0-9]{3})|(7[1-57-9][0-9]{2}))( )?([0-9]{3}[ -]?[0-9]{3})|(2[0-9]{2}( )?[0-9]{3}[ -]?[0-9]{4}))";./attacks-gadget/Assorted-nested-between_06_1.txt;0.03;2.0;0.02;0.55;0.49;39.48;0.0;0.3;0.12;0.04;0.1;0.1;0.52;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.265544
"((\(\d{3}\) ?)|(\d{3}-)|(\(\d{2}\) ?)|(\d{2}-)|(\(\d{1}\) ?)|(\d{1}-))?\d{3}-(\d{3}|\d{4})";./attacks-gadget/Assorted-nested-between_07_1.txt;0.07;0.08;0.12;1.72;68.02;4.66;0.08;0.32;10.96;1.1;23.12;15.87;9.72;2.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200012
"((\d{2,4})/)?((\d{6,8})|(\d{2})-(\d{2})-(\d{2,4})|(\d{3,4})-(\d{3,4}))";./attacks-gadget/Assorted-nested-between_08_1.txt;0.07;1.44;0.02;0.91;0.32;0.87;0.01;0.26;0.07;0.02;0.02;0.05;0.45;0.8;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*";./attacks-gadget/Assorted-nested-between_09_1.txt;ERR;0.1;0.24;2.06;20.54;ERR;0.0;0.31;0.08;0.03;ERR;0.02;5.36;1.4;ERR;0;0;0;0;ERR;ERR;0;"unmatched range specifier in char-class: /([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*/###0";0;ERR;0;0;0;41.200044
"(\+\d{2}[ \-]{0,1}){0,1}(((\({0,1}[ \-]{0,1})0{0,1}\){0,1}[2|3|7|8]{1}\){0,1}[ \-]*(\d{4}[ \-]{0,1}\d{4}))|(1[ \-]{0,1}(300|800|900|902)[ \-]{0,1}((\d{6})|(\d{3}[ \-]{0,1}\d{3})))|(13[ \-]{0,1}([\d \-]{5})|((\({0,1}[ \-]{0,1})0{0,1}\){0,1}4{1}[\d \-]{8,10})))";./attacks-gadget/Assorted-nested-between_11_1.txt;0.16;0.27;0.13;1.56;100.22;107.14;0.08;0.26;8.5;1.7;44.64;26.27;25.26;2.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(\s+|)((\(\d{3}\) +)|(\d{3}-)|(\d{3} +))?\d{3}(-| +)\d{4}( +x\d{1,4})?(\s+|)";./attacks-gadget/Assorted-nested-between_13_1.txt;0.02;0.11;0.13;1.75;83.93;4.2;0.0;0.27;10.75;1.43;25.92;17.6;11.11;1.9;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.20004
