pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
.*A.*(JSNRBHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^CD][^CE]{7,128}C.*;./attacks-gadget/MSInternal-between_00_1.txt;0.03;1.14;0.14;1.42;TO;0.97;0.08;0.29;TO;0.1;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.20004
.*A.*(JSNRCHG|JSNRHM|TOM).*([^K-U]QUM|IKSSUPRM)F[^DE][^A-D]{7,128}D.*;./attacks-gadget/MSInternal-between_01_1.txt;0.04;1.08;0.14;1.41;TO;0.94;0.09;0.26;TO;0.1;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.20004
.*A.*B[C-F]{43,53}CEF[^C-F].*;./attacks-gadget/MSInternal-between_02_1.txt;3.08;1.29;0.03;0.51;1.18;0.43;0.27;0.86;0.34;0.09;0.02;0.1;0.59;0.85;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200184
.*A.*[BD]C{43,43}D[^E].*;./attacks-gadget/MSInternal-between_03_1.txt;3.94;1.6;0.01;0.52;1.31;0.49;0.52;0.34;0.36;0.09;0.02;0.1;0.55;0.83;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200176
.*A.*[BD]C{86,86}DD.*;./attacks-gadget/MSInternal-between_04_1.txt;0.21;0.03;0.14;1.41;TO;1.94;0.1;0.32;TO;0.08;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;41.200236
.*ADCC[B-D]{200,200}.*;./attacks-gadget/MSInternal-between_05_1.txt;TO;0.41;0.14;1.43;TO;1.63;0.09;1.88;0.71;0.17;0.4;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;42.0
.*A[^AB]{0,400}[CE]D{86,86}EE.*;./attacks-gadget/MSInternal-between_06_1.txt;0.09;0.05;0.18;1.42;TO;2.17;0.16;0.3;1.96;0.08;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;42.886304
.*A[^AB]{0,400}[CG][EF]{43,43}G[^DF].*;./attacks-gadget/MSInternal-between_07_1.txt;TO;0.12;0.03;0.53;1.35;0.58;0.6;0.28;0.62;0.1;1.05;0.13;0.67;1.83;TO;0;1;1;1;1;1;0;1;0;0;1;1;1;43.4186
.*A[^AB]{0,800}C[D-G]{43,53}DFG[^D-H].*;./attacks-gadget/MSInternal-between_08_1.txt;TO;0.08;0.05;0.62;1.27;0.72;0.6;0.32;0.59;0.16;0.68;0.14;0.68;1.88;TO;0;1;1;1;1;1;0;1;0;0;1;1;1;43.12196
.*BA{0,50}(EC|EE)A{0,10}[DE]{86,86}FF.*;./attacks-gadget/MSInternal-between_09_1.txt;0.21;0.03;0.15;1.38;TO;2.08;0.1;0.3;1.41;0.16;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.2002
.*BA{0,50}(FD|FF)A{0,10}[E-G]{43,43}H[^CG].*;./attacks-gadget/MSInternal-between_10_1.txt;22.62;1.6;0.03;0.56;1.36;0.5;0.51;0.28;0.36;0.06;0.02;0.08;0.55;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200136
.*DOHILMPKGKV[^F]+(JKISVRTMQPGKVA*EA*B[CH-K]{48,}|UHNMJHTMQPGKVA*EA*B[CH-K]{48,})[^F]+F.*;./attacks-gadget/MSInternal-between_11_1.txt;0.17;0.07;0.14;1.48;TO;1.78;0.09;0.26;TO;0.23;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.200452
.*GDIIJFHE[AB]+[C-J]{52,52}([AB].*|B+.*);./attacks-gadget/MSInternal-between_12_1.txt;TO;0.2;0.14;1.38;TO;1.9;0.1;0.4;1.12;0.1;0.37;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.200132
.*IHEGFJDCA[BD-J]{60,60}A.*;./attacks-gadget/MSInternal-between_13_1.txt;TO;0.09;0.14;1.34;TO;1.77;0.1;0.26;1.14;0.15;0.33;TO;TO;TO;TO;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.200176
.*[AC]B{70,70}CC.*;./attacks-gadget/MSInternal-between_14_1.txt;0.17;0.04;0.13;1.35;TO;1.88;0.09;0.24;1.02;0.05;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.200128
