pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"\x20.{0,30}\<credit note.{0,30}\<is attached.{0,30}\<open.{0,30}\<Adobe Reader. If you do not have an Adobe Reader.{0,40}\<download\sit: http://get.adobe.com/reader/\x20{2}";./attacks-gadget/missing-20-08_9025_1.txt;0.04;0.04;ERR;1.45;110.0;42.96;0.0;0.32;38.8;1.49;0.03;3.98;5.76;9.53;0;0;ERR;0;0;0;ERR;0;0;0;0;0;0;0;44.021208
"\x20<BODY>.{5,80}<br>.{5,80} <a href=""mailto:[a-z0-9._-]{1,30}@[-.a-z0-9]{1,40}\.[a-z]{2,4}"">.{2,50}</a>.{0,20}<br>.{5,80}<br>.{5,80}</BODY>";./attacks-gadget/missing-20-08_9027_1.txt;0.1;0.07;0.04;0.64;0.35;TO;0.06;0.27;0.22;0.04;0.03;0.13;0.63;2.14;0;0;1;1;1;TO;1;0;1;0;0;1;0;1;44.0019
"\x20<BODY><style>.{250,}<\/style>.{0,2}<center>.{0,2}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}""><img .{50,100}><\/a><br>.{0,2}<style>.{150,}<\/style><\/BODY>";./attacks-gadget/missing-20-08_9028_1.txt;0.05;0.09;0.18;1.31;TO;TO;0.0;0.28;TO;TO;0.04;TO;0.64;ERR;0;0;0;0;TO;TO;ERR;0;TO;TO;0;TO;0;ERR;44.000124
"\x20<BODY[^>]{0,20}>[\x20\x20]{1,2}<DIV.{5,60}<A[ \x20\x20]{1,2}href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}"">[^<]{5,40}<\/A>.{5,40}<DIV.{5,100}<DIV.{1,25}<A href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\/""><IMG .{50,150}<\/A><\/DIV><\/BODY>";./attacks-gadget/missing-20-08_9031_1.txt;0.06;0.06;0.15;1.22;1.94;TO;0.0;3.13;0.68;0.07;0.04;0.3;2.36;2.13;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;44.000048
"\x20<BODY[^>]{0,25}>.{0,6}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\x20?"">.{5,80}<br><br>.{0,6}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\x20?"">.{5,180}<br><br>.{0,10}.{5,180}<br>.{5,180}<\/BODY>";./attacks-gadget/missing-20-08_9032_1.txt;0.2;0.12;0.21;1.4;37.23;TO;0.0;0.26;17.36;0.03;0.05;1.56;1.41;5.15;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;44.000992
"\x20<\/HEAD><BODY[^>]{0,20}>[\x20\x20]{1,2}<p>.{250,}<\/p>[\x20\x20]{1,2}<p>.{200,}<br \/>[\x20\x20]{1,2}<br \/>.{20,150}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\/"">.{50,180}<\/a>.{2,30}<\/p>[\x20\x20]{1,2}<\/BODY>";./attacks-gadget/missing-20-08_9033_1.txt;0.1;0.36;0.13;1.27;2.16;TO;0.0;0.28;0.9;0.07;0.03;0.24;1.13;2.11;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;44.0001
"\x20<body>.{0,2}<style>.{2,120}<center>.{0,2}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}""><img [^>]{5,50}><\/a><br>.{0,2}<style>.{2,120}<\/center>.{0,2}<\/body>";./attacks-gadget/missing-20-08_9034_1.txt;0.1;0.1;0.16;1.42;3.16;TO;0.0;0.3;1.12;0.06;0.04;0.35;0.96;2.1;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;44.00016
"\x20<body>.{2,20} [a-z0-9._-]{1,30}@[-.a-z0-9]{1,40}\.[a-z]{2,4} {0,5}<br>.{2,30}<style>[^<]{2,100}<\/style>.{2,20}<br>.{3,20}<br>.{3,60}<\/style>.{0,2}<\/body>";./attacks-gadget/missing-20-08_9035_1.txt;0.05;0.18;0.16;1.28;3.74;ERR;0.0;0.28;1.26;0.12;0.04;0.54;2.08;2.22;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;44.00004
"\x20<body>[\x20\x20]{1,2}<table.{20,80}<tr>.{0,10}<td>.{20,150}<br \/>.{20,100}<br \/>.{0,15}<a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}\/[^>]{1,40}"">.{1,60}<\/a><br \/>.{20,100}<br \/>.{100,}<\/td>[\x20\x20 ]{1,5}<\/tr>[\x20\x20]{1,2}<\/table>[\x20\x20]{1,2}<\/body>";./attacks-gadget/missing-20-08_9036_1.txt;0.08;0.11;0.13;1.42;2.69;TO;0.0;0.26;0.55;0.07;0.03;0.41;1.04;0.84;0;0;0;0;0;TO;ERR;0;0;0;0;0;0;0;44.0
"<body><table[^>]{0,80}><tr.{50,100}<\/tr><tr.{50,100}<\/tr><tr.{5,30}<hr[^>]{0,20}><a href=""http:\/\/[-.a-z0-9]{1,40}\.[a-z]{2,4}"">.{3,40}<\/a><hr[^>]{0,20}>.{0,10}<\/tr><tr.{50,100}<\/tr><\/table><\/body>";./attacks-gadget/missing-20-08_9023_1.txt;0.1;0.08;0.03;0.62;0.39;TO;0.0;0.24;0.17;0.06;0.04;0.14;1.26;2.05;1;0;1;1;1;TO;ERR;0;1;0;0;1;0;1;44.000928
