pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"<(Members just like YOU are earning up to \d{1,8}(\,\d{1,5})? USD a DAY using this same software\.|Our members are making around \$\d{1,8}(\,\d{1,5})? per day without effort|\$\d{1,8}(\,\d{1,5}(\.\d{1,5})?)? per month all in the same sentence)";./attacks-gadget/TrustPort-nested-between_00_1.txt;0.06;0.04;0.05;0.99;2.6;ERR;0.0;0.27;0.37;0.05;0.6;0.44;0.99;0.84;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;41.200012
"<div id=""[^""]{1,50}"">\s*(<span id=""[^""]{1,50}"">\s*){1,3}";./attacks-gadget/TrustPort-nested-between_01_1.txt;49.8;0.38;0.14;1.44;3.0;2.11;0.14;0.28;2.45;0.04;0.3;0.28;2.67;2.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.945472
"[^\x20]{5,180}\x20\x20http://[-.a-z0-9]{1,40}\.[a-z]{2,4}/\?\d{2,10}\x20(\x20[^\x20]{2,180}\x20){3,20}";./attacks-gadget/TrustPort-nested-between_02_1.txt;0.18;0.6;ERR;1.38;24.86;2.36;16.74;0.3;10.2;0.71;4.46;2.16;8.02;4.34;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;38.641704
"\$\d{1,6}(,|\.\d{1,6})?\s*Penalty(\s*-\s*ID:\d{1,10})?\>";./attacks-gadget/TrustPort-nested-between_03_1.txt;0.08;0.37;0.14;1.4;11.86;1.88;0.0;0.27;1.37;0.1;2.51;1.73;3.97;1.21;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.20008
"\<invoice copy attached|find attached (\S{1,20} )?invoice|find your latest invoice attached";./attacks-gadget/TrustPort-nested-between_04_1.txt;0.19;0.19;0.27;1.13;3.86;1.29;0.0;0.3;0.88;0.08;0.85;0.87;2.51;2.04;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;45.99072
"\x20<BODY><b>[^<]{1,20}!</b><br><br>\x20([^<]{1,180}<br>\x20){2}<br>\x20<b>[^<]{1,150}</b><br>\x20(\d. [^<]{1,30}<br>\x20){2}\d. [^<]{1,30}<br><br>\x20[^<]{1,150}<a href=[^<]{1,80}.[a-zA-Z]{2,3}";./attacks-gadget/TrustPort-nested-between_05_1.txt;0.06;0.1;0.2;1.35;2.52;1.98;0.2;0.28;7.3;0.02;0.06;0.26;1.65;2.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.311409
"^(.*)?to invest \$\d{1,5}(\.\d{1,5})? (M|m)illion to \$\d{1,5}(\.\d{1,5})? (M|m)illion(.*)?$";./attacks-gadget/TrustPort-nested-between_06_1.txt;0.18;0.7;0.13;1.37;13.88;1.46;0.09;0.3;2.6;0.06;3.48;2.74;2.3;1.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20008
"^[^\x20]{10,100}\x20\x20http://worldpay\.googlegroups\.com/web/Worldpay[^\x20]{2,220}\x20\x20([^\x20]{2,120}\x20){2,8}\x20([^\x20]{2,120}\x20){2,8}\x20\x20$";./attacks-gadget/TrustPort-nested-between_07_1.txt;0.08;0.16;ERR;0.69;0.48;0.68;0.15;0.28;0.38;0.02;0.03;0.71;0.62;2.12;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;48.20414
"^[^\x20]{180,}\x20--\x20[^\x20]{2,30}\x20([^\x20]{0,30}\<avast[^\x20]{0,60}\x20)?$";./attacks-gadget/TrustPort-nested-between_08_1.txt;0.04;0.04;0.02;0.55;0.34;0.63;0.0;0.3;1.36;0.04;0.02;0.61;0.69;1.72;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.924672
"^\x20DNES (\S{1,15} ){1,3}\/ V.{1,2}ECHNY (\S{1,15} ){1,3}\/ (\S{1,15} ){0,2}NOV\S( \S{1,15}){0,3}\s*\x20[^\x20]{10,120}\x20";./attacks-gadget/TrustPort-nested-between_09_1.txt;0.05;0.06;0.02;0.63;0.41;ERR;0.0;0.24;0.22;0.03;0.02;0.68;0.59;1.94;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;47.380092
"^application\/zip name=""(CONTRACT|INVOICE)_\d{1,20}_[-\.a-z0-9]{1,20}(_[a-z0-9]{1,15})?\.zip""";./attacks-gadget/TrustPort-nested-between_10_1.txt;0.06;0.03;0.01;0.64;0.32;0.68;0.0;0.29;0.11;0.03;0.02;0.6;0.44;0.76;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200208
"^application\/zip name=""([a-z0-9]{2,5}\.)?INVOICE_\d{2,25}_[\w\-\.]{1,35}\.zip""";./attacks-gadget/TrustPort-nested-between_11_1.txt;0.17;0.04;0.03;1.23;0.28;1.13;0.0;0.28;0.1;0.04;0.01;0.54;0.46;0.82;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200224
