pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
" ]{1,75}\s*\)\s*document\.execCommand\(\s*[\x22\x27]Undo[\x22\x27]\s*\)\s*\x3B";./attacks-gadget/bech1-between_00_1.txt;0.18;0.47;0.15;1.33;3.85;1.3;0.09;0.31;0.4;0.08;0.6;0.68;1.09;0.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200128
"&itwm=([a-z0-9\-\=]{1,50})";./attacks-gadget/bech1-between_01_1.txt;2.65;0.26;0.15;1.36;2.53;1.37;0.0;0.27;0.67;0.11;1.0;0.36;0.86;0.85;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;42.0
(__proto__|setPrototype).{0,50}prototype;./attacks-gadget/bech1-between_02_1.txt;0.18;0.08;0.16;1.45;3.95;1.78;0.04;0.3;1.4;0.08;0.04;0.8;1.91;1.94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.826532
".php\?q=\d{1,4}\.\d{2,4}\.\d{1,3}\.\d{1,3}\.\d{1,3}\.[0-9a-f]{64}\.1.\d{4,6}";./attacks-gadget/bech1-between_03_1.txt;0.02;0.19;0.14;1.5;11.07;2.06;0.09;0.26;0.68;0.08;0.31;1.0;3.2;1.01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"<rt[^?]*style\s*=\s*[\x22\x27]?-ms-hyphens\s*\x3A\s*auto\s*\x3B\s*[\x27\x22]?\>[\w\W]{680}";./attacks-gadget/bech1-between_04_1.txt;0.17;6.12;0.04;0.57;0.57;0.8;0.0;0.25;0.72;0.09;0.36;0.12;0.7;1.68;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;43.235292
"<xsl:[^>]*(apply-templates|choose|copy-of|for-each|if|number|for-each|value-of|variable).{0,255}(select|value|test)\s*\x3d\s*\x5c?\x22substring-after\s*\x28(\s*\x27[^\x22]\x27\s*|\s*[^\x27\x22\x2c]\s*)\x29";./attacks-gadget/bech1-between_05_1.txt;0.16;0.3;0.25;1.57;TO;3.0;0.25;0.26;TO;0.08;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;46.217728
"GET\s\/[\w-]{64}\sHTTP\/1\.[^\x2f]+Host\x3a\x20[^\x3a]+\x3a\d+\x20\x20";./attacks-gadget/bech1-between_06_1.txt;0.02;0.06;0.05;1.33;0.7;2.46;0.0;0.26;0.32;0.04;0.06;0.14;1.04;1.74;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.643128
"ID\s*\[\s*[^\]]*<[a-fA-F0-9]{140,}>";./attacks-gadget/bech1-between_07_1.txt;0.18;0.2;0.15;1.37;TO;1.92;0.1;0.28;TO;TO;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;TO;TO;TO;TO;TO;41.20024
"RegExp?\x23.{0,5}\x28\x3f[^\x29]{0,4}i.*\x28\x3f\x2d[^\x29]{0,4}i.{0,50}\x7c\x7c";./attacks-gadget/bech1-between_08_1.txt;0.05;0.67;0.17;1.38;TO;2.74;0.13;0.28;TO;0.1;TO;TO;10.19;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;0;TO;45.081352
"V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}\x22ell";./attacks-gadget/bech1-between_09_1.txt;TO;0.15;0.4;2.28;13.0;3.34;0.05;0.23;4.53;0.25;0.02;0.69;2.96;2.88;TO;0;0;0;0;0;0;0;0;0;0;0;0;0;43.703952
"V(BA|.BA|B.A).{0,50}C(.reate|r.eate|re.ate|rea.te|reat.e|reate).{0,75}ell\x22";./attacks-gadget/bech1-between_10_1.txt;0.24;0.15;0.15;1.38;3.51;2.1;0.02;0.29;1.52;0.06;0.02;0.27;1.09;1.99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.682176
[^&]+&[a-z]=[a-f0-9]{16}&[a-z]=[a-f0-9]{16}$;./attacks-gadget/bech1-between_11_1.txt;20.38;0.03;0.14;1.34;35.82;1.9;0.01;0.27;7.01;0.12;1.78;4.84;9.1;2.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
[a-f0-9]{32}=[a-f0-9]{32};./attacks-gadget/bech1-between_12_1.txt;0.03;0.34;0.04;0.48;0.26;0.55;0.0;0.27;0.09;0.03;0.02;0.04;0.43;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
