pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
A{1000};./attacks-gadget/bech2-above_00_1.txt;0.05;5.35;0.04;4.09;0.3;0.45;0.02;0.31;0.06;0.04;0.02;0.06;0.45;0.82;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech2-above_01_1.txt;1.88;1.15;ERR;1.41;3.96;2.32;0.1;0.26;1.24;0.14;1.81;0.67;2.99;1.15;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(((\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000})))";./attacks-gadget/bech2-above_02_1.txt;1.62;0.44;ERR;1.4;8.96;1.64;0.12;0.32;1.47;0.24;3.67;1.85;2.28;1.13;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\((\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))|\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,\s*(true|false)\s*,\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000})))";./attacks-gadget/bech2-above_03_1.txt;3.24;0.15;ERR;1.48;24.11;2.74;15.72;0.28;4.4;0.51;9.84;4.92;4.5;1.78;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))";./attacks-gadget/bech2-above_04_1.txt;1.68;0.08;ERR;1.35;11.16;2.22;0.1;0.3;2.71;0.33;5.72;2.3;2.6;1.17;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))|((\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000})|(\x22[^\x22 ]{1000})))";./attacks-gadget/bech2-above_05_1.txt;3.27;0.3;ERR;1.48;49.61;1.84;18.72;0.28;7.3;0.68;16.3;7.13;7.66;2.3;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))|((\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000})))";./attacks-gadget/bech2-above_06_1.txt;3.2;0.19;ERR;1.48;52.44;1.28;20.02;0.29;7.29;0.64;17.55;7.16;7.87;2.1;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]*'|\x22[^\x22]+\x22)\s*,\s*(true|false)\s*,\s*((\x27[^\x27]{1000})|(\x22[^\x22]{1000}))";./attacks-gadget/bech2-above_07_1.txt;1.64;1.12;ERR;1.34;6.94;1.38;0.1;0.3;0.94;0.14;2.55;1.26;1.73;0.98;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/bech2-above_08_1.txt;1.82;0.08;ERR;1.37;8.22;2.15;0.11;0.3;2.33;0.26;5.24;1.82;2.0;1.14;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})";./attacks-gadget/bech2-above_09_1.txt;2.04;0.1;ERR;1.36;7.75;2.26;0.11;0.29;2.33;0.27;5.11;1.79;1.97;1.27;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
