pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"<figure[^>]+dir\s*=\s*[\x22\x27]\s*rtl\s*[\x22\x27].*(&#?x?[a-z\d]{2,4}\x3b){100}";./attacks-gadget/bech1-nested-between_00_1.txt;0.16;0.59;0.14;1.45;TO;1.62;9.87;0.3;TO;0.07;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;41.200104
"id=[a-f\d]{8}(-[a-f\d]{4}){3}-[a-f\d]{12}";./attacks-gadget/bech1-nested-between_01_1.txt;2.5;0.24;0.1;0.98;2.29;ERR;0.12;0.28;0.45;0.02;0.85;0.28;0.85;0.84;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.20004
"(#\d{1,2}){20}";./attacks-gadget/bech3-nested-between_00_1.txt;0.16;0.53;0.03;0.53;0.29;ERR;0.01;0.29;0.07;0.03;0.03;0.05;0.44;0.76;0;1;1;1;1;ERR;1;0;1;1;1;1;1;1;41.200008
"(,\d{1,3}){20}";./attacks-gadget/bech3-nested-between_01_1.txt;0.13;0.6;0.03;0.55;0.29;ERR;0.01;0.3;0.07;0.02;0.02;0.06;0.4;0.76;0;1;1;1;1;ERR;1;0;1;1;1;1;1;1;41.20002
([etDZhns8dz]{1,3}k){3}[etDZhns8dz]{1,3}f[etDZhns8dz]{16}A;./attacks-gadget/bech3-nested-between_02_1.txt;0.18;0.03;0.12;1.33;58.33;2.98;0.09;0.27;8.77;1.28;16.96;9.11;7.15;2.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"(\/[0-9a-z]{1,6}){1,5}\/[0-9a-z]{1,7}(\.zip|\.xml|\.htm|\.pdf)\/\?[0-9a-z]{1,3}=[0-9a-z\/+]*=?=?";./attacks-gadget/bech3-nested-between_03_1.txt;0.04;0.04;0.15;1.37;104.34;ERR;0.0;0.28;16.87;1.45;0.03;17.67;20.73;3.77;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;41.200012
".{18}[\x20\x20\x20\x20\x20\x20]\x20\x20\x20.+(\x2E{2}[\x5C\x2F]){2}";./attacks-gadget/bech3-nested-between_04_1.txt;0.16;0.42;0.13;1.46;TO;3.14;0.09;0.29;TO;0.06;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;42.0
"<ref\s+href\s*=\s*\x22([^\x22]{2}|(\x25[0-9A-Z]{2}){1,2})\x3A\x2F[^\x22]{100}";./attacks-gadget/bech3-nested-between_06_1.txt;0.04;0.39;0.16;1.39;4.78;ERR;0.09;0.3;1.09;0.14;1.76;1.15;3.21;1.06;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;42.0
"HTTP\/1\.[01].*([^\r\n]){32}";./attacks-gadget/bech3-nested-between_07_1.txt;70.65;1.9;0.02;0.5;1.32;0.5;0.0;0.31;0.53;0.06;0.02;0.1;0.62;0.8;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;42.0
"HostList=([^\r\n\x3B]{,296}\x3B)*[^\r\n\x3B]{297}";./attacks-gadget/bech3-nested-between_08_1.txt;0.09;4.35;0.03;0.52;0.31;0.56;0.0;0.31;0.07;0.02;ERR;0.04;0.07;0.77;1;1;1;1;1;1;ERR;0;1;1;ERR;1;;1;42.0
"InformixServerList=([^\r\n\x3B]{,293}\x3B)*[^\r\n\x3B]{294}";./attacks-gadget/bech3-nested-between_09_1.txt;23.78;4.22;0.01;0.5;0.31;0.61;0.0;0.26;0.08;0.02;ERR;0.04;0.05;0.66;0;1;1;1;1;1;ERR;0;1;1;ERR;1;;1;42.0
"STOR\x20fp(_[A-F0-9]{8}){2}[A-F0-9]{8}_[A-F0-9]{4}(_[A-F0-9]{8}){2}\x2ebin\x20\x20";./attacks-gadget/bech3-nested-between_10_1.txt;0.04;0.08;0.14;1.26;2.31;ERR;0.09;0.28;0.81;0.08;0.51;0.58;1.01;1.01;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;41.200056
"\.php\?id=(\d{5}-\d{3}-\d{7}-\d{5}|0[0-9a-f]{8}-([0-9a-f]{4}-){3}[0-9a-f]{12}1)&ver=\d{7}";./attacks-gadget/bech3-nested-between_11_1.txt;0.04;0.2;0.12;1.47;3.06;2.16;0.09;0.28;0.65;0.09;0.59;0.54;1.41;1.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\/r\/l\/([a-z]{1,16}[-_]){1,4}[a-z]{1,16}\.php";./attacks-gadget/bech3-nested-between_13_1.txt;0.18;0.24;0.13;1.36;4.12;1.73;0.0;0.26;1.04;0.12;0.43;1.34;1.36;0.89;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200012
"\/t\/l\/([a-z]{1,16}[-_]){1,4}[a-z]{1,16}\.php";./attacks-gadget/bech3-nested-between_14_1.txt;0.17;0.24;0.12;1.39;5.53;1.72;0.0;0.27;1.09;0.14;0.39;1.23;1.34;0.82;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200012
"\d{1,8}\x7c.+ \x5b\d{1,2}(\x3a\d{1,2}){2} [AP]M\x2d(\d{1,2}\x2f){2}\d{4}\x5d\x7cDisponible";./attacks-gadget/bech3-nested-between_15_1.txt;0.06;0.14;0.14;1.74;TO;ERR;0.02;0.34;TO;0.09;0.02;TO;TO;TO;0;0;0;0;TO;ERR;0;0;TO;0;0;TO;TO;TO;41.200084
"\d{1,8}\x7c.+ \x5b\d{1,2}(\x3a\d{1,2}){2} [AP]M\x2d(\d{1,2}\x2f){2}\d{4}\x5d\x7cInactivo";./attacks-gadget/bech3-nested-between_16_1.txt;0.06;0.14;0.16;1.72;TO;ERR;0.04;0.31;TO;0.1;0.03;TO;TO;TO;0;0;0;0;TO;ERR;0;0;TO;0;0;TO;TO;TO;42.991392
"\x20create\s+(aggregate\s+)*function\s+\S{50}";./attacks-gadget/bech3-nested-between_17_1.txt;0.06;0.32;0.14;1.23;1.98;0.88;0.1;0.24;0.48;0.07;0.03;0.58;0.8;0.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200016
"\x2F[0-9a-zA-Z]{4,9}\x3F[0-9a-zA-Z]{10,40}\x3D[0-9a-zA-Z]{10,40}([\x26\x3D][0-9a-zA-Z]{10,40}){0,10}";./attacks-gadget/bech3-nested-between_18_1.txt;0.08;0.3;0.15;1.26;3.29;ERR;0.1;0.31;0.89;0.12;0.4;0.42;2.52;1.06;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;42.0
