pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^COPY[^s]{432};./attacks-gadget/bech3-between_9285_1.txt;0.11;0.04;0.02;0.53;0.32;0.5;0.01;0.26;0.1;0.03;0.03;0.06;0.38;0.62;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^DELETE[^s]{432};./attacks-gadget/bech3-between_9289_1.txt;0.12;0.04;0.04;0.48;0.3;0.51;0.0;0.28;0.09;0.04;0.03;0.06;0.46;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^GET[^s]{432};./attacks-gadget/bech3-between_9304_1.txt;0.1;0.04;0.02;0.53;0.3;0.56;0.0;0.28;0.09;0.03;0.02;0.04;0.5;0.72;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^HEAD[^s]{432};./attacks-gadget/bech3-between_9311_1.txt;0.11;0.03;0.03;0.48;0.29;0.48;0.02;0.3;0.09;0.03;0.03;0.06;0.39;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^LOCK[^s]{432};./attacks-gadget/bech3-between_9320_1.txt;0.11;0.04;0.05;0.48;0.23;0.54;0.02;0.3;0.09;0.02;0.02;0.06;0.45;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^MKCOL[^s]{432};./attacks-gadget/bech3-between_9328_1.txt;0.11;0.04;0.04;0.51;0.31;0.51;0.01;0.24;0.08;0.02;0.02;0.05;0.47;0.66;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^MOVE[^s]{432};./attacks-gadget/bech3-between_9329_1.txt;0.1;0.04;0.03;0.47;0.28;0.52;0.01;0.28;0.08;0.05;0.02;0.06;0.48;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^POST[^s]{432};./attacks-gadget/bech3-between_9337_1.txt;0.1;0.03;0.03;0.5;0.3;0.5;0.0;0.36;0.09;0.03;0.02;0.04;0.44;0.8;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^PUT[^s]{432};./attacks-gadget/bech3-between_9343_1.txt;0.1;0.04;0.04;0.49;0.32;0.51;0.01;0.3;0.08;0.03;0.02;0.06;0.45;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
^TRACE[^s]{432};./attacks-gadget/bech3-between_9372_1.txt;0.11;0.04;0.04;0.5;0.28;0.46;0.01;0.3;0.08;0.04;0.02;0.07;0.4;0.7;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^([nN][aA][mM][eE]|[iI][dD]|[nN][uU][mM][bB][eE][rR]|[tT][oO][tT][aA][lL]|[bB][oO][uU][nN][dD][aA][rR][yY])=[\x20\x20\x20]*[^\r\n\x3b\s\x2c]{300}";./attacks-gadget/bro-between_00_1.txt;0.07;0.03;0.03;0.53;0.29;0.58;0.02;0.26;1.0;0.01;0.04;0.56;0.46;0.83;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* LOGIN [^\x20]{100}";./attacks-gadget/bro-between_01_1.txt;10.84;1.05;0.15;1.31;4.2;1.26;0.09;0.29;0.91;0.08;0.63;0.98;1.16;0.93;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* LSUB [^\x20]{100}";./attacks-gadget/bro-between_02_1.txt;11.43;1.14;0.13;1.23;4.14;1.34;0.1;0.3;0.97;0.07;0.7;1.01;1.16;0.9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][eE] [^\x20]{100}";./attacks-gadget/bro-between_03_1.txt;7.45;0.64;0.14;1.31;6.4;1.18;0.09;0.26;0.84;0.09;0.64;1.25;1.2;0.99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [cC][hH][oO][wW][nN] [^\x20]{100}";./attacks-gadget/bro-between_04_1.txt;9.56;0.98;0.13;1.36;6.1;1.33;0.09;0.24;0.99;0.09;0.79;1.34;1.34;0.98;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"^.* [cC][pP][wW][dD] [^\x20]{100}";./attacks-gadget/bro-between_05_1.txt;9.88;1.1;0.12;1.31;5.13;1.33;0.09;0.28;0.9;0.1;0.86;1.34;1.34;0.94;1;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
