pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"WebAdmin\x2Edll\x3F[^\r\n]*View=Logon.*[^\r\n\x26]*User=[^\r\n\x26]{100}";./attacks-gadget/bech3-between_9038_1.txt;0.05;0.36;0.14;1.31;TO;1.06;0.09;0.28;TO;0.11;0.06;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;41.200016
"SET_(SENDFROM|MAILHOST)\x28\x27[^\x27]{256}";./attacks-gadget/bech3-between_9026_1.txt;0.05;0.33;0.13;1.34;2.4;2.3;0.1;0.26;0.98;0.1;1.3;0.44;1.39;1.17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\s{230,}\.htr";./attacks-gadget/bech3-between_9142_1.txt;0.05;0.04;0.18;1.42;206.63;2.28;0.01;0.26;0.12;5.08;0.02;26.56;15.9;27.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200848
"\s{23}DIMBUS\s+Server\s+v\d+\x2E\d+";./attacks-gadget/bech3-between_9143_1.txt;0.16;0.18;0.14;1.52;30.98;2.12;0.09;0.28;0.57;0.71;0.33;4.2;4.84;4.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20032
"^\x2F40e800[0-9A-F]{30,}$";./attacks-gadget/bech3-between_9500_1.txt;0.06;0.03;0.02;0.52;0.3;0.5;0.01;0.31;0.22;0.03;0.03;0.55;0.46;0.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"cache_lastpostdate\[[^\]]+\]=[^\x20\x3B\x3D]{30}";./attacks-gadget/bech3-between_9560_1.txt;0.17;0.32;0.06;0.73;0.85;1.05;0.03;0.24;0.28;0.06;0.22;0.17;0.78;0.82;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Accept-Language\x3A[^\n]{100}";./attacks-gadget/home-brewed-between_00_1.txt;0.05;1.02;0.03;0.53;0.27;0.52;0.0;0.32;0.09;0.03;0.04;0.07;0.48;0.81;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{250}";./attacks-gadget/home-brewed-between_01_1.txt;0.06;4.68;0.04;0.54;0.28;0.63;0.01;0.31;0.08;0.02;0.03;0.07;0.5;0.75;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Authorization\x3a(\s*|\s*\s+)Basic\s[^\n]{512}";./attacks-gadget/home-brewed-between_02_1.txt;0.15;4.85;0.02;0.57;0.3;0.62;0.02;0.28;0.08;0.04;0.02;0.06;0.47;0.72;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Authorization\x3a\s*Basic[^\n]{256}";./attacks-gadget/home-brewed-between_03_1.txt;0.06;4.92;0.02;0.56;0.27;0.57;0.01;0.27;0.09;0.03;0.01;0.06;0.47;0.71;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"Content-Length\x3A\s*[^\r\n]{100,}";./attacks-gadget/home-brewed-between_04_1.txt;0.03;2.4;0.01;0.5;1.47;0.54;0.22;0.3;0.79;0.06;0.35;0.44;0.6;ERR;0;1;1;1;1;1;1;0;1;1;1;1;1;ERR;42.0
