pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_06_1.txt;0.04;0.22;0.15;1.94;87.14;12.65;0.1;0.24;13.94;1.94;20.81;13.1;17.64;2.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/internetSources-between_06_1.txt;7.34;0.22;0.15;1.43;35.89;3.35;0.0;0.28;6.04;0.56;17.3;10.42;12.49;2.4;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200084
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";./attacks-gadget/Assorted-between_21_1.txt;0.02;0.93;0.16;1.83;51.97;4.07;0.09;0.28;4.32;0.88;24.29;15.7;14.15;1.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";./attacks-gadget/Assorted-between_24_1.txt;0.02;0.26;0.18;1.53;3.48;2.21;0.14;0.28;0.96;0.09;1.02;0.74;2.36;2.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.35484
"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})";./attacks-gadget/Assorted-between_26_1.txt;0.17;0.04;0.24;1.9;15.86;2.3;0.4;0.31;3.13;0.4;8.24;3.82;2.66;1.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10}";./attacks-gadget/Assorted-between_33_1.txt;0.07;0.1;0.37;2.07;19.75;3.2;0.09;0.28;3.8;0.29;8.47;4.7;3.16;1.53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((DK|FI|HU|LU|MT|SI)(-)?\d{8})|((BE|EE|DE|EL|LT|PT)(-)?\d{9})|((PL|SK)(-)?\d{10})|((IT|LV)(-)?\d{11})|((LT|SE)(-)?\d{12})|(AT(-)?U\d{8})|(CY(-)?\d{8}[A-Z])|(CZ(-)?\d{8,10})|(FR(-)?[\dA-HJ-NP-Z]{2}\d{9})|(IE(-)?\d[A-Z\d]\d{5}[A-Z])|(NL(-)?\d{9}B\d{2})|(ES(-)?[A-Z\d]\d{7}[A-Z\d])";./attacks-gadget/internetSources-between_00_1.txt;0.08;0.32;0.27;1.3;66.6;5.59;0.15;0.24;9.53;1.35;21.66;23.86;16.06;1.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200068
"(([a-zA-Z]{3}[0-9]{3})|(\w{2}-\w{2}-\w{2})|([0-9]{2}-[a-zA-Z]{3}-[0-9]{1})|([0-9]{1}-[a-zA-Z]{3}-[0-9]{2})|([a-zA-Z]{1}-[0-9]{3}-[a-zA-Z]{2}))";./attacks-gadget/internetSources-between_01_1.txt;11.85;0.12;0.15;3.81;50.29;5.34;0.11;0.25;8.2;0.99;15.59;9.66;8.72;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.749152
"(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5})";./attacks-gadget/internetSources-between_03_1.txt;0.04;3.1;0.2;1.6;24.44;42.46;0.31;0.25;4.0;0.43;10.2;5.76;5.3;1.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
"([A-Za-z\d.]{2,31}) #accept ASCII alphanumeric and period";./attacks-gadget/internetSources-between_05_1.txt;0.04;0.04;0.22;1.15;5.48;1.26;0.01;0.26;0.08;0.18;0.02;1.73;2.84;1.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200032
