pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(((\d{0,2})\(\d{3}\))|(\d{3}-))\d{3}-\d{4}\s{0,}((([Ee][xX][Tt])|([Pp][Oo][Ss][Tt][Ee])):\d{1,5}){0,1}";./attacks-gadget/Assorted-nested-between_04_1.txt;0.04;0.06;0.14;1.8;26.94;2.25;0.1;0.26;0.1;0.65;0.02;4.59;3.33;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.85834
"([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*";./attacks-gadget/Assorted-nested-between_09_1.txt;ERR;0.1;0.24;2.01;20.06;ERR;0.0;0.27;0.08;0.04;ERR;0.02;4.26;1.43;ERR;0;0;0;0;ERR;ERR;0;"unmatched range specifier in char-class: /([0-9]* {0,2}[A-Z]{1}\w+[,.:]? {0,4}[xvilcXVILC\d]+[.,:]( {0,2}[\d-,]{1,7})+)([,.:] {0,4}[xvilcXVILC]*[.,:]( {0,2}[\d-,]{1,7})+)*/###0";0;ERR;0;0;0;41.200044
"(\s+|)((\(\d{3}\) +)|(\d{3}-)|(\d{3} +))?\d{3}(-| +)\d{4}( +x\d{1,4})?(\s+|)";./attacks-gadget/Assorted-nested-between_13_1.txt;0.03;0.12;0.14;1.85;75.44;4.3;0.0;0.23;10.94;1.45;25.97;18.67;10.92;2.08;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.20004
"[({]?(0x)?[0-9a-fA-F]{8}([-,]?(0x)?[0-9a-fA-F]{4}){2}((-?[0-9a-fA-F]{4}-?[0-9a-fA-F]{12})|(,\{0x[0-9a-fA-F]{2}(,0x[0-9a-fA-F]{2}){7}\}))[)}]?";./attacks-gadget/Assorted-nested-between_16_1.txt;9.14;0.12;0.23;1.46;20.4;3.95;0.1;0.29;5.22;0.59;8.48;5.86;4.1;2.15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.48662
"((https?|ftp)\:\/\/)?([a-z0-9+!*(),?&=\$_.-]+(\:[a-z0-9+!*(),?&=\$_.-]+)?@)?(([a-z0-9-.]*)\.([a-z]{2,6}))|(([0-9]{1,3}\.){3}[0-9]{1,3})(\:[0-9]{2,5})?(\/([a-z0-9+\$_-]\.?)+)*\/?(\?[a-z+&\$_.-][a-z0-9:@&%=+\/\$_.-]*)?(#[a-z_.-][a-z0-9+\$_.-]*)?";./attacks-gadget/internetSources-nested-between_03_1.txt;ERR;0.05;0.14;1.48;55.24;ERR;0.0;0.28;0.15;1.1;36.15;18.82;12.81;2.88;ERR;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;45.25312
"(GB-?)?([1-9][0-9]{2}\ ?[0-9]{4}\ ?[0-9]{2})|([1-9][0-9]{2}\ ?[0-9]{4}\ ?[0-9]{2}\ ?[0-9]{3})|((GD|HA)[0-9]{3})";./attacks-gadget/internetSources-nested-between_04_1.txt;0.04;0.1;0.02;0.52;0.31;9.18;0.0;0.32;0.08;0.03;0.02;0.06;0.45;0.75;1;1;1;1;1;1;ERR;0;1;1;1;1;1;1;43.259496
(LT-?)?([0-9]{9}|[0-9]{12});./attacks-gadget/internetSources-nested-between_05_1.txt;0.15;0.11;0.14;1.39;20.83;3.27;0.1;0.25;4.9;0.38;12.3;7.78;7.64;2.23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"(W(5|6)[D]?\-\d{9})|(W1\-\d{9}(\-\d{2})?)";./attacks-gadget/internetSources-nested-between_06_1.txt;0.16;0.04;0.23;1.69;5.77;1.6;0.47;0.29;1.35;0.2;5.17;2.52;2.28;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"([0-9A-Fa-f]{1,4}:){7}[0-9A-Fa-f]{1,4}|(\d{1,3}\.){3}\d{1,3}";./attacks-gadget/internetSources-nested-between_07_1.txt;0.17;0.04;0.14;1.78;36.0;2.87;0.09;0.28;0.15;0.87;14.43;8.01;7.88;1.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.468928
"(http://)?(www\.)?(youtube|yimg|youtu)\.([A-Za-z]{2,4}|[A-Za-z]{2}\.[A-Za-z]{2})/(watch\?v=)?[A-Za-z0-9\-_]{6,12}(&[A-Za-z0-9\-_]{1,}=[A-Za-z0-9\-_]{1,})*";./attacks-gadget/internetSources-nested-between_11_1.txt;5.32;0.26;0.15;1.42;20.54;2.21;0.09;0.33;3.76;0.48;6.9;7.61;7.97;1.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
