pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";./attacks-gadget/Assorted-between_00_1.txt;0.04;0.21;0.03;0.61;0.3;0.63;0.0;0.32;0.08;0.02;0.02;0.05;0.46;0.72;0;1;1;1;1;1;ERR;0;1;1;1;1;1;1;41.200032
"((\+44\s?\(0\)\s?\d{2,4})|(\+44\s?(01|02|03|07|08)\d{2,3})|(\+44\s?(1|2|3|7|8)\d{2,3})|(\(\+44\)\s?\d{3,4})|(\(\d{5}\))|((01|02|03|07|08)\d{2,3})|(\d{5}))(\s|-|.)(((\d{3,4})(\s|-)(\d{3,4}))|((\d{6,7})))";./attacks-gadget/Assorted-between_06_1.txt;0.03;0.22;0.14;1.88;84.07;12.91;0.1;0.3;14.02;1.96;19.51;12.88;16.63;2.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"([A-Za-z]{0,}[\.\,\s]{0,}[A-Za-z]{1,}[\.\s]{1,}[0-9]{1,2}[\,\s]{0,}[0-9]{4})| ([0-9]{0,4}[-,\s]{0,}[A-Za-z]{3,9}[-,\s]{0,}[0-9]{1,2}[-,\s]{0,}[A-Za-z]{0,8})| ([0-9]{1,4}[\/\.\-][0-9]{1,4}[\/\.\-][0-9]{1,4})";./attacks-gadget/internetSources-between_06_1.txt;7.44;0.22;0.16;1.45;35.84;3.31;0.0;0.28;6.12;0.52;18.86;10.51;12.33;2.42;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;41.200084
"(\d{1}-\d{2}\s*)(of +)(\s?\d{5})|(\d{1}-\d{2}\s*)(of +)(\s?\d{4})|(\d{1}-\d{2}\s*)(of +)(\s?\d{3})|(\d{1}-\d{2}\s*)(of +)(\s?\d{2})|(\d{1}-\d{2}\s*)(of +)(\s?\d{1})";./attacks-gadget/Assorted-between_21_1.txt;0.04;0.89;0.18;1.93;50.78;4.18;0.09;0.28;4.26;0.88;24.33;15.96;13.9;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"IT\d{2}[ ][a-zA-Z]\d{3}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{4}[ ]\d{3}|IT\d{2}[a-zA-Z]\d{22}";./attacks-gadget/Assorted-between_24_1.txt;0.03;0.24;0.16;1.46;3.68;2.35;0.13;0.29;0.96;0.09;1.0;0.71;2.31;2.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43.35484
"[0](\d{9})|([0](\d{2})( |-)((\d{3}))( |-)(\d{4}))|[0](\d{2})( |-)(\d{7})";./attacks-gadget/Assorted-between_26_1.txt;0.17;0.04;0.27;1.94;16.55;2.26;0.41;0.3;3.18;0.39;8.1;3.76;2.72;1.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\d{5,12}|\d{1,10}\.\d{1,10}\.\d{1,10}|\d{1,10}\.\d{1,10}";./attacks-gadget/Assorted-between_33_1.txt;0.06;0.1;0.35;1.87;18.88;3.42;0.09;0.32;3.84;0.3;8.32;4.63;3.11;1.51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"((DK|FI|HU|LU|MT|SI)(-)?\d{8})|((BE|EE|DE|EL|LT|PT)(-)?\d{9})|((PL|SK)(-)?\d{10})|((IT|LV)(-)?\d{11})|((LT|SE)(-)?\d{12})|(AT(-)?U\d{8})|(CY(-)?\d{8}[A-Z])|(CZ(-)?\d{8,10})|(FR(-)?[\dA-HJ-NP-Z]{2}\d{9})|(IE(-)?\d[A-Z\d]\d{5}[A-Z])|(NL(-)?\d{9}B\d{2})|(ES(-)?[A-Z\d]\d{7}[A-Z\d])";./attacks-gadget/internetSources-between_00_1.txt;0.06;0.31;0.29;1.33;69.16;5.55;0.15;0.27;9.62;1.38;21.2;23.93;17.06;1.06;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200068
"(([a-zA-Z]{3}[0-9]{3})|(\w{2}-\w{2}-\w{2})|([0-9]{2}-[a-zA-Z]{3}-[0-9]{1})|([0-9]{1}-[a-zA-Z]{3}-[0-9]{2})|([a-zA-Z]{1}-[0-9]{3}-[a-zA-Z]{2}))";./attacks-gadget/internetSources-between_01_1.txt;11.98;0.12;0.12;3.79;50.7;5.3;0.1;0.26;9.09;1.06;16.46;9.69;8.57;0.83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.749152
"(02\d\s?\d{4}\s?\d{4})|(01\d{2}\s?\d{3}\s?\d{4})|(01\d{3}\s?\d{5,6})|(01\d{4}\s?\d{4,5})";./attacks-gadget/internetSources-between_03_1.txt;0.02;3.1;0.21;1.58;24.06;42.44;0.32;0.26;4.01;0.41;10.1;5.78;5.06;1.27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.200008
