pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"TIME_ZONE\s*=\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech2-above_01_1.txt;1.85;1.17;ERR;1.36;3.75;2.38;0.1;0.29;1.25;0.14;1.69;0.68;2.7;1.19;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/bech2-above_08_1.txt;1.81;0.09;ERR;1.34;9.84;2.16;0.11;0.26;2.26;0.26;5.0;1.76;1.96;1.17;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]{1075,}|\x22[^\x22]{1075,})";./attacks-gadget/bech2-above_09_1.txt;2.06;0.09;ERR;1.31;9.9;2.15;0.12;0.28;2.26;0.25;4.4;1.7;1.99;1.26;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S{157}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S{125}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S{1025}|(0x[ 0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S{117}|(0x[0-9a-f]+|0[0-8]+|[1-9]\d*)\s+\S+\s+\S+\s+\S+\s+\S+\s+\S{37}";./attacks-gadget/bech3-above_01_1.txt;52.96;0.52;ERR;1.34;106.34;65.0;59.72;0.29;13.7;2.16;42.04;24.18;17.79;6.57;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;37.8
"NUMTO(DS|YM)INTERVAL\s*\(\s*\d+\s*,\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech3-above_10_1.txt;1.8;1.04;ERR;1.47;4.3;2.84;6.41;0.3;1.2;0.12;1.61;0.82;1.98;1.17;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\(\s*(\x27[^\x27]*\x27|\x22[^\x22]+\x22)\s*,\s*(\x27[^\x27]{1024,}|\x22[^\x22]{1024,})";./attacks-gadget/bech3-above_25_1.txt;1.76;0.45;ERR;1.37;7.75;1.63;5.96;0.32;1.2;0.18;3.77;1.56;1.72;1.09;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
"\(\s*TIMESTAMP\s*(\s*(\x27[^\x27]+'|\x22[^\x22]+\x22)\s*,)\s*((\x27[^\x27]{1000,})|(\x22[^\x22]{1000,}))";./attacks-gadget/bech3-above_28_1.txt;1.86;1.26;ERR;1.38;9.78;2.18;6.94;0.26;2.04;0.2;3.34;1.68;2.25;1.46;0;0;ERR;0;0;0;0;0;0;0;0;0;0;0;42.0
"\sCREATE\s[^\n]{1024}";./attacks-gadget/bech3-above_30_1.txt;0.98;6.64;ERR;0.83;0.3;0.59;0.06;0.26;0.08;0.03;0.02;0.06;0.5;0.77;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
"\sPARTIAL.*BODY\.PEEK\[[^\]]{1024}";./attacks-gadget/bech3-above_31_1.txt;0.05;1.64;ERR;0.72;1.31;0.58;57.65;0.28;0.38;0.08;0.03;0.11;0.54;0.8;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
"\sPARTIAL.*BODY\[[^\]]{1024}";./attacks-gadget/bech3-above_32_1.txt;0.05;1.91;ERR;0.74;1.28;0.55;0.21;0.26;0.37;0.09;0.02;0.09;0.58;0.82;0;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
