pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^.{27};./attacks-gadget/bech1-between_35_1.txt;0.03;0.03;0.04;0.49;0.26;0.5;0.01;0.33;0.1;0.02;0.02;0.07;0.45;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"select\s+xmlquery\s*\x28\s*(\x27|\x22)[^\x27\x22]{512}";./attacks-gadget/bech1-between_72_1.txt;0.26;1.5;0.14;1.34;3.52;2.25;0.09;0.27;1.08;0.14;1.25;0.95;1.24;1.18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"AUTH\s[^\n]{100}";./attacks-gadget/bech2-between_41_1.txt;0.04;1.6;0.03;0.58;0.27;0.52;0.02;0.29;0.08;0.02;0.03;0.06;0.48;0.73;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"TO_CHAR\s*\(\s*SYSTIMESTAMP\s*,\s*(\x27[^\x27]{256}|\x22[^\x22]{256})";./attacks-gadget/bech2-between_50_1.txt;0.2;1.44;0.15;1.46;2.63;2.53;0.1;0.31;1.0;0.11;1.26;0.57;1.17;1.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\sAPPEND\s[^\n]{256}";./attacks-gadget/bech2-between_9137_1.txt;0.05;4.68;0.03;0.68;0.27;0.51;0.01;0.29;0.07;0.02;0.03;0.06;0.49;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sAUTHENTICATE\s[^\n]{100}";./attacks-gadget/bech2-between_9138_1.txt;0.04;0.81;0.03;0.63;0.3;0.54;0.01;0.26;0.1;0.03;0.03;0.06;0.48;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sDELETE\s[^\n]{100}";./attacks-gadget/bech2-between_9139_1.txt;0.06;1.08;0.01;0.65;0.28;0.55;0.01;0.32;0.09;0.02;0.02;0.06;0.45;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sEXAMINE\s[^\n]{100}";./attacks-gadget/bech2-between_9140_1.txt;0.04;1.06;0.03;0.65;0.29;0.5;0.0;0.3;0.08;0.03;0.02;0.08;0.45;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sLOGIN\s[^\n]{100}";./attacks-gadget/bech2-between_9143_1.txt;0.04;1.16;0.02;0.67;0.26;0.54;0.01;0.29;0.08;0.02;0.02;0.07;0.46;0.82;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"\sRENAME\s[^\n]{100}";./attacks-gadget/bech2-between_9144_1.txt;0.04;1.09;0.03;0.64;0.28;0.48;0.01;0.33;0.09;0.02;0.02;0.06;0.5;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^APOP\s+USER\s[^\n]{256}";./attacks-gadget/bech2-between_9196_1.txt;0.07;0.03;0.02;0.5;0.3;0.53;0.01;0.27;0.09;0.04;0.02;0.05;0.42;0.68;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^APOP\s[^\n]{256}";./attacks-gadget/bech2-between_9197_1.txt;0.06;0.03;0.03;0.51;0.29;0.55;0.01;0.26;0.08;0.04;0.02;0.06;0.42;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^AUTH\s[^\n]{50}";./attacks-gadget/bech2-between_9199_1.txt;0.04;0.02;0.02;0.45;0.29;0.58;0.02;0.25;0.1;0.04;0.03;0.05;0.45;0.77;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^PASS\s[^\n]{50}";./attacks-gadget/bech2-between_9228_1.txt;0.04;0.02;0.01;0.46;0.28;0.6;0.01;0.28;0.09;0.03;0.03;0.04;0.42;0.75;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+CHOWN\s[^\n]{100}";./attacks-gadget/bech2-between_9241_1.txt;0.05;0.03;0.02;0.53;0.26;0.56;0.0;0.34;0.1;0.02;0.02;0.06;0.47;0.66;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+CPWD\s[^\n]{100}";./attacks-gadget/bech2-between_9242_1.txt;0.05;0.03;0.02;0.51;0.3;0.56;0.0;0.28;0.09;0.04;0.03;0.07;0.52;0.69;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+NEWER\s[^\n]{100}";./attacks-gadget/bech2-between_9243_1.txt;0.05;0.03;0.02;0.47;0.26;0.55;0.0;0.28;0.08;0.04;0.02;0.05;0.42;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+ZIPCHK\s[^\n]{100}";./attacks-gadget/bech2-between_9244_1.txt;0.05;0.04;0.04;0.47;0.27;0.56;0.01;0.31;0.08;0.02;0.01;0.06;0.44;0.77;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^XTND\s[^\n]{50}";./attacks-gadget/bech2-between_9263_1.txt;0.04;0.03;0.02;0.48;0.3;0.61;0.01;0.26;0.08;0.04;0.02;0.05;0.42;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"username=[^&\x3b\r\n]{250}";./attacks-gadget/bech2-between_9588_1.txt;2.44;1.64;0.04;0.52;0.29;0.49;0.02;0.29;0.08;0.03;0.02;0.05;0.52;0.8;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}|(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S+\s+(0x[0-9a-f]+)|(0[0-8]+)|([1-9]\d*)\s+(0x)?[0-9a-f]+\s+\S{65}";./attacks-gadget/bech3-between_10_1.txt;23.32;0.32;0.12;1.33;57.86;1.89;0.15;0.34;14.9;1.27;43.1;39.65;16.16;3.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39.375
"(\x5c[^\x5c]{16,}|\x2f[^\x2f]{16,})\.cda$";./attacks-gadget/bech3-between_23_1.txt;0.04;0.04;0.15;1.28;4.6;2.84;0.02;0.26;2.42;0.18;0.02;1.07;2.08;2.21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.6216
"(name|id|number|total|boundary)=\s*[^\r\n\x3b\s\x2c]{300}";./attacks-gadget/bech3-between_27_1.txt;4.58;0.91;0.18;1.4;10.4;1.88;0.19;0.29;2.36;0.34;2.42;1.83;3.02;1.07;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41.20004
