pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"""[ACGT]{1,12000}(AAC)[AG]{2,5}[ACGT]{2,5}(CTGTGTA)"""", ""paste(""(CTAAA)[AC]{5,100}(TTTGGG)"", rule_1, ""(CTT)[AG]{10,5000}"", rule_2, sep=""""";./attacks-gadget/missing-20-08_21_1.txt;ERR;ERR;ERR;ERR;ERR;ERR;0.0;0.24;0.08;0.03;ERR;0.01;0.06;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;ERR;"end pattern with unmatched parenthesis: /""[ACGT]{1,12000}(AAC)[AG]{2,5}[ACGT]{2,5}(CTGTGTA)"""", ""paste(""(CTAAA)[AC]{5,100}(TTTGGG)"", rule_1, ""(CTT)[AG]{10,5000}"", rule_2, sep=""""/###0";0;ERR;0;;ERR;44.01502
""" {10000}""";./attacks-gadget/missingHyper_80_1.txt;0.16;0.04;ERR;23.1;0.28;0.5;0.03;0.29;0.09;0.03;0.03;0.04;0.47;0.77;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;44.0088
"""([a-zA-Z0-9]{0,4000})""";./attacks-gadget/missingHyper_81_1.txt;40.01;0.83;ERR;0.54;0.28;0.53;0.02;0.25;0.08;0.01;0.04;0.07;0.48;0.77;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;44.005992
"""<dxh ....>"""", ""str=`aaa<div>{{4567}}aaa</div>bbb{{12345}}amrambler`"", """"{{12345}}"""", """"{{4567}}""";./attacks-gadget/missingHyper_82_1.txt;TO;ERR;ERR;64.3;0.63;2.24;0.0;0.29;0.68;0.02;ERR;0.12;0.08;1.8;TO;ERR;ERR;0;0;0;ERR;ERR;0;0;ERR;0;;0;44.0694
.{1,1000};./attacks-gadget/missingHyper_84_1.txt;4.61;0.86;0.03;0.48;0.28;0.47;0.02;0.31;0.09;0.01;0.02;0.06;0.43;0.71;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^([a-z]|[0-9]| |,|'|\.|!|\?){1,4000}$";./attacks-gadget/missingHyper_85_1.txt;TO;15.78;ERR;0.55;0.33;0.53;0.04;0.32;0.71;0.03;0.02;0.58;ERR;0.79;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;ERR;0;42.0
^.{0,1000}$;./attacks-gadget/missingHyper_86_1.txt;28.32;0.08;0.04;0.46;0.3;0.46;0.02;0.28;1.12;0.02;0.02;0.61;0.46;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
^.{0,1999}$;./attacks-gadget/missingHyper_87_1.txt;226.66;0.16;ERR;0.49;0.29;0.47;0.02;0.29;1.16;0.02;0.02;0.6;0.46;0.79;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
^.{0,5000}$;./attacks-gadget/missingHyper_88_1.txt;TO;0.68;ERR;0.51;0.26;0.48;0.05;0.27;1.19;0.04;0.03;0.59;0.49;0.78;TO;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;42.0
^.{3,5000};./attacks-gadget/missingHyper_89_1.txt;TO;0.62;ERR;0.46;0.28;0.49;0.04;0.28;0.09;0.03;0.02;0.05;0.5;0.8;TO;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
