pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
^a{1000000}$;./attacks-gadget/missing-20-08_9037_1.txt;ERR;ERR;ERR;TO;TO;0.52;0.04;0.3;0.09;0.03;ERR;0.58;0.5;0.79;ERR;ERR;ERR;TO;TO;0;ERR;ERR;too big number for repeat range: /^a{1000000}$/###0;0;ERR;0;0;0;42.0
.{1,1000};./attacks-gadget/missingHyper_84_1.txt;6.79;0.87;0.03;0.45;0.28;0.49;0.01;0.29;0.09;0.04;0.02;0.05;0.5;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
",\s{0,1000}";./attacks-gadget/missingHyper_9293_1.txt;0.87;1.07;0.02;0.49;0.27;0.5;0.01;0.32;0.08;0.02;0.02;0.05;0.44;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
.{0,1000};./attacks-gadget/missingHyper_9294_1.txt;6.93;ERR;0.02;0.48;0.3;0.46;0.02;0.23;0.09;0.02;0.02;0.06;0.5;0.78;1;ERR;1;1;1;1;1;0;1;1;1;1;1;1;42.0
.{1,1019};./attacks-gadget/missingHyper_9296_1.txt;7.29;0.86;ERR;0.49;0.28;0.46;0.01;0.3;0.09;0.02;0.02;0.05;0.42;0.77;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
.{1,1024};./attacks-gadget/missingHyper_9297_1.txt;7.46;0.87;ERR;0.5;0.28;0.46;0.01;0.3;0.08;0.04;0.03;0.07;0.46;0.81;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
.{1,1600};./attacks-gadget/missingHyper_9298_1.txt;27.31;0.87;ERR;0.47;0.3;0.48;0.03;0.32;0.09;0.03;0.02;0.06;0.51;0.79;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
.{1,2000};./attacks-gadget/missingHyper_9299_1.txt;56.65;0.88;ERR;0.48;0.28;0.51;0.02;0.26;0.08;0.04;0.02;0.07;0.48;0.77;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
.{1,2047};./attacks-gadget/missingHyper_9300_1.txt;56.94;0.88;ERR;0.46;0.28;0.46;0.02;0.32;0.08;0.01;0.02;0.06;0.46;0.79;1;1;ERR;1;1;1;1;ERR;1;1;1;1;1;1;42.0
.{1,32767};./attacks-gadget/missingHyper_9301_1.txt;TO;0.84;ERR;0.46;0.27;0.53;0.03;0.34;0.08;0.02;ERR;0.04;0.52;0.84;TO;1;ERR;1;1;1;ERR;ERR;1;1;ERR;1;1;1;42.0
.{1,7168};./attacks-gadget/missingHyper_9302_1.txt;TO;0.87;ERR;0.45;0.29;0.49;0.04;0.33;0.08;0.03;0.02;0.05;0.5;0.77;TO;1;ERR;1;1;1;ERR;ERR;1;1;1;1;1;1;42.0
.{1,8191};./attacks-gadget/missingHyper_9303_1.txt;TO;0.9;ERR;0.47;0.32;0.48;0.04;0.3;0.1;0.02;0.02;0.04;0.48;0.78;TO;1;ERR;1;1;1;ERR;ERR;1;1;1;1;1;1;42.0
