pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^SITE\s+CHOWN\s[^\n]{100}";./attacks-gadget/bech2-between_9241_1.txt;0.04;0.04;0.01;0.5;0.28;0.56;0.0;0.28;0.08;0.02;0.02;0.06;0.5;0.82;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+CPWD\s[^\n]{100}";./attacks-gadget/bech2-between_9242_1.txt;0.04;0.03;0.02;0.51;0.31;0.48;0.01;0.27;0.09;0.02;0.02;0.06;0.49;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+NEWER\s[^\n]{100}";./attacks-gadget/bech2-between_9243_1.txt;0.06;0.03;0.02;0.5;0.27;0.54;0.01;0.28;0.08;0.03;0.02;0.06;0.49;0.8;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+ZIPCHK\s[^\n]{100}";./attacks-gadget/bech2-between_9244_1.txt;0.05;0.03;0.02;0.49;0.28;0.51;0.01;0.27;0.09;0.02;0.01;0.05;0.47;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^Authorization\x3a\s*Negotiate\s*((YE4G.{40}LgMc)|(YIIQ.{40}QUFB))";./attacks-gadget/bech3-between_9280_1.txt;0.04;0.04;0.02;0.63;0.37;0.72;0.05;0.28;0.17;0.04;0.02;0.65;0.59;2.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.851476
"^PWD\s.{190}";./attacks-gadget/bech3-between_9344_1.txt;0.03;0.04;0.02;0.52;0.26;0.61;0.01;0.28;0.08;0.03;0.02;0.07;0.45;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^RNFR\s[^\n]{200}";./attacks-gadget/bech3-between_9350_1.txt;0.05;0.03;0.03;0.52;0.29;0.58;0.0;0.24;0.08;0.02;0.02;0.07;0.47;0.8;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^SITE\s+CHMOD\s[^\n]{200}";./attacks-gadget/bech3-between_9357_1.txt;0.04;0.03;0.02;0.54;0.29;0.54;0.01;0.28;0.08;0.03;0.03;0.06;0.44;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^STOU\s[^\n]{200}";./attacks-gadget/bech3-between_9367_1.txt;0.04;0.03;0.03;0.49;0.3;0.56;0.01;0.28;0.08;0.03;0.04;0.06;0.5;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"(\x20\x20.{4}\x20.{8}[^\x20]*)|(\x20\x20.{8}[^\x20]*.{4}\x20)|(.{4}\x20\x20\x20.{8}[^\x20]*)|(.{4}\x20.{8}[^\x20]*\x20\x20)|(.{8}[^\x20]*\x20\x20.{4}\x20)|(.{8}[^\x20]*.{4}\x20\x20\x20)";./attacks-gadget/missing-20-08_9064_1.txt;0.04;0.08;0.15;1.42;TO;TO;0.09;0.26;TO;0.1;TO;TO;TO;TO;0;0;0;0;TO;TO;0;0;TO;0;TO;TO;TO;TO;44.0
"(.{1}\x20.{10}\x7f)|(.{10}\x7f.{1}\x20)";./attacks-gadget/yang2010-between_00_1.txt;0.15;0.85;0.03;0.52;0.28;0.55;0.0;0.31;0.08;0.04;0.03;0.04;0.45;0.79;0;1;1;1;1;1;1;0;1;1;1;1;1;1;41.200164
".*(\x5c[^\x5c]{16}|\x2f[^\x2f]{16})\.cda$";./attacks-gadget/yang2010-between_02_1.txt;0.02;0.04;0.16;1.34;TO;2.98;0.02;0.32;3.52;0.07;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;41.91124
".*<OBJECT\s+[^>]*type\s*=[\x20\x20]\x20{32}";./attacks-gadget/yang2010-between_03_1.txt;0.04;0.62;0.16;1.41;TO;1.08;0.03;0.23;TO;0.12;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;42.0
".*<\w+\x3afill\s[^>]*method\s*=\s*(\x27[^\x27]{32}|\x22[^\x22]{32}|[^\s>]{32})";./attacks-gadget/yang2010-between_04_1.txt;0.07;1.17;0.14;2.17;TO;2.28;0.12;0.3;1.78;0.1;1.49;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;43.75
".*\x2FCSuserCGI\x2Eexe\x3FLogout\x2B[^\s]{96}";./attacks-gadget/yang2010-between_05_1.txt;0.03;0.78;0.02;0.55;1.34;0.62;0.23;0.29;0.38;0.1;0.03;0.09;0.57;0.85;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
".*cache_lastpostdate\[[^\]]+\]=[^\x20\x20\x20]{30}";./attacks-gadget/yang2010-between_06_1.txt;0.16;0.4;0.03;0.49;1.34;0.58;0.18;0.3;0.39;0.14;0.03;0.09;0.56;0.84;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
".*connectID=[^&\x20\r\x20]{25}";./attacks-gadget/yang2010-between_07_1.txt;4.42;1.0;0.02;0.48;1.34;0.54;0.2;0.31;0.37;0.13;0.03;0.06;0.59;0.84;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
".*get-dated-rev\x20\x28\x20\d{1,4}\x3a([^T\x2d\x3a]{9}|[^\x2d]{4}\x2d[^\x2d]{3}|[^\x2d]{4}\x2d[^\x2d]{2}\x2d[^\x2d]{3})";./attacks-gadget/yang2010-between_08_1.txt;0.04;0.32;0.02;0.62;1.32;0.9;0.22;0.27;0.36;0.09;0.02;0.09;0.54;0.85;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
".*isComponentInstalled\s*\([^,\)]{25}";./attacks-gadget/yang2010-between_09_1.txt;3.55;0.38;0.03;0.55;1.31;0.58;0.18;0.28;0.38;0.08;0.02;0.1;0.61;0.83;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
".*mfcisapicommand=[^&\r\x20\x20]{25}";./attacks-gadget/yang2010-between_10_1.txt;3.86;0.73;0.01;0.51;1.36;0.52;0.18;0.28;0.42;0.14;0.03;0.08;0.56;0.82;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
".*username=[^&\x20\r\x20]{25}";./attacks-gadget/yang2010-between_11_1.txt;TO;0.99;0.02;0.52;1.3;0.52;0.19;0.25;0.38;0.11;0.02;0.1;0.55;0.79;TO;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
".*w3who.dll\x20[^\r\x20]{51}";./attacks-gadget/yang2010-between_12_1.txt;0.03;0.54;0.13;1.39;TO;1.84;0.1;0.28;1.09;0.15;0.77;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;42.0
".*wqPassword=[^\r\x20\x20]{29}";./attacks-gadget/yang2010-between_13_1.txt;TO;0.88;0.0;0.53;1.32;0.55;0.19;0.32;0.38;0.14;0.02;0.1;0.61;0.83;TO;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
.{53}.*[aA][uU][tT][hH][eE][nN][tT][iI][cC][aA][tT][iI][oO][nN] [uU][nN][sS][uU][cC][cC][eE][sS][sS][fF][uU][lL];./attacks-gadget/yang2010-between_14_1.txt;0.19;0.04;0.15;1.46;TO;2.98;0.14;0.28;TO;0.07;TO;TO;5.95;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;0;TO;45.835356
"[\x20&]connectID=#[^&\x20\x20\r\x20]{255}";./attacks-gadget/yang2010-between_15_1.txt;2.66;0.34;0.14;1.43;2.82;0.97;0.1;0.27;0.45;0.08;0.54;0.86;0.75;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"[\x20&]instancename=#[^&\x20\x20\r\x20]{513}";./attacks-gadget/yang2010-between_16_1.txt;2.8;0.3;0.16;1.45;2.69;0.98;0.09;0.27;0.38;0.07;0.44;0.79;0.74;0.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"[\x20&]mfcisapicommand=#[^&\r\x20\x20\x20]{250}";./attacks-gadget/yang2010-between_17_1.txt;0.08;0.24;0.14;1.47;2.4;1.01;0.1;0.26;0.36;0.05;0.41;0.74;0.84;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"[\x20&]sid=#[^&\x20\x20\r\x20]{255}";./attacks-gadget/yang2010-between_18_1.txt;3.21;0.6;0.16;1.43;3.59;1.1;0.1;0.34;0.68;0.12;1.0;0.99;0.84;0.91;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"[\x20&]username=#[^&\x20\x20\r\x20]{250}";./attacks-gadget/yang2010-between_19_1.txt;2.68;0.36;0.14;1.42;3.01;0.99;0.1;0.28;0.46;0.07;0.56;0.83;0.95;0.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"[\x20&]username=#[^&\x20\x20\r\x20]{255}";./attacks-gadget/yang2010-between_20_1.txt;0.09;0.38;0.14;1.4;2.88;0.99;0.1;0.26;0.49;0.08;0.58;0.79;0.86;0.88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"[\x20&]wqPassword=#[^\r\x20\x20\x20]{294}";./attacks-gadget/yang2010-between_21_1.txt;0.1;0.32;0.14;1.45;2.65;1.04;0.08;0.28;0.46;0.06;0.49;0.81;0.88;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.0
"\x20\x20\x20.{2}\x20.{3}\x20\x20.{32}\x20";./attacks-gadget/yang2010-between_22_1.txt;0.09;2.38;0.02;0.48;0.3;0.51;0.02;0.28;0.07;0.03;0.03;0.06;0.43;0.79;0;1;1;1;1;1;1;0;1;1;1;1;1;1;41.201472
"^ALLO[ \t][^\n]{200}";./attacks-gadget/yang2010-between_23_1.txt;0.05;0.03;0.03;0.49;0.3;0.58;0.01;0.26;0.09;0.03;0.03;0.05;0.48;0.85;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^APPE[ \t][^\n]{200}";./attacks-gadget/yang2010-between_24_1.txt;0.04;0.04;0.01;0.52;0.28;0.56;0.02;0.3;0.07;0.02;0.03;0.08;0.49;0.85;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^Authorization\x20(\s*|\s*\r?\n\s+)Basic\s[^\n]{25}";./attacks-gadget/yang2010-between_25_1.txt;0.04;0.04;0.02;0.55;0.33;0.64;0.02;0.28;0.08;0.01;0.02;0.05;0.59;0.84;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^Authorization\x3a([ \t]*|[ \t]*\r?\n[ \t]+)Basic[ \t][^\n]{51}";./attacks-gadget/yang2010-between_26_1.txt;0.04;0.02;0.02;0.52;0.29;0.53;0.01;0.26;0.07;0.03;0.02;0.06;0.48;0.79;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^CEL[ \t][^\n]{100}";./attacks-gadget/yang2010-between_28_1.txt;0.05;0.02;0.01;0.52;0.29;0.62;0.01;1.74;0.09;0.04;0.02;0.08;0.64;0.84;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^CMD[ \t][^\n]{200}";./attacks-gadget/yang2010-between_29_1.txt;0.05;0.04;0.02;0.49;0.31;0.56;0.02;1.77;0.09;0.04;0.04;0.06;0.66;0.84;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^CWD[ \t][^\n]{180}";./attacks-gadget/yang2010-between_30_1.txt;0.03;0.03;0.02;0.48;0.27;0.57;0.0;1.49;0.08;0.04;0.03;0.06;0.57;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^DELE[ \t][^\n]{100}";./attacks-gadget/yang2010-between_31_1.txt;0.07;0.02;0.03;0.48;0.3;0.59;0.02;0.29;0.09;0.02;0.02;0.03;0.5;0.8;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^DESCRIBE[ ][^\n]{30}";./attacks-gadget/yang2010-between_32_1.txt;0.04;0.03;0.01;0.49;0.29;0.53;0.01;0.29;0.06;0.03;0.02;0.06;0.41;0.79;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^HELP[ \t][^\n]{200}";./attacks-gadget/yang2010-between_33_1.txt;0.06;0.03;0.02;0.47;0.3;0.55;0.01;0.26;0.07;0.03;0.02;0.05;0.48;0.78;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^Host\x20[ ][^\n]{30}";./attacks-gadget/yang2010-between_34_1.txt;0.05;0.03;0.02;0.48;0.28;0.5;0.0;0.3;0.07;0.02;0.02;0.05;0.44;0.81;0;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^LIST[^\n]{120}";./attacks-gadget/yang2010-between_35_1.txt;0.04;0.04;0.02;0.48;0.28;0.5;0.0;0.25;0.08;0.01;0.02;0.05;0.48;0.77;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^MDTM[ \t][^\n]{100}";./attacks-gadget/yang2010-between_36_1.txt;0.04;0.03;0.03;0.48;0.28;0.55;0.01;0.26;0.08;0.02;0.02;0.06;0.46;0.81;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
"^MKD[ \t][^\n]{180}";./attacks-gadget/yang2010-between_37_1.txt;0.06;0.03;0.02;0.49;0.29;0.58;0.01;0.27;0.08;0.03;0.03;0.06;0.45;0.76;1;1;1;1;1;1;1;0;1;1;1;1;1;1;42.0
