pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+(\s*[.]\s*(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+)*$";./attacks/shen-ReScue/internetSources-nested-between38_2_2.txt;TO;0.08;0.18;1.47;TO;ERR;0.12;0.26;TO;0.11;TO;TO;TO;TO;TO;0;0;0;TO;ERR;0;0;TO;0;TO;TO;TO;TO;50.000001
"^(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+(\s*[.]\s*(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+)*$";./attacks/shen-ReScue/internetSources-nested-between38_2_5.txt;TO;0.08;0.18;1.49;TO;ERR;0.11;0.28;TO;0.03;ERR;TO;ERR;ERR;TO;0;0;0;TO;ERR;0;0;TO;0;ERR;TO;ERR;ERR;50.000006
"^((\+)?[1-9]{1,4})?([-\s\.\/])?((\(\d{1,4}\))|\d{1,4})(([-\s\.\/])?[0-9]{1,6}){2,6}(\s?(ext|x)\s?[0-9]{1,6})?$";./attacks/shen-ReScue/internetSources-nested-between38_2_10.txt;0.05;0.04;0.03;0.97;1.33;ERR;0.0;0.32;2.86;0.05;0.28;0.91;0.78;0.83;0;0;0;0;0;ERR;ERR;0;0;0;0;0;0;0;50.000001
"^[_a-z0-9-]+(\.[_a-z0-9-]+)*@[a-z0-9]+(-?[a-z0-9]+)?(\.[a-z0-9]+(-?[a-z0-9]+)?)*\.([a-z]{2}|xn\-{2}[a-z0-9]{4,18}|arpa|aero|asia|biz|cat|com|coop|edu|gov|info|int|jobs|mil|mobi|museum|name|net|org|pro|tel|travel|xxx)$";./attacks/shen-ReScue/internetSources-nested-between38_2_17.txt;TO;0.17;0.17;1.56;TO;0.67;0.11;0.25;TO;0.02;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000002
"^[_a-z0-9-]+(\.[_a-z0-9-]+)*@[a-z0-9]+(-?[a-z0-9]+)?(\.[a-z0-9]+(-?[a-z0-9]+)?)*\.([a-z]{2}|xn\-{2}[a-z0-9]{4,18}|arpa|aero|asia|biz|cat|com|coop|edu|gov|info|int|jobs|mil|mobi|museum|name|net|org|pro|tel|travel|xxx)$";./attacks/shen-ReScue/internetSources-nested-between38_2_20.txt;TO;0.26;0.15;1.58;TO;0.78;0.11;0.34;TO;0.04;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000001
"^(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+([.](([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+)*$";./attacks/shen-ReScue/internetSources-nested-between38_2_21.txt;TO;0.1;0.17;1.7;TO;ERR;0.14;0.28;TO;0.17;TO;TO;TO;TO;TO;0;0;0;TO;ERR;0;0;TO;0;TO;TO;TO;TO;50.000006
"^(([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+([.](([a-zA-Z0-9_\-\.]+)@([a-zA-Z0-9_\-\.]+)\.([a-zA-Z]{2,5}){1,25})+)*$";./attacks/shen-ReScue/internetSources-nested-between38_2_24.txt;TO;0.08;0.17;1.52;TO;ERR;0.1;0.27;TO;0.15;TO;TO;TO;TO;TO;0;0;0;TO;ERR;0;0;TO;0;TO;TO;TO;TO;50.000001
"^([a-zA-Z0-9][a-zA-Z0-9_]*(\.{0,1})?[a-zA-Z0-9\-_]+)*(\.{0,1})@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|([a-zA-Z0-9\-]+(\.([a-zA-Z]{2,10}))(\.([a-zA-Z]{2,10}))?(\.([a-zA-Z]{2,10}))?))[\s]*$";./attacks/shen-ReScue/internetSources-nested-between38_2_27.txt;0.04;0.16;0.17;1.45;TO;ERR;0.11;0.21;0.12;0.14;0.02;TO;TO;TO;0;0;0;0;TO;ERR;0;0;0;0;0;TO;TO;TO;50.000004
"^([a-zA-Z0-9][a-zA-Z0-9_]*(\.{0,1})?[a-zA-Z0-9\-_]+)*(\.{0,1})@((\[[0-9]{1,3}\.[0-9]{1,3}\.[0-9]{1,3}\.)|([a-zA-Z0-9\-]+(\.([a-zA-Z]{2,10}))(\.([a-zA-Z]{2,10}))?(\.([a-zA-Z]{2,10}))?))[\s]*$";./attacks/shen-ReScue/internetSources-nested-between38_2_30.txt;0.02;0.15;0.18;1.44;TO;ERR;0.12;0.26;0.1;0.14;0.02;TO;TO;TO;0;0;0;0;TO;ERR;0;0;0;0;0;TO;TO;TO;50.000003
"^[A-Za-z0-9](\.[\w\-]|[\w\-][\w\-])(\.[\w\-]|[\w\-]?[\w\-]){0,30}[\w\-]?@[A-Za-z0-9\-]{3,63}\.[a-zA-Z]{2,6}$";./attacks/shen-ReScue/internetSources-nested-between38_2_32.txt;0.02;0.04;0.02;1.06;TO;4.3;0.01;0.26;0.1;0.04;0.02;TO;173.56;32.19;0;0;0;0;TO;0;ERR;0;0;0;0;TO;0;0;50.000001
