pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^[a-f0-9]{16,20}\x3d([a-z0-9]+(\x25(2[abf]|0d|0a))*)+\x253d\x253d\x250d\x250a$";./attacks/rathnayake-rxxr2/output-16-0674_2_63.txt;0.04;0.02;0.13;1.2;TO;0.89;0.01;0.26;TO;0.12;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;50.000002
"^[a-f0-9]{16,20}\x3d([a-z0-9]+(\x25(2[abf]|0d|0a))*)+\x253d\x253d\x250d\x250a$";./attacks/rathnayake-rxxr2/output-16-0674_2_67.txt;0.06;0.03;0.03;0.56;0.36;0.61;0.01;0.39;0.12;0.04;0.02;0.69;0.52;0.81;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.000001
"^Accept\x2dCharset\x3a\s*([^\x3b\x3d\x2c]{1,36}\s*[\x2d\x3b\x3d\x2c]\s*)*[^\x2d\x3b\x2c\x3d\n]{37}";./attacks/rathnayake-rxxr2/output-16-0674_2_72.txt;0.0;0.1;0.94;0.56;53.99;0.9;0.78;1.64;143.98;145.27;1.62;19.44;1.22;3.84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.096861
"^Accept\x2dCharset\x3a\s*([^\x3b\x3d\x2c]{1,36}\s*[\x2d\x3b\x3d\x2c]\s*)*[^\x2d\x3b\x2c\x3d\n]{37}";./attacks/rathnayake-rxxr2/output-16-0674_2_75.txt;0.03;0.78;0.09;0.98;TO;2.67;0.06;0.23;TO;0.02;ERR;TO;ERR;ERR;0;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;28.571439
"^(([A-Za-z0-9\!\#\$\%\&\&#39\*\+\-\/\=\?\^_\`\{\|\}\~]+\.*)*[A-Za-z0-9\!\#\$\%\&\&#39\*\+\-\/\=\?\^_\`\{\|\}\~]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6})$";./attacks/rathnayake-rxxr2/output-16-0674_2_98.txt;0.04;0.05;0.1;1.74;TO;1.52;0.0;0.42;0.06;0.15;0.02;TO;TO;TO;0;0;0;0;TO;0;ERR;0;0;0;0;TO;TO;TO;50.000002
"^(([A-Za-z0-9\!\#\$\%\&\&#39\*\+\-\/\=\?\^_\`\{\|\}\~]+\.*)*[A-Za-z0-9\!\#\$\%\&\&#39\*\+\-\/\=\?\^_\`\{\|\}\~]+@((\w+\-+)|(\w+\.))*\w{1,63}\.[a-zA-Z]{2,6})$";./attacks/rathnayake-rxxr2/output-16-0674_2_101.txt;0.04;0.05;0.15;1.96;TO;1.43;0.0;0.22;0.11;0.16;0.02;TO;TO;TO;0;0;0;0;TO;0;ERR;0;0;0;0;TO;TO;TO;50.000002
"^(http|https|ftp)\://([a-zA-Z0-9\.\-]+(\:[a-zA-Z0-9\.&amp%\$\-]+)*@)?((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])|([a-zA-Z0-9\-]+\.)*[a-zA-Z0-9\-]+\.[a-zA-Z]{2,4})(\:[0-9]+)?(/[^/][a-zA-Z0-9\.\,\?\&#39\\/\+&amp%\$#\=~_\-@]*)*$";./attacks/rathnayake-rxxr2/output-16-0674_2_111.txt;ERR;1.2;0.16;1.43;TO;1.06;0.0;0.31;TO;0.03;ERR;TO;ERR;ERR;ERR;0;0;0;TO;0;ERR;0;TO;0;ERR;TO;ERR;ERR;50.000004
"^(http|https|ftp)\://([a-zA-Z0-9\.\-]+(\:[a-zA-Z0-9\.&amp%\$\-]+)*@)?((25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9])\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[1-9]|0)\.(25[0-5]|2[0-4][0-9]|[0-1]{1}[0-9]{2}|[1-9]{1}[0-9]{1}|[0-9])|([a-zA-Z0-9\-]+\.)*[a-zA-Z0-9\-]+\.[a-zA-Z]{2,4})(\:[0-9]+)?(/[^/][a-zA-Z0-9\.\,\?\&#39\\/\+&amp%\$#\=~_\-@]*)*$";./attacks/rathnayake-rxxr2/output-16-0674_2_112.txt;ERR;0.05;0.04;0.59;0.32;0.62;0.0;0.24;0.12;0.04;0.02;0.69;0.48;0.76;ERR;0;0;0;0;0;ERR;0;0;0;0;0;0;0;50.000003
"^[_a-z0-9-]+(\.[_a-z0-9-]+)*@[a-z0-9]+(-?[a-z0-9]+)?(\.[a-z0-9]+(-?[a-z0-9]+)?)*\.([a-z]{2}|xn\-{2}[a-z0-9]{4,18}|arpa|aero|asia|biz|cat|com|coop|edu|gov|info|int|jobs|mil|mobi|museum|name|net|org|pro|tel|travel|xxx)$";./attacks/rathnayake-rxxr2/output-16-0674_2_117.txt;TO;0.08;0.16;1.58;TO;0.7;0.12;0.23;TO;0.06;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000003
"^[_a-z0-9-]+(\.[_a-z0-9-]+)*@[a-z0-9]+(-?[a-z0-9]+)?(\.[a-z0-9]+(-?[a-z0-9]+)?)*\.([a-z]{2}|xn\-{2}[a-z0-9]{4,18}|arpa|aero|asia|biz|cat|com|coop|edu|gov|info|int|jobs|mil|mobi|museum|name|net|org|pro|tel|travel|xxx)$";./attacks/rathnayake-rxxr2/output-16-0674_2_119.txt;TO;0.08;0.16;1.6;TO;0.99;0.11;1.5;TO;0.07;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000003
