pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"/w+"", ""(\w+\.?\w*[a-z0-9]){5,17}"", ""\w"", ""/w*"", ""{5,17}";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_19.txt;0.04;0.04;0.13;2.17;TO;1.54;0.04;0.25;TO;0.1;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;0;TO;TO;TO;50.0
^([a-z]+[a-z '-.,]*){0,32}$;./attacks/rathnayake-rxxr2/stackoverflow-between128_2_25.txt;TO;0.09;0.16;1.46;TO;0.52;0.11;0.24;TO;0.09;TO;TO;TO;TO;TO;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;50.0
"%(.|\r\n|\r|\n){0,150}%"", ""%[^%]{0,150}%";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_32.txt;0.13;ERR;0.0;0.28;0.07;ERR;0.0;0.26;0.06;0.01;0.02;0.02;0.07;0.64;0;ERR;0;0;Time: 0 ms###File is empty.;ERR;0;0;0;0;0;0;0;0;0.0
^([A-Za-z']+( [A-Za-z']+)*){3,30}$;./attacks/rathnayake-rxxr2/stackoverflow-between128_2_35.txt;TO;0.1;0.14;1.44;TO;0.5;0.1;0.27;TO;0.16;TO;TO;TO;TO;TO;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;50.000001
"^([a-zA-Z0-9\s,.]+){50,}$";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_40.txt;0.02;0.01;0.01;0.46;TO;0.44;0.0;0.26;TO;0.02;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;12.500043
"^([a-zA-Z0-9\s,.]+){50,}$";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_43.txt;0.02;0.01;0.0;0.4;0.13;0.42;0.0;0.28;0.4;0.01;0.02;0.2;0.22;0.67;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.500006
^([A-Za-z0-9]+[A-Za-z0-9, .!@#$%^&*()_]*){3,25}$;./attacks/rathnayake-rxxr2/stackoverflow-between128_2_49.txt;TO;0.09;0.16;1.46;TO;0.53;0.11;0.24;TO;0.14;TO;TO;TO;TO;TO;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;50.000001
"(?i)"", ""Tax ID.{18}\s*\d{3}(?:\s*\d+)*((?i)[a-z]+(?:\s[a-z]+)*)";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_52.txt;0.04;0.17;0.16;1.71;TO;1.24;0.11;0.27;TO;0.09;TO;TO;TO;ERR;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;ERR;49.999999
"(?i)"", ""Tax ID.{18}\s*\d{3}(?:\s*\d+)*((?i)[a-z]+(?:\s[a-z]+)*)";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_54.txt;0.04;0.16;0.16;1.72;TO;1.25;0.1;0.22;TO;0.1;TO;TO;TO;ERR;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;ERR;49.999995
"(.+\.)*"", ""\s*"", ""([^\.\s]{30,})"", ""ADD CONSTRAINT \s*(.+\.)*([^\.\s]{30,})";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_56.txt;0.04;0.05;0.15;1.62;TO;1.07;0.11;0.25;0.11;0.2;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;50.000004
"(.+\.)*"", ""\s*"", ""([^\.\s]{30,})"", ""ADD CONSTRAINT \s*(.+\.)*([^\.\s]{30,})";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_59.txt;0.05;0.03;0.18;1.57;TO;1.1;0.1;0.3;0.1;0.2;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;50.000004
"(.+\.)*"", ""\s*"", ""([^\.\s]{30,})"", ""ADD CONSTRAINT \s*(.+\.)*([^\.\s]{30,})";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_62.txt;0.04;0.04;0.14;1.55;TO;1.12;0.1;0.29;0.12;0.21;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;50.000004
"^(\d+[\s\r\n\t,]*){1,100}$";./attacks/rathnayake-rxxr2/stackoverflow-between128_2_74.txt;0.08;0.4;0.16;1.82;TO;0.72;0.12;0.28;TO;0.08;TO;TO;TO;TO;0;0;0;0;TO;0;0;0;TO;0;TO;TO;TO;TO;50.000001
