pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^GET [^\r\n]*\x20([^\r\n]*\x20)*[^\x20\r\n]{1025,}";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_0.txt;0.45;0.02;ERR;0.24;0.06;0.34;0.0;0.35;0.05;0.02;0.02;0.0;0.1;0.45;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;3e-06
"^GET [^\r\n]*\x20([^\r\n]*\x20)*[^\x20\r\n]{1025,}";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_4.txt;0.52;0.03;ERR;0.24;0.07;0.34;0.0;0.26;0.03;0.0;0.02;0.02;0.1;0.43;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;3e-06
"^POST [^\r\n]*\x20([^\r\n]*\x20)*[^\x20\r\n]{1025,}";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_8.txt;0.48;0.02;ERR;0.19;0.06;0.24;0.0;0.22;0.07;0.01;0.01;0.02;0.1;0.5;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;4e-06
"^POST [^\r\n]*\x20([^\r\n]*\x20)*[^\x20\r\n]{1025,}";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_12.txt;0.56;0.02;ERR;0.22;0.06;0.32;0.0;0.24;0.06;0.01;0.01;0.02;0.08;0.44;0;0;ERR;0;0;0;0;ERR;0;0;0;0;0;0;4e-06
"^Accept\x20Language\x20\s*(\w{1,36}\s*(\x20|\x20|\x20|\x20|\x20)\s*)*[^\x20\x20\x20\x20\n]{37}";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_16.txt;0.04;0.06;0.02;0.7;0.26;0.77;0.03;0.32;0.07;0.04;0.02;0.44;0.34;0.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.000001
"^Accept\x20Language\x20\s*(\w{1,36}\s*(\x20|\x20|\x20|\x20|\x20)\s*)*[^\x20\x20\x20\x20\n]{37}";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_20.txt;0.04;0.05;0.03;0.85;0.28;0.78;0.03;0.56;0.06;0.06;0.02;0.4;0.55;0.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50.000001
"macd_at([{1036}].CLOSE,10,10,10).UPPER"", ""macd_at([{1036}],10,10,10).UPPER"", ""([a-zA-Z][a-zA-Z0-9_]*_(at|AT)\((((\[\{[0-9]+\}\](\.(OPEN|CLOSE|LOW|HIGH))?)|[1-9][0-9]*\.?[0-9]*|(TRUE|FALSE)|\""[^""]*\""),)*((\[\{[0-9]+\}\](\.(OPEN|CLOSE|LOW|HIGH))?)|[1-9][0-9]*\.?[0-9]*|(TRUE|FALSE)|\""[^""]*\"")\)(\.(VALUE|UPPER|LOWER|PRICE))?)";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_24.txt;0.2;0.08;0.14;1.57;TO;1.41;0.0;1.78;TO;0.06;ERR;TO;ERR;ERR;0;0;0;0;TO;0;ERR;0;TO;0;ERR;TO;ERR;ERR;49.999997
"macd_at([{1036}].CLOSE,10,10,10).UPPER"", ""macd_at([{1036}],10,10,10).UPPER"", ""([a-zA-Z][a-zA-Z0-9_]*_(at|AT)\((((\[\{[0-9]+\}\](\.(OPEN|CLOSE|LOW|HIGH))?)|[1-9][0-9]*\.?[0-9]*|(TRUE|FALSE)|\""[^""]*\""),)*((\[\{[0-9]+\}\](\.(OPEN|CLOSE|LOW|HIGH))?)|[1-9][0-9]*\.?[0-9]*|(TRUE|FALSE)|\""[^""]*\"")\)(\.(VALUE|UPPER|LOWER|PRICE))?)";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_26.txt;0.2;0.05;0.11;1.58;TO;1.94;0.0;5.31;TO;0.04;ERR;TO;ERR;ERR;0;0;0;0;TO;0;ERR;0;TO;0;ERR;TO;ERR;ERR;49.999997
"(.+\.)*"", ""\s*"", ""([^\.\s]{30,})"", ""ADD CONSTRAINT \s*(.+\.)*([^\.\s]{30,})";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_37.txt;0.04;0.05;0.12;1.66;TO;1.09;0.1;0.28;0.12;0.21;0.02;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;50.000004
"(.+\.)*"", ""\s*"", ""([^\.\s]{30,})"", ""ADD CONSTRAINT \s*(.+\.)*([^\.\s]{30,})";./attacks/rathnayake-rxxr2/stackoverflow-nested-between31_2_40.txt;0.05;0.05;0.17;1.56;TO;1.04;0.12;0.23;0.1;0.2;0.03;TO;TO;TO;0;0;0;0;TO;0;0;0;0;0;0;TO;TO;TO;50.000004
