pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"^(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|fe80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::(ffff(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]))$";./attacks/rathnayake-rxxr2/uniq-nested-between33_2_28.txt;13.28;0.05;0.02;0.59;0.37;ERR;0.01;0.27;0.16;0.04;0.02;0.66;0.48;0.79;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;50.000002
"(@donpenabot\s)+(recuerdame)+(\s.{0,140})+(\sel\s)+([0-9]{2,4}-[0-9]{2,4}-[0-9]{2,4})";./attacks/rathnayake-rxxr2/uniq-nested-between33_2_41.txt;0.07;0.02;0.0;0.4;0.21;0.63;0.0;0.25;0.09;0.01;0.0;0.67;0.33;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.50002
^([a-z0-9_-]{4,32})+$;./attacks/rathnayake-rxxr2/uniq-nested-between33_2_60.txt;TO;0.09;0.17;1.42;TO;3.48;0.11;0.27;TO;0.02;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000021
^([a-z0-9_-]{4,32})+$;./attacks/rathnayake-rxxr2/uniq-nested-between33_2_64.txt;TO;0.09;0.18;1.42;TO;3.46;0.1;0.26;TO;0.02;ERR;TO;ERR;ERR;TO;0;0;0;TO;0;0;0;TO;0;ERR;TO;ERR;ERR;50.000002
"^(([a-zA-Z0-9\-]{1,63}\.?)+([a-zA-Z0-9\-]+)){1,255}$";./attacks/rathnayake-rxxr2/uniq-nested-between33_2_75.txt;TO;0.7;ERR;2.46;TO;ERR;TO;0.27;TO;0.06;ERR;TO;ERR;ERR;TO;0;ERR;0;TO;ERR;TO;ERR;TO;0;ERR;TO;ERR;ERR;50.000003
"^[a-z0-9]+([._\\-]*[a-z0-9])*@(\w+([-.]\w+)*\.){1,63}[a-z0-9]+$";./attacks/rathnayake-rxxr2/uniq-nested-between33_2_106.txt;130.52;0.13;0.18;2.04;TO;0.99;0.01;0.28;TO;0.05;ERR;TO;ERR;ERR;0;0;0;0;TO;0;ERR;0;TO;0;ERR;TO;ERR;ERR;50.000002
^(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|fe80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::(ffff(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]).){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]).){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]))$;./attacks/rathnayake-rxxr2/uniq-nested-between33_2_108.txt;12.4;0.08;0.02;0.57;0.34;ERR;0.01;0.27;0.17;0.04;0.02;0.65;0.52;0.74;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;50.000001
"^[a-zA-Z]{2,}\\.[a-zA-Z0-9][a-zA-Z0-9\\-]{0,61}[a-zA-Z0-9]?(\\.[a-zA-Z0-9][a-zA-Z0-9\\-]{0,61}[a-zA-Z0-9]?)+$";./attacks/rathnayake-rxxr2/uniq-nested-between33_2_127.txt;0.2;0.31;0.0;0.48;0.24;0.49;0.01;0.27;0.99;0.03;0.02;0.46;0.42;0.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.582131
"^[a-zA-Z]{2,}\\.[a-zA-Z0-9][a-zA-Z0-9\\-]{0,61}[a-zA-Z0-9]?(\\.[a-zA-Z0-9][a-zA-Z0-9\\-]{0,61}[a-zA-Z0-9]?)+$";./attacks/rathnayake-rxxr2/uniq-nested-between33_2_130.txt;0.22;0.32;0.04;0.45;0.27;0.48;0.0;0.3;1.06;0.02;0.01;0.52;0.44;0.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37.500002
"^\[(([0-9a-fA-F]{1,4}:){7,7}[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,7}:|([0-9a-fA-F]{1,4}:){1,6}:[0-9a-fA-F]{1,4}|([0-9a-fA-F]{1,4}:){1,5}(:[0-9a-fA-F]{1,4}){1,2}|([0-9a-fA-F]{1,4}:){1,4}(:[0-9a-fA-F]{1,4}){1,3}|([0-9a-fA-F]{1,4}:){1,3}(:[0-9a-fA-F]{1,4}){1,4}|([0-9a-fA-F]{1,4}:){1,2}(:[0-9a-fA-F]{1,4}){1,5}|[0-9a-fA-F]{1,4}:((:[0-9a-fA-F]{1,4}){1,6})|:((:[0-9a-fA-F]{1,4}){1,7}|:)|fe80:(:[0-9a-fA-F]{0,4}){0,4}%[0-9a-zA-Z]{1,}|::(ffff(:0{1,4}){0,1}:){0,1}((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])|([0-9a-fA-F]{1,4}:){1,4}:((25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9])\.){3,3}(25[0-5]|(2[0-4]|1{0,1}[0-9]){0,1}[0-9]))](:(\d{1,5}))?$";./attacks/rathnayake-rxxr2/uniq-nested-between33_2_139.txt;0.17;0.05;0.01;0.66;0.34;ERR;0.01;0.27;0.11;0.05;0.03;0.72;0.49;0.8;0;0;0;0;0;ERR;0;0;0;0;0;0;0;0;50.000002
